observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
obs_y1	Observable obs_y1	i	lin	noiseParameter1 * obs_y1	normal
obs_y2	Observable obs_y2	r	lin	noiseParameter1 * obs_y2	normal
