nu,post_polish_error,b,a,err,branch_size,Npop(t),In(t),polish_source_hc_idx,S(t),E(t)
0.17578905082427793,0.0013323965235799257,0.7302527151352244,0.8171540765401737,0.0013323965235799257,1.0,0.65300003969733,0.7009999234854349,164.0,0.3086708224245658,0.5030582004754538
0.17454573857401345,0.0013323965245264084,0.7356000385293512,0.8180863101186246,0.0013323965245264084,1.0,0.65300003969733,0.7009999228440259,314.0,0.30641863703510996,0.509137535150263
0.1743727678094748,0.0013323965246628965,0.7363513371931462,0.8182160029120678,0.0013323965246628965,1.0,0.65300003969733,0.7009999227539369,527.0,0.30610435678974274,0.5099901661027135
0.17414972048107447,0.0013323965248365373,0.7373228323470719,0.8183832426597905,0.0013323965248365373,1.0,0.65300003969733,0.7009999226374448,519.0,0.30569874549443005,0.5110921406220376
0.1738213980946463,0.00133239652511971,0.7387583951859363,0.818629417409213,0.00133239652511971,1.0,0.65300003969733,0.7009999224653352,373.0,0.30510098776953853,0.5127193777420397
0.17365554597278457,0.0013323965252490804,0.7394860902252656,0.8187537721500876,0.0013323965252490804,3.0,0.65300003969733,0.7009999223780929,422.0,0.30479871066081193,0.5135437143369747
0.17323542011399456,0.0013323965256151317,0.7413370540050861,0.8190687798314814,0.0013323965256151317,1.0,0.65300003969733,0.7009999221562172,1089.0,0.304032044662289,0.5156389353499512
0.1730251167552448,0.0013323965258096643,0.7422677185910158,0.8192264638427786,0.0013323965258096643,1.0,0.65300003969733,0.7009999220446826,452.0,0.30364775704265295,0.5166915661544024
0.17293468484704727,0.001332396525871614,0.7426687619190525,0.8192942685472102,0.001332396525871614,1.0,0.65300003969733,0.7009999219966127,507.0,0.30348240406459087,0.5171449898917675
0.1725842477567904,0.0013323965261905762,0.7442277114621872,0.8195570234587094,0.0013323965261905762,1.0,0.65300003969733,0.7009999218098112,1191.0,0.3028410384789829,0.5189065693395878
0.17184818709948513,0.0013323965268741615,0.7475274567904155,0.8201089141480316,0.0013323965268741615,3.0,0.65300003969733,0.7009999214144578,414.0,0.3014907970342987,0.5226299919098208
0.17142118279313032,0.0013323965272915021,0.7494575952072091,0.820429076809846,0.0013323965272915021,2.0,0.65300003969733,0.7009999211832717,39.0,0.3007055615837585,0.5248046812358454
0.17132523708419015,0.0013323965273781852,0.749892906884252,0.8205010155618462,0.0013323965273781852,1.0,0.65300003969733,0.700999921131133,1098.0,0.3005289278340128,0.5252948138397795
0.1712584373489094,0.00133239652745266,0.7501963333738324,0.8205511012044229,0.00133239652745266,2.0,0.65300003969733,0.7009999210948068,434.0,0.3004059090991661,0.5256363809026663
0.17118570254476723,0.0013323965275243018,0.750527048478512,0.8206056367977747,0.0013323965275243018,3.0,0.65300003969733,0.7009999210551993,1046.0,0.3002719207117,0.5260085985547638
0.1711142811134208,0.001332396527598521,0.7508521265004512,0.8206591876307213,0.001332396527598521,1.0,0.65300003969733,0.7009999210162711,333.0,0.30014031172291905,0.5263744029612208
0.17104453671831732,0.0013323965276632365,0.7511698919217799,0.8207114810185412,0.0013323965276632365,1.0,0.65300003969733,0.7009999209782071,483.0,0.30001175472510017,0.5267319126996443
0.17094486567864858,0.0013323965277673,0.751624558037489,0.8207862129512852,0.0013323965277673,4.0,0.65300003969733,0.7009999209237617,1063.0,0.2998279694783895,0.5272433326152094
0.17087175718433548,0.0013323965278412276,0.751958467174916,0.820841028666284,0.0013323965278412276,4.0,0.65300003969733,0.7009999208837837,324.0,0.2996931143195305,0.5276188373742807
0.17078297146843907,0.0013323965279326646,0.7523644494148393,0.8209075989037713,0.0013323965279326646,6.0,0.65300003969733,0.7009999208351744,1030.0,0.29952928521079714,0.5280752967069028
0.17070737851784798,0.0013323965280091778,0.7527105135924234,0.8209642773752761,0.0013323965280091778,2.0,0.65300003969733,0.7009999207937359,161.0,0.2993897513314996,0.5284643044144524
0.17062874192666064,0.0013323965280845418,0.7530709099840429,0.8210232377969297,0.0013323965280845418,1.0,0.65300003969733,0.7009999207505807,349.0,0.2992445519878182,0.5288693402560837
0.17055944392341738,0.0013323965281630892,0.7533888436658148,0.8210751964964687,0.0013323965281630892,4.0,0.65300003969733,0.7009999207125153,1051.0,0.29911655648296764,0.529226585937335
0.17048966202977556,0.0013323965282350404,0.7537093173173443,0.8211275178685661,0.0013323965282350404,2.0,0.65300003969733,0.7009999206741498,649.0,0.2989876292750253,0.5295866190977174
0.17036665959180616,0.0013323965283627299,0.7542749888793036,0.8212197431581498,0.0013323965283627299,2.0,0.65300003969733,0.7009999206064303,47.0,0.29876028104135194,0.5302219567988922
0.17028823114919966,0.0013323965284381973,0.7546361931445905,0.8212785474286388,0.0013323965284381973,3.0,0.65300003969733,0.7009999205631856,1038.0,0.29861525835468405,0.5306275375689442
0.17022200054550085,0.00133239652851655,0.75494153681972,0.8213282061635468,0.00133239652851655,7.0,0.65300003969733,0.7009999205266344,410.0,0.29849275388595176,0.5309703309029439
0.17014514486678667,0.0013323965285995582,0.7552962304447891,0.8213858312841367,0.0013323965285995582,6.0,0.65300003969733,0.7009999204841809,909.0,0.2983505536361503,0.5313684510091554
