parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
k5	lin	-1000000.0	1000000.0	1.0	1
k6	lin	-1000000.0	1000000.0	1.0	1
k7	lin	-1000000.0	1000000.0	1.0	1
k8	lin	-1000000.0	1000000.0	1.0	1
k9	lin	-1000000.0	1000000.0	1.0	1
k10	lin	-1000000.0	1000000.0	1.0	1
init_x4	lin	0.001	1000.0	1.0	1
init_x5	lin	0.001	1000.0	1.0	1
init_x6	lin	0.001	1000.0	1.0	1
init_x7	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	1e-09	1e-09	1e-09	0
