cell,system,instance,noise,n_rows,best_oracle,rank1_err,rank1_s2,rk_err_1,rk_err_10,rk_s2_1,rk_s2_10
biohydrogenation_4_1em8,biohydrogenation,4,1em8,100,4.064561296757141e-06,4.11313926651502e-06,4.11313926651502e-06,1,1,1,1
biohydrogenation_5_0,biohydrogenation,5,0,100,1.5719272550285268e-09,1.5719272550285268e-09,1.5719272550285268e-09,1,1,1,1
biohydrogenation_5_1em2,biohydrogenation,5,1em2,100,3.207385513697522,9.473795205326402,5.943285682772244,,,,
biohydrogenation_5_1em4,biohydrogenation,5,1em4,100,0.7182854009957286,1.987502083661858,0.7811232176931591,,,,
biohydrogenation_5_1em6,biohydrogenation,5,1em6,100,0.005292183071763157,0.005296750934303485,0.005296750934303485,1,1,1,1
biohydrogenation_5_1em8,biohydrogenation,5,1em8,100,5.697461117526448e-05,5.720585783086651e-05,5.720576827550339e-05,1,1,1,1
biohydrogenation_6_0,biohydrogenation,6,0,100,2.1396462379641434e-10,7.27527926791538e-09,7.27527926791538e-09,1,1,1,1
biohydrogenation_6_1em2,biohydrogenation,6,1em2,100,1.5848473415077988,4.316158417489955,4.316158417489955,,,,
biohydrogenation_6_1em4,biohydrogenation,6,1em4,100,0.7900293250250853,2.378656398957208,2.378656398957208,,,,
biohydrogenation_6_1em6,biohydrogenation,6,1em6,100,0.7700075362781538,9.182000000000002,0.7700075362781538,,,,
biohydrogenation_6_1em8,biohydrogenation,6,1em8,100,0.007560154949329045,0.00761299620657141,0.00761299620657141,1,1,1,1
biohydrogenation_7_0,biohydrogenation,7,0,100,4.7127401991975404e-07,4.7127401991975404e-07,4.7127401991975404e-07,1,1,1,1
biohydrogenation_7_1em2,biohydrogenation,7,1em2,100,0.822,0.8537855565134195,5.4548434266686225,,,,
biohydrogenation_7_1em4,biohydrogenation,7,1em4,100,0.5039053387924515,2.4936366659757883,0.5039053490501075,,,,
biohydrogenation_7_1em6,biohydrogenation,7,1em6,100,0.018136333546569405,0.01813854479454724,0.01813854479454724,,1,,1
biohydrogenation_7_1em8,biohydrogenation,7,1em8,100,0.00013533894918260625,0.0001355555628725913,0.0001355555628725913,1,1,1,1
biohydrogenation_8_0,biohydrogenation,8,0,100,2.7337284547179763e-08,2.7337284547179763e-08,2.7337284547179763e-08,1,1,1,1
biohydrogenation_8_1em2,biohydrogenation,8,1em2,100,1.177790444108488,1.817267742605301,7.21827893935297,,,,
biohydrogenation_8_1em4,biohydrogenation,8,1em4,100,0.5122538000055579,0.5122538000055579,0.5122538000055579,,,,
biohydrogenation_8_1em6,biohydrogenation,8,1em6,100,0.0009274380476161914,0.0009274973058959191,0.0009274973058959191,1,1,1,1
biohydrogenation_8_1em8,biohydrogenation,8,1em8,100,4.4614865419956296e-05,4.4614865419956296e-05,4.4614865419956296e-05,1,1,1,1
biohydrogenation_9_1em2,biohydrogenation,9,1em2,100,0.711,1.569427818949914,7.295311890359542,,,,
biohydrogenation_9_1em6,biohydrogenation,9,1em6,100,0.00074153149384526,0.0007421272902569109,0.0007421272902569109,1,1,1,1
biohydrogenation_9_1em8,biohydrogenation,9,1em8,100,2.257007435668701e-05,2.2655801602988745e-05,2.265618804275782e-05,1,1,1,1
boost_converter_0_0,boost_converter,0,0,100,1.4164024730867197e-08,1.4164024730867197e-08,0.0001697387695313024,1,1,1,1
boost_converter_0_1em2,boost_converter,0,1em2,100,0.0019427490234374956,0.3656117911983059,0.0044909667968749956,63,63,1,1
boost_converter_0_1em4,boost_converter,0,1em4,100,8.117675781249556e-05,0.002855623118856232,0.0008526000976561976,1,1,1,1
boost_converter_0_1em6,boost_converter,0,1em6,100,1.8537112105088127e-05,1.8537112105088127e-05,0.0003299560546875524,1,1,1,1
boost_converter_0_1em8,boost_converter,0,1em8,100,8.915983168433783e-07,8.915983168433783e-07,0.0001544799804688024,1,1,1,1
boost_converter_1_0,boost_converter,1,0,100,2.7061970717667805e-06,2.7061970717667805e-06,4.3395996093709144e-05,1,1,1,1
boost_converter_1_1em2,boost_converter,1,1em2,100,0.04130461567287702,0.04130461567287702,0.04242236328125004,,1,,1
boost_converter_1_1em4,boost_converter,1,1em4,100,0.00012500000000004174,0.0020476235682496124,0.0006514282226562917,1,1,1,1
boost_converter_1_1em6,boost_converter,1,1em6,100,3.409821517841305e-05,0.00016452672611411145,0.0010557861328125417,1,1,1,1
boost_converter_1_1em8,boost_converter,1,1em8,100,1.4547933769870625e-06,1.4547933769870625e-06,4.8156738281290856e-05,1,1,1,1
boost_converter_2_0,boost_converter,2,0,100,2.4573709733743954e-10,2.4573709733743954e-10,5.120849609374645e-05,1,1,1,1
boost_converter_2_1em2,boost_converter,2,1em2,100,0.02906588745117189,0.2531841842948611,0.02941683959960939,,83,,1
boost_converter_2_1em4,boost_converter,2,1em4,100,0.00028067016601562855,0.0014018347976169077,0.0008676452636718901,1,1,1,1
boost_converter_2_1em6,boost_converter,2,1em6,100,5.263522009057997e-05,8.716064366620646e-05,0.0004556579589843901,1,1,1,1
boost_converter_2_1em8,boost_converter,2,1em8,100,2.587536879206098e-06,2.587536879206098e-06,5.319213867188699e-05,1,1,1,1
boost_converter_3_0,boost_converter,3,0,84,9.221801211545255e-09,9.221801211545255e-09,4.1473388671886546e-05,1,1,1,1
boost_converter_3_1em2,boost_converter,3,1em2,100,0.010494750976562495,0.01683300977312696,0.01097921752929687,,1,,1
boost_converter_3_1em4,boost_converter,3,1em4,100,0.00016836547851561967,0.004819571202303807,0.00016836547851561967,1,1,1,1
boost_converter_3_1em6,boost_converter,3,1em6,100,1.1483747618501461e-05,1.6852233241659853e-05,0.00011877441406249467,1,1,1,1
boost_converter_3_1em8,boost_converter,3,1em8,95,2.806792132159508e-06,2.806792132159508e-06,4.1473388671886546e-05,1,1,1,1
boost_converter_4_0,boost_converter,4,0,100,2.3426692252748182e-08,2.3426692252748182e-08,4.165649414067385e-05,1,1,1,1
boost_converter_4_1em2,boost_converter,4,1em2,100,0.003753448486328137,0.09325162575403212,0.02665606689453126,88,1,30,1
boost_converter_4_1em4,boost_converter,4,1em4,100,0.00024517822265623934,0.0004099553539827494,0.00024517822265623934,1,1,1,1
boost_converter_4_1em6,boost_converter,4,1em6,100,1.1845503013696579e-05,1.5317048278618017e-05,0.0006207580566406357,1,1,1,1
