idx,basin,cond_J,sigma_max,sigma_min,oracle,err,theta_k1,theta_k2,theta_xA(t),theta_xB(t),theta_xC(t),theta_eA(t),theta_eC(t),theta_eB(t),vmin_k1,vmin_k2,vmin_xA(t),vmin_xB(t),vmin_xC(t),vmin_eA(t),vmin_eC(t),vmin_eB(t)
10,mirror,10534.812245697038,129.00347936938135,0.012245446464608142,5.4380112192827275,2.142228396605226e-06,1.7547209317730128,0.05173118194265246,-10.488543044269724,5.779011219282728,0.3579594423601758,0.11800026787614518,0.56299749087039,0.14391737627314682,0.010898101679891588,-0.003344190625934706,-0.8914410889103782,0.4529809126918219,-0.0011904280923287958,-1.2161924943378122e-05,-5.631517609090635e-05,-0.0031152960758228623
11,truth,113.10817964269297,57.99900469054221,0.5127746275623937,0.0013604658865064012,2.142228396628486e-06,0.10346236388530491,0.8773604658865064,0.4207525746589747,0.34074373357053,0.3579594423601732,0.11800026787614518,0.56299749087039,0.7684819777695245,0.0581683975768426,-0.8051843076997957,-0.5687400426924573,-0.014858105675017774,0.06170134875694666,0.00015041143363494353,0.0011928931164121304,-0.1442226287212292
12,mirror,10623.078812862206,129.31304176096648,0.012172840288485566,5.4532055842801626,2.1455271817522875e-06,1.7528061712286236,0.05170068676187083,-10.519212565398377,5.794205584280163,0.3575392410543315,0.117999698458003,0.5629985732573494,0.14386268692970466,0.010648172078984768,-0.0033425346917724252,-0.8914725903715821,0.45292498886813964,-0.001175361731600277,-1.206427005627446e-05,-5.612422551300124e-05,-0.0031039003708218512
13,truth,112.8424588919491,57.9946729790717,0.513943718956034,0.000811220046968153,2.1455271817586754e-06,0.10340137352374164,0.8764030856143117,0.41842191225015085,0.3418112200469682,0.35753924105432816,0.117999698458003,0.5629985732573494,0.7672297967971496,0.058475259322692166,-0.8039074012467571,-0.5706095858716315,-0.014743152916473434,0.06181222349646531,0.00015198380078775692,0.0012043612336801734,-0.14380072900608903
14,truth,113.02947501819601,57.997461715907995,0.5131180314388906,0.0007930678486864906,2.1509425830853687e-06,0.10438509017490116,0.8767930678486865,0.4188571229294694,0.3408274130798788,0.35798348060423163,0.11799980471846205,0.5629987046883657,0.7684689662421792,0.059576681746953554,-0.8049098321027841,-0.5688441803672226,-0.01465839740309316,0.06167839930231156,0.000147887327286364,0.0011907956875553127,-0.14479829494396412
15,mirror,10381.469585512803,127.80544668317673,0.012310920494486394,5.384628298457742,2.150942583120292e-06,1.753586135697373,0.05219254508745059,-10.383183207376735,5.7256282984577425,0.35798348060423224,0.11799980471846205,0.5629987046883657,0.1442907728072579,0.010910400010930502,-0.0034096662780063822,-0.8914178297118838,0.45302547285260664,-0.0011948509582230863,-1.216466984336143e-05,-5.679138805303593e-05,-0.003174921077408836
16,truth,112.99665343360626,57.99215473758272,0.5132201085199158,0.0018942957778588232,2.322835335078452e-06,0.10494910268266512,0.8741057042221412,0.4159045521357821,0.3400076523132664,0.3586709111799749,0.11799972415209375,0.5629991439351568,0.7686810580613991,0.06079148208850852,-0.8040022408937906,-0.5697618459776743,-0.014168225794957634,0.06151070590526653,0.00014611277027753306,0.0011907647182911596,-0.14584404814273624
17,mirror,10259.798377723007,126.73197066334765,0.012352286662720337,5.322747869571657,2.322835335097645e-06,1.748211408444283,0.052474551341332686,-10.263646606581357,5.663747869571657,0.3586709111799774,0.11799972415209375,0.5629991439351568,0.14463901848273272,0.010848520495974949,-0.0034720688164213676,-0.8914030202199947,0.45305517354287067,-0.0011942142142671469,-1.2108290300749083e-05,-5.705228987034914e-05,-0.003238836323271095
18,mirror,10684.07450384678,129.76778835285074,0.012145908221262228,5.471333578360792,2.3942751849270444e-06,1.7530127979300278,0.05147597627398925,-10.555865036674584,5.812333578360792,0.35783553560189035,0.11799985398207206,0.5629982567357837,0.1437031140435307,0.010661411018849022,-0.003315330842521601,-0.891481343800941,0.45290780615423976,-0.0011740301409251246,-1.2054271302276966e-05,-5.5897169431887964e-05,-0.003081243149025494
19,truth,112.94838238091864,57.99592282479118,0.5134728059158901,0.0010480474520217498,2.394275184946936e-06,0.10295195254797825,0.8765063989650139,0.41905965541726475,0.34135009821891144,0.3578355356018897,0.11799985398207206,0.5629982567357837,0.7674806975101305,0.05772723461729576,-0.8043498555030595,-0.5700673380448522,-0.014808716323961912,0.06177725714643545,0.0001525529981478077,0.0012023797551385385,-0.14378772500081496
20,mirror,10651.504642652486,129.59676806842373,0.012166991652002974,5.461845006439219,2.5090847370149733e-06,1.7528275613375544,0.05151263464960273,-10.53710268206917,5.802845006439219,0.3579521209084565,0.11799990100106758,0.5629977638464034,0.143755437020956,0.010710138588353988,-0.0033217210227719346,-0.89147248471267,0.4529239767355004,-0.0011774242120639261,-1.2072437371701833e-05,-5.596643811273824e-05,-0.003090274004463986
21,truth,112.98878377489693,57.996022427050455,0.5132900849928045,0.0009747307007945405,2.5090847370418352e-06,0.10302526929920545,0.8764137806687772,0.4193464161579799,0.34107158209775346,0.35795212090845824,0.11799990100106758,0.5629977638464034,0.7678286531785407,0.057842169700702106,-0.8044237317532263,-0.5699177461565457,-0.014786605817019682,0.06173672927305407,0.00015219596825132714,0.0012006362272916626,-0.14394086865267494
22,mirror,10772.619516183755,130.5822261583376,0.012121678108296995,5.507669241888508,2.7381232182782993e-06,1.7543900287717835,0.0511705729869611,-10.626949969555918,5.8486692418885085,0.35784996401639707,0.11799976166231475,0.5629990085800329,0.14344599898649996,0.010713764556525772,-0.0032700464872316946,-0.8914890746286843,0.45289194996135945,-0.001174994291061497,-1.2087196056607751e-05,-5.5639977333693454e-05,-0.0030413269138974677
23,truth,113.06148411977324,57.99937257302616,0.5129896624352085,0.00165885402607778,2.738123218299548e-06,0.10234114597392222,0.8771950143858918,0.4212099077136633,0.34117813189827184,0.3578499640163931,0.11799976166231475,0.5629990085800329,0.767553353565708,0.056622351424542625,-0.80481968966703,-0.5695962257987781,-0.014965114184293582,0.06178266122983145,0.00015406223475940978,0.001201366684329408,-0.14344614707596123
24,mirror,10608.198617537235,129.19088934405238,0.012178400311102481,5.443715239613575,2.7793226975520887e-06,1.7522905109585043,0.05165298017125622,-10.501830692866935,5.7847152396135755,0.35798303959806727,0.1180002678761452,0.5629974908703896,0.1438856423562531,0.010694999687076491,-0.0033433539835471485,-0.8914682525788897,0.45293236724269476,-0.001177346575570721,-1.2053907572563544e-05,-5.607368397108535e-05,-0.0031104467829324686
25,truth,112.94637727403699,57.99372305028214,0.5134624451882546,0.0006940396574875163,2.77932269759037e-06,0.10330596034251248,0.876145255479252,0.41831941324840927,0.34103680833685995,0.357983039598065,0.11800026787614518,0.5629974908703896,0.7680278669173318,0.05840160638962232,-0.8042751399453598,-0.5700267472817341,-0.014737030120212935,0.06172253128538219,0.00015138545124596808,0.001200508401346112,-0.14412475136968497
26,truth,113.04993880158918,57.99889867019292,0.5130378599495324,0.0010903834139965873,2.897620041324305e-06,0.10459251887599459,0.8770903834139966,0.41918972754786443,0.3409111138557963,0.3579077934447401,0.1180002678761452,0.5629974908703905,0.7683129245127983,0.05967673488896099,-0.8051264901871742,-0.5685023571723797,-0.01464948892911011,0.06168920299203129,0.00014721239226041238,0.0011885565954739552,-0.14489131227018817
27,mirror,10341.248005120515,127.59048184898742,0.012338015855127973,5.376614658776494,2.897620041341257e-06,1.7541807668279934,0.052296259437997324,-10.366607142684625,5.717614658776494,0.35790779344474094,0.1180002678761452,0.5629974908703905,0.14434694315183383,0.010956075954125932,-0.003420235700375114,-0.8914080805316474,0.45304340144873406,-0.0011985373562109255,-1.2195918417442345e-05,-5.6946118577150154e-05,-0.0031838452681911445
28,mirror,10837.60818800586,130.93945064204198,0.012081950959156706,5.520273881819093,2.970781748536916e-06,1.7526521625602463,0.05105123635782494,-10.652449110779163,5.861273881819093,0.3578106638970993,0.1180002678761452,0.5629974908703897,0.14334463072399506,0.010593651728078954,-0.0032588814324874494,-0.8915063473121241,0.45286096762191574,-0.0011673637494714604,-1.2043909025552903e-05,-5.547478812258452e-05,-0.0030273719589087263
29,truth,112.99070747108584,57.99759672324031,0.5132952790660401,0.0018975272843500673,2.970781748563139e-06,0.10210247271564993,0.8763260812801231,0.4204420475407951,0.3414542653592938,0.3578106638970991,0.1180002678761452,0.5629974908703897,0.7666972564343199,0.05631220740714305,-0.8042649296956986,-0.5704328792240904,-0.014828717235038147,0.0618052491758343,0.00015515864913400595,0.0012061243408264533,-0.1433594432465701
30,truth,113.00449308307459,57.990065424165735,0.513166015279894,0.003018151766135957,3.0626459207329815e-06,0.10592719834064505,0.872981848233864,0.4141652944994769,0.33940531584580946,0.35906135908048675,0.11799970017713213,0.5629990202481375,0.7692653223141183,0.0623315846232102,-0.8038347560035117,-0.5695969209268295,-0.013870087216126259,0.0613895610287547,0.00014299524839510303,0.0011853375882009964,-0.1468377447194162
31,mirror,10067.870551840957,125.30182363195212,0.012445712624805262,5.2533078750111395,3.0626459207534407e-06,1.7459636964677285,0.05296359917032275,-10.127295863344235,5.59430787501114,0.3590613590804891,0.11799970017713211,0.5629990202481375,0.14509767222415024,0.010919966814167565,-0.0035505302033529917,-0.891367594667469,0.4531219541819285,-0.001202828816798173,-1.2122263723529346e-05,-5.7592085667502904e-05,-0.0033171696027869857
32,truth,113.00585427526218,57.98974155907503,0.5131569681144335,0.003379666109919688,3.1838723153693087e-06,0.10537389467151075,0.8726203338900803,0.4142102154743728,0.3392238206455985,0.35924275596382715,0.11800026787614516,0.56299749087039,0.7694726720584523,0.061783105570083305,-0.8035796156118314,-0.570084926148892,-0.013918582367844046,0.06137328440265544,0.0001446210636007958,0.0011891608027287393,-0.14657415947193272
33,mirror,10160.797197135425,125.90628237663296,0.012391378346979407,5.277347970491375,3.1838723153847746e-06,1.7452406677801606,0.052686947335755366,-10.1758400369271,5.618347970491375,0.35924275596382954,0.11800026787614516,0.56299749087039,0.14491670232214926,0.010855723268615945,-0.003517055072100225,-0.8913870473862464,0.4530857194156592,-0.0011966301438373478,-1.2079503585846597e-05,-5.725210452013041e-05,-0.003287987551736543
34,truth,113.03992728647029,57.998554310282046,0.5130802513991344,0.0007481912813957492,3.185929121361104e-06,0.10474819128139574,0.8767477222863473,0.4188319299438005,0.340897513050736,0.35794392425572064,0.11800026787614515,0.56299749087039,0.7681587542875344,0.059881517750167625,-0.805000698029073,-0.5686209830082636,-0.014560983877320577,0.0616761782321229,0.0001468125436030268,0.0011883323598476103,-0.1450546475878691
35,mirror,10312.567894193755,127.3786336637981,0.012351786186592342,5.365659264357114,3.1859291213669634e-06,1.7534954445726942,0.05237409564069749,-10.345015438640687,5.706659264357114,0.35794392425572175,0.11800026787614516,0.56299749087039,0.14441210286309264,0.010952494177807382,-0.0034328647956250935,-0.8914035377907775,0.4530522474853392,-0.0011992001956305858,-1.2197658886082323e-05,-5.703858641020493e-05,-0.003195417008156329
36,truth,112.7722869710288,57.994134150869975,0.514258739523201,0.0031219586264300547,3.2119520222556076e-06,0.105717977914161,0.8775615113989212,0.4165556404534433,0.3410543682865199,0.357724566761417,0.11800026787614519,0.56299749087039,0.7711219586264301,0.06276632807444092,-0.8041510465644377,-0.569567441936266,-0.014893466810048994,0.061670946810286065,0.00014535687742024683,0.0011932400713943747,-0.14480278129566418
37,mirror,10190.177897274985,126.16987080705641,0.012381517975343318,5.321162534847874,3.2119520222724377e-06,1.7551230227978425,0.05285898895708052,-10.25771556114254,5.662162534847874,0.35772456676142045,0.1180002678761452,0.56299749087039,0.14492038532969867,0.01096788707473879,-0.0034960260044380803,-0.8913868484416588,0.4530837509623093,-0.0012023700793922015,-1.2142236450057633e-05,-5.730505158753804e-05,-0.003261160737079683
38,truth,113.01641694185784,57.989297411811656,0.5131050778370074,0.004034101398007306,3.212572271447662e-06,0.10490572802624684,0.8719658986019927,0.4143404344892835,0.33933717994555146,0.3592620758467334,0.1180002678761452,0.5629974908703903,0.7684810484145268,0.06090394447977404,-0.8033679508588824,-0.570507388509218,-0.013805049357358046,0.06138805082888743,0.00014598773492510708,0.0011919709619686025,-0.14646313685182177
39,mirror,10243.600662386412,126.5041264360266,0.012349576150555971,5.30007326849211,3.212572271464006e-06,1.7439317972039845,0.052452864013123504,-10.221069911811954,5.64107326849211,0.3592620758467374,0.11800026787614518,0.5629974908703903,0.14470873332164846,0.010773049833984439,-0.0034883744076439514,-0.8914048711713972,0.45305307882731116,-0.001190355742297343,-1.2058728650876288e-05,-5.7019731256482725e-05,-0.0032581766080538354
40,truth,112.64818069026826,57.985846067108305,0.5147517315574164,0.002245787173090777,3.2189244171734196e-06,0.10624578717309077,0.8742423433711988,0.4114667632811968,0.34134308856318035,0.358028497084399,0.11799990100106758,0.5629977638464034,0.7681072272132,0.06316183508317623,-0.8032906439130506,-0.5704734822059323,-0.014128018163457767,0.06165877103991846,0.00014343040173572796,0.0011951014328006604,-0.14591736122690885
41,mirror,10145.72340959261,125.41877803514319,0.012361738337609503,5.276476035127342,3.2189244172136545e-06,1.7484846867423973,0.05312289358654529,-10.17258306326016,5.617476035127342,0.3580284970843986,0.11799990100106758,0.5629977638464034,0.14509041765917569,0.010671469286373888,-0.0035569177810484054,-0.8914037715910277,0.45305679275227145,-0.0011871637167575229,-1.2018823308888125e-05,-5.749387553327919e-05,-0.0033036049698844314
42,truth,113.01707556755161,57.997736451441114,0.5131767581154159,0.0008992334059911289,3.2431703262320776e-06,0.10489923340599112,0.8765168478463273,0.41832846929884177,0.3408979031391196,0.35796482321076434,0.11800026787614518,0.56299749087039,0.7681609470691799,0.06015804232956011,-0.8048773617159957,-0.5687398158800212,-0.014511169180049632,0.06166816162363231,0.00014643414557767576,0.0011884383958184475,-0.14516712560060935
43,mirror,10289.527851851148,127.17349903372876,0.012359507731042245,5.355948314969409,3.2431703262536036e-06,1.7530336956926544,0.052449616702995486,-10.326037718288427,5.69694831496941,0.3579648232107658,0.11800026787614518,0.56299749087039,0.14447982868036838,0.010941807703469328,-0.0034449144687473173,-0.8914009328169298,0.4530574615077523,-0.0011991817278914415,-1.219039675264608e-05,-5.710534740979999e-05,-0.0032064789568056217
44,truth,113.02652457485645,57.989694152858185,0.5130627025026513,0.003525141632605311,3.333917984395356e-06,0.10554835112045317,0.8724748583673947,0.4140305843405597,0.3390329924662646,0.35935307783120674,0.11800026787614518,0.56299749087039,0.7696676884198105,0.0620310763915031,-0.8036425966392442,-0.5699186324317272,-0.01387235509145529,0.06134298406734551,0.00014395110685257173,0.0011873771804893907,-0.1467877389948966
45,mirror,10121.566315638629,125.63230185242077,0.012412337965746352,5.263971729900464,3.3339179844168766e-06,1.7449497167347894,0.052774175560226594,-10.149569413042508,5.604971729900464,0.3593530778312103,0.11800026787614518,0.56299749087039,0.1450016442665084,0.010884338849772184,-0.003531151052897084,-0.8913787985482575,0.4531010371373562,-0.0011990897045535244,-1.2087256032342457e-05,-5.735801074488377e-05,-0.003302806624577803
46,mirror,10657.777080514428,129.51270351809933,0.012151943368649255,5.479209982894418,3.3930056630568692e-06,1.7576027611471796,0.05177059466318834,-10.568430759953108,5.8202099828944185,0.3567080446387157,0.11799972917643368,0.5629977649428108,0.14387520278902724,0.010667412717679207,-0.003330831453342942,-0.8914778301365609,0.45291440146995987,-0.0011758184016911616,-1.2072801867069803e-05,-5.6081648175849915e-05,-0.003090201294384119
47,truth,112.65710178796556,57.996068767530495,0.51480171109573,0.0028013805735893627,3.3930072068160286e-06,0.1035411893263766,0.8788013805735894,0.4192427131223904,0.3428712545745079,0.35670804463870975,0.11799972917643368,0.5629977649428108,0.7683576385975414,0.05922869377454792,-0.803803504236933,-0.5709124665803949,-0.015273349437426198,0.06197068394391381,0.00015295307149409965,0.0012098035983081346,-0.14274353233115183
48,truth,112.59679901250192,57.983884539139034,0.5149692091397814,0.00249891807046336,3.4182729713848306e-06,0.10649891807046336,0.8737042709921548,0.41044258525119776,0.3413284770948952,0.3580782470761418,0.1179999891625483,0.5629967197812549,0.7681509922702465,0.06371828636096183,-0.8029693082647481,-0.57081911678237,-0.01403028533050249,0.06163966679690469,0.00014288555896768695,0.0011959721853468386,-0.14610974535878848
49,mirror,10110.156781451915,125.07203307937587,0.012370929134237851,5.259435265487796,3.4182729714255267e-06,1.7474085419843095,0.05324945903523166,-10.139452357729736,5.600435265487796,0.35807824707614083,0.11799998916254831,0.5629967197812549,0.1452140708571914,0.010639721453336715,-0.003578917452024811,-0.8914007822606487,0.4530631000142675,-0.001186322926323033,-1.199787308755584e-05,-5.758859617026229e-05,-0.003324100683204948
50,truth,113.17358795478538,57.99860282754755,0.5124747202564516,0.002762290024575287,3.442327078513372e-06,0.10445764242574851,0.8768368890553119,0.4180336401770842,0.33944847226609326,0.3588874542294187,0.11799980958799104,0.5629965719497937,0.7707622900245753,0.06013307796297967,-0.8055784959214144,-0.5677212836782827,-0.014783565761664674,0.061521450197029814,0.00014620223540361826,0.001184226448084691,-0.14530993594391126
51,mirror,10326.410850456134,127.273391915739,0.012325036622973134,5.357787288406224,3.442327078537561e-06,1.7536737781106235,0.05222882121287425,-10.33292916569441,5.6987872884062245,0.35888745422942675,0.11799980958799104,0.5629965719497937,0.14445286207223376,0.011007303584456861,-0.0034260181325818082,-0.8914065519734024,0.453044993362678,-0.001199219706015353,-1.2127699520485822e-05,-5.676793338448824e-05,-0.0032020708726474205
52,mirror,10647.449255558466,129.43200550092357,0.01215615143066815,5.4783937675522045,3.701958414632409e-06,1.7578450665064376,0.051859308822359014,-10.566039533085718,5.819393767552205,0.35638803832819516,0.11799969845800297,0.5629985732573494,0.1439002259891779,0.010638582662497889,-0.00333857797163018,-0.8914781334661559,0.4529144091512618,-0.0011749653441436511,-1.2078982092587025e-05,-5.617178446746493e-05,-0.003092918717187632
53,truth,112.59095610249483,57.994992594557424,0.5150945919827068,0.002922533253217674,3.7019584146407825e-06,0.10371861764471806,0.8789225332532177,0.4190095440111453,0.34336329668710075,0.3563880383281947,0.117999698458003,0.5629985732573494,0.7677383408998488,0.059378785914248985,-0.8036483583747657,-0.5711322835474528,-0.015245319741577612,0.06202741818617541,0.00015284890998366885,0.001211126696521625,-0.1426537065176931
54,mirror,10987.36929891716,132.1672564789199,0.012029017400183811,5.581036446669044,3.7258050186976944e-06,1.7561780325779361,0.05063058256618347,-10.771493759269182,5.922036446669044,0.3576505694718828,0.11799980471846205,0.5629987046883657,0.1429745450596918,0.010650890046070158,-0.003192230009818817,-0.8915235765332422,0.45282658383251556,-0.001166939508547956,-1.20711214947114e-05,-5.505348672211815e-05,-0.0029666048482674618
55,truth,113.10463519125814,58.00211206650121,0.5128181702581911,0.002738834867633072,3.725805018718491e-06,0.10126116513236692,0.8780890162889681,0.4232682010022934,0.3414644184256068,0.35765056947188245,0.11799980471846205,0.5629987046883657,0.7671275862848264,0.05493160101323614,-0.8051003707752535,-0.5695571791802597,-0.015227164318054154,0.06186360077258768,0.0001572925165132938,0.0012052569373792177,-0.14261866221836927
56,truth,113.17033934948047,58.00486979440059,0.5125448074806614,0.001339024833319269,3.742365615181544e-06,0.10338934861666366,0.8762842206640217,0.42208627912845587,0.34096348132688636,0.35797844123176514,0.11800026787614523,0.5629974908703901,0.7666609751666807,0.057416724810981146,-0.8048541412595465,-0.5692360236120778,-0.014510032400128992,0.061695888666359555,0.00015105738329844465,0.0011933173706349387,-0.1444476025705634
57,mirror,10521.001773509095,129.1964261479167,0.012279859744270864,5.438723395244727,3.742365615201642e-06,1.7525684413280438,0.05169467430833193,-10.488197162646493,5.779723395244727,0.357978441231765,0.11800026787614525,0.5629974908703901,0.14383036190518825,0.01091042744271149,-0.003340132665246002,-0.8914322958545674,0.4529979873655829,-0.0011933119298028554,-1.223329913159672e-05,-5.647250651262623e-05,-0.003108714336014604
58,mirror,10846.519765736946,130.80526004870134,0.012059652577401082,5.503598831896709,3.7769588940594378e-06,1.748385551790292,0.05103309280003355,-10.621602264007509,5.844598831896709,0.35817149961396555,0.1180002678761452,0.5629974908703902,0.14339441566990715,0.010457240463668749,-0.0032728214330447944,-0.8915166859752022,0.4528436139413446,-0.0011597746072050093,-1.1972759059865391e-05,-5.539775574037249e-05,-0.0030407914577282665
59,truth,112.92451074242233,57.99316265016156,0.513556908671868,0.0019338143999328844,3.776958894083383e-06,0.10206618560006711,0.8741927758951461,0.41836359712087157,0.34119242664953164,0.3581714996139633,0.1180002678761452,0.5629974908703902,0.7661734787230879,0.05651632827087963,-0.8033299465273028,-0.5716433393536791,-0.014480608070959688,0.061731786333176664,0.00015544562473751578,0.0012105270366408183,-0.1437664885526359
60,mirror,10458.41741920319,127.80002192491567,0.012219824166728713,5.363200904330612,3.833613508471024e-06,1.7450147694023208,0.05200789730661595,-10.346321680644746,5.704200904330612,0.35891440957802145,0.11800026787614525,0.56299749087039,0.14441154680200904,0.010600198073908773,-0.0034226306928865006,-0.8914506023801057,0.4529681387005993,-0.0011756864264912362,-1.1958792757290175e-05,-5.632690079644575e-05,-0.00319760596221157
61,truth,112.7852170731441,57.98876682842222,0.5141521941728855,0.0034926152988395964,3.833613508478544e-06,0.10401579461323193,0.8725073847011604,0.41436933733207204,0.34001258906289467,0.3589144095780187,0.11800026787614523,0.56299749087039,0.7695894206651499,0.060783522975412584,-0.8021669497359238,-0.5725411121101293,-0.014225882680520885,0.06148377683384065,0.00015032712384342034,0.0012076357582060382,-0.14507277999540727
62,mirror,11047.853856101718,132.260277659961,0.011971581031270955,5.57337690006126,4.503919058802378e-06,1.7505570259036418,0.05056749996502152,-10.758788026175006,5.91437690006126,0.3578400872917946,0.11800026787614516,0.56299749087039,0.14296882666634284,0.01038868380068427,-0.003202330672547973,-0.8915497417154898,0.4527810939602491,-0.0011518235199167448,-1.195606994214316e-05,-5.487390867650371e-05,-0.0029714432254059936
63,truth,112.92524223082405,57.995597355777164,0.513575142369247,0.0028650000699561307,4.50391905880285e-06,0.10113499993004386,0.8752785129518218,0.42015310907157477,0.34169152933774005,0.3578400872917956,0.11800026787614515,0.56299749087039,0.765725556288859,0.05506633702453585,-0.8035497610077555,-0.571677849539226,-0.014767336359504835,0.061838136432065816,0.00015843746718607887,0.001214989746198658,-0.14288591888015384
64,truth,112.75584693720333,57.99541649858321,0.5143450922849471,0.0051156516531160046,4.5743324798861466e-06,0.10680382313239657,0.8790460520638647,0.41641908435388203,0.34085631905543357,0.35763933650391955,0.11800026787614518,0.56299749087039,0.773115651653116,0.06465826525962988,-0.8046804899006873,-0.568532685944699,-0.015120337244949933,0.061644474638617885,0.0001421487435256802,0.0011862677403994826,-0.14508311283544317
65,mirror,10001.575575493476,124.83044733168452,0.012481078245066944,5.269817905184352,4.574332479905927e-06,1.7580921041277298,0.05340191156619836,-10.155250844446911,5.610817905184352,0.35763933650392166,0.11800026787614518,0.56299749087039,0.14538526778792046,0.011156266540348151,-0.003561791075469935,-0.8913453807600898,0.4531596863547982,-0.0012170293718703714,-1.2197999817836682e-05,-5.785925507005812e-05,-0.0033282975693784654
66,truth,112.73240980423634,57.995819088029975,0.5144555961213079,0.00505120603133602,4.595320356827667e-06,0.10663858976915393,0.8794665575450179,0.4167614512559402,0.3411010086721116,0.3574735528928612,0.11800026787614518,0.56299749087039,0.773051206031336,0.06443985918810749,-0.804686429655834,-0.5686156612643236,-0.01522032320728306,0.06168589232994137,0.0001428227799123924,0.001187947510683851,-0.1447938019108161
