idx,basin,cond_J,sigma_max,sigma_min,oracle,err,theta_k1,theta_k2,theta_xA(t),theta_xB(t),theta_xC(t),theta_eA(t),theta_eC(t),theta_eB(t),vmin_k1,vmin_k2,vmin_xA(t),vmin_xB(t),vmin_xC(t),vmin_eA(t),vmin_eC(t),vmin_eB(t)
0,mirror,10408.905119164281,127.82387923755985,0.012280242520629555,5.378583975920241,1.777245732145745e-06,1.7504761141674081,0.05214848797888848,-10.372833168220415,5.719583975920242,0.35817566857847727,0.11799972415209377,0.5629991439351568,0.14429669338166357,0.010778088169807805,-0.003415646369136389,-0.8914312144611563,0.45300224555240803,-0.0011870441368054497,-1.209959569177265e-05,-5.66792959992487e-05,-0.003179489163922371
1,truth,112.95152701181026,57.993778530404626,0.5134395263584243,0.0007619429162959435,1.7772457321482009e-06,0.10429697595777718,0.8752380570837041,0.4171679779831425,0.3407846057406949,0.3581756685784751,0.11799972415209377,0.5629991439351568,0.7679521175055789,0.05969972551612194,-0.8041208959091373,-0.5699079245583167,-0.014420587128006035,0.061645321970285494,0.00014844594421764556,0.0011954950947700715,-0.14498598126219564
2,truth,112.93111639949,57.99343376839478,0.5135292700308122,0.0009988149893274123,1.8171514423287373e-06,0.10379687087458245,0.8750011850106726,0.41737015359799867,0.3409897981693925,0.3581120393686713,0.11799970017713213,0.5629990202481375,0.7673752826408162,0.05896383244975256,-0.8038948616441097,-0.5703792840965023,-0.014426923005324332,0.06167863377790961,0.00015009871494261334,0.0011994447056199453,-0.144671832051925
3,mirror,10510.032539488757,128.51264432345297,0.012227616217228596,5.4080457074622466,1.8171514423335838e-06,1.7500023700213452,0.05189843543729124,-10.431320315043697,5.749045707462247,0.3581120393686741,0.11799970017713213,0.5629990202481375,0.14408364021468503,0.010693664843825383,-0.003382666507800879,-0.8914520571883514,0.4529637263421842,-0.0011801907441222254,-1.2069951661067857e-05,-5.639051083155676e-05,-0.003146311586358893
4,mirror,10483.565359863933,128.54336724108364,0.012261417068396284,5.417278982948951,1.8241490234521859e-06,1.7538188264821628,0.051915552467965156,-10.447831819981326,5.758278982948951,0.3579492158869284,0.11799985398207206,0.5629982567357837,0.14406303356733358,0.010863065833094229,-0.0033714212330443333,-0.8914363691149076,0.45299068129063674,-0.0011898236329909914,-1.2146586058699429e-05,-5.648415223044888e-05,-0.003138595923960456
5,truth,113.04152793090765,57.99798106932405,0.5130679152246873,0.0009094132410815137,1.824149023454773e-06,0.10383110493593031,0.8769094132410815,0.41954765505249114,0.34090663203119365,0.35794921588692863,0.11799985398207206,0.5629982567357837,0.7682511040320575,0.0587763915968554,-0.8048875607534567,-0.569047353678821,-0.014743037788481406,0.061704257232007675,0.0001495553888813464,0.0011935998792351188,-0.1444307447708482
6,mirror,10479.80809378336,128.5240443851551,0.012263969266898673,5.416872511746834,1.9004195194731435e-06,1.7541703118716994,0.051911782001273055,-10.447109881533532,5.757872511746834,0.3579675571231698,0.11800026787614513,0.56299749087039,0.14406837169110884,0.010884372521628514,-0.003370609106882091,-0.8914346758872193,0.4529935020775569,-0.0011908723713476472,-1.2149589369319172e-05,-5.6477267816733615e-05,-0.003139047008016431
7,truth,113.06040153220155,57.997431874947615,0.5129774093224757,0.0010851559358496798,1.900419519512704e-06,0.1038235640025461,0.8770851559358497,0.41968914728521844,0.340789512395749,0.35796755712316747,0.11800026787614513,0.56299749087039,0.7685166182019333,0.05878336205733802,-0.8050281708845126,-0.5688452928483175,-0.014784340747462377,0.06169465825822884,0.00014942023198678822,0.0011925798423053635,-0.1444400950908761
8,truth,112.98683769442577,57.995604592475516,0.5132952277974653,0.0005360265418269117,2.036785606346993e-06,0.1045360265418269,0.8761289028585203,0.4178698782005828,0.3407919762234243,0.35806836705962686,0.11799976166231475,0.5629990085800329,0.7683761831127741,0.05993051056108282,-0.8045745019471756,-0.5692394877915175,-0.014541421865172821,0.06165751940607833,0.0001475793541447154,0.0011920039282840023,-0.14498298161160397
9,mirror,10360.279113258197,127.56617250714373,0.012313005384564929,5.371436374500015,2.03678560636327e-06,1.7522578057170393,0.05226801327091327,-10.357778221956679,5.712436374500015,0.3580683670596276,0.11799976166231474,0.5629990085800329,0.1443723192018279,0.010868021886731563,-0.0034251189712922953,-0.8914177509604976,0.4530264345981126,-0.0011930540509929447,-1.2140676577364611e-05,-5.684109553126944e-05,-0.003189158490593118
