cell,err_only,"C: (is_neg1, err)","S2: (sat, is_neg1, err)","lognorm_err: (Σlog², err)","lognorm_neg1_err: (Σlog², is_neg1, err)",oracle_best
boost_converter_8_1em6,3.88746e-05,0.00146808,0.00146808,0.608238,0.608238,2.16513e-05
mass_spring_damper_6_0,4.2244e-14,4.2244e-14,4.2244e-14,0.00114037,0.00114037,4.2244e-14
aircraft_pitch_0_1em4,0.000870389,0.000870389,0.000987691,0.000628787,0.000628787,6.75497e-05
sirt_treatment_4_1em8,1.41641e-07,1.41641e-07,1.41641e-07,0.165204,0.165204,1.41641e-07
harmonic_oscillator_8_1em8,1.10977e-10,1.10977e-10,1.10977e-10,9.33036e-05,9.33036e-05,1.10977e-10
fitzhugh_nagumo_2_1em2,13.6217,13.6217,0.32163,1.46976,1.46976,0.206513
harmonic_oscillator_5_1em6,1.03496e-08,1.03496e-08,1.03496e-08,0.0001325,0.0001325,1.03496e-08
biohydrogenation_5_1em6,0.00529675,0.00529675,0.00529675,0.123541,0.123541,0.00529218
daisy_mamil4_0_1em2,3.83729,0.979515,0.979515,0.649575,0.649575,0.374756
dc_motor_3_1em2,0.127442,0.0165873,0.0165873,1.0012,1.0012,0.0162926
fitzhugh_nagumo_0_0,2.20179e-10,2.20179e-10,2.20179e-10,0.0159193,0.0159193,2.20179e-10
vanderpol_5_1em2,0.00922905,0.00922905,0.00922905,0.0565499,0.0565499,0.00922905
repressilator_6_1em2,0.380722,0.380722,0.458369,1.4432,1.4432,0.0857352
boost_converter_7_1em6,4.82816e-05,0.000176514,0.000176514,0.636844,0.636844,3.28454e-05
boost_converter_3_1em2,0.016833,0.0109792,0.0109792,0.068916,0.068916,0.0104948
harmonic_oscillator_3_1em4,3.18996e-07,3.18996e-07,3.18996e-07,0.000203899,0.000203899,3.18996e-07
slow_fast_0_1em8,2.79044e-08,2.79044e-08,2.79044e-08,0.000133677,0.000133677,2.79044e-08
sirt_treatment_3_1em2,0.905523,0.905523,0.905523,0.144561,0.144561,0.0762449
forced_lotka_volterra_5_1em8,0.000835663,0.000835663,0.000835663,0.720273,0.720273,0.000306854
vanderpol_8_1em4,7.46599e-06,7.46599e-06,7.46599e-06,0.266321,0.266321,7.46599e-06
forced_lotka_volterra_1_1em6,0.011114,0.000589294,0.000589294,1.01913,1.01913,0.000589294
crauste_1_1em6,101.562,0.0369628,0.0369628,0.0369628,0.0369628,0.0369628
vanderpol_7_0,5.09037e-14,5.09037e-14,5.09037e-14,0.436783,0.436783,5.09037e-14
harmonic_oscillator_8_1em6,7.96614e-09,7.96614e-09,7.96614e-09,0.000273223,0.000273223,7.96614e-09
vanderpol_4_0,9.64506e-15,9.64506e-15,9.64506e-15,0.255627,0.255627,9.64506e-15
