cell,err_only,"C: (is_neg1, err)","S2: (sat, is_neg1, err)","lognorm_err: (Σlog², err)","lognorm_neg1_err: (Σlog², is_neg1, err)",oracle_best
seir_6_1em8,0.00528087,0.00528087,0.00528087,0.0659493,0.0659493,0.00528087
hiv_3_0,2.40617e-09,2.40617e-09,2.40617e-09,0.516779,0.516779,2.40617e-09
sirt_treatment_6_1em6,0.00169462,3.72604e-05,3.72604e-05,0.138007,0.138007,3.72604e-05
quadrotor_7_1em4,0.000563053,0.000561462,0.000561462,0.167408,0.167408,0.000132812
bicycle_model_5_1em4,0.000117419,0.000117419,0.000117419,0.647144,0.647144,4.65021e-05
forced_lotka_volterra_6_0,9.06372e-06,9.06372e-06,9.06372e-06,2.47993e-05,2.47993e-05,9.06372e-06
daisy_mamil3_0_1em2,0.995185,0.455773,0.455773,0.824084,0.824084,0.181758
boost_converter_6_0,0.000440674,0.000440674,0.000440674,1.88329,1.88329,0.000234528
biohydrogenation_6_1em8,0.007613,0.007613,0.007613,0.0075988,0.0075988,0.00756015
boost_converter_5_0,2.41359e-07,6.71387e-05,6.71387e-05,3.36759,3.36759,2.41359e-07
daisy_mamil4_3_1em2,3.77842,3.77842,3.77842,3.61506,3.61506,0.490676
aircraft_pitch_3_1em2,0.00223509,0.00223509,0.00223509,0.11118,0.11118,0.000273973
mass_spring_damper_4_0,1.58651e-13,1.58651e-13,1.58651e-13,0.000603883,0.000603883,1.58651e-13
slow_fast_5_1em2,0.546484,0.546484,0.546484,0.371603,0.371603,0.0469366
forced_lotka_volterra_1_0,1.73976e-10,8.97217e-05,8.97217e-05,1.01915,1.01915,1.73976e-10
repressilator_6_1em4,0.00260151,0.000315767,0.000315767,1.09763,1.09763,0.000315767
sirt_treatment_2_1em8,3.46536e-07,3.46536e-07,3.46536e-07,0.00343477,0.00343477,3.46536e-07
dc_motor_1_1em2,0.0959537,0.0186373,0.0186373,0.995612,0.995612,0.0185019
quadrotor_6_0,9.4027e-12,2.72217e-05,2.72217e-05,0.00192106,0.00192106,9.4027e-12
boost_converter_4_1em6,1.5317e-05,0.000620758,0.000620758,0.423158,0.423158,1.18455e-05
lotka_volterra_3_1em6,3.30521e-07,3.30521e-07,3.30521e-07,0.0155572,0.0155572,3.30521e-07
dc_motor_2_1em4,0.00257775,0.000805252,0.000805252,0.219946,0.219946,0.000219696
quadrotor_9_1em4,0.00400155,0.00393176,0.00393176,0.139052,0.139052,0.000569641
bicycle_model_1_1em2,0.00273691,0.000218197,0.000218197,0.194968,0.194968,0.000215802
slow_fast_8_0,1.1614e-12,1.1614e-12,1.1614e-12,0.000869003,0.000869003,1.1614e-12
repressilator_7_1em6,1.14142e-06,1.14142e-06,1.14142e-06,0.0138584,0.0138584,1.14142e-06
