cell,system,instance,noise,n_rows_06,n_rows_14,ceiling_06,ceiling_14,delta
aircraft_pitch_8_1em2,aircraft_pitch,8,1em2,268,100,0.004643623140248132,0.04760316875365522,0.04295954561340709
aircraft_pitch_8_1em4,aircraft_pitch,8,1em4,374,100,8.631706237771652e-06,3.762149810793147e-05,2.898979187015982e-05
aircraft_pitch_8_1em6,aircraft_pitch,8,1em6,354,100,2.09712982179866e-06,1.220798492429509e-05,1.011085510249643e-05
aircraft_pitch_8_1em8,aircraft_pitch,8,1em8,352,100,1.5048980712695226e-06,1.48953605080826e-05,1.3390462436813078e-05
aircraft_pitch_9_0,aircraft_pitch,9,0,301,100,3.729191400125842e-10,5.943864289648104e-10,2.2146728895222623e-10
aircraft_pitch_9_1em2,aircraft_pitch,9,1em2,281,100,0.0013225352046353223,0.0006231286426497951,-0.0006994065619855272
aircraft_pitch_9_1em4,aircraft_pitch,9,1em4,334,100,1.103591918949487e-05,4.582691192622779e-05,3.479099273673292e-05
aircraft_pitch_9_1em6,aircraft_pitch,9,1em6,356,100,3.1499862670480994e-06,4.3103218078655026e-05,3.9953231811606926e-05
aircraft_pitch_9_1em8,aircraft_pitch,9,1em8,330,100,3.1499862670480994e-06,1.0437506282157116e-05,7.287520015109017e-06
bicycle_model_0_0,bicycle_model,0,0,142,100,5.379763301505136e-11,5.37751509988027e-11,-2.248201624865942e-14
bicycle_model_0_1em2,bicycle_model,0,1em2,188,100,0.0020099296569824343,0.0020175590515136843,7.62939453125e-06
bicycle_model_0_1em4,bicycle_model,0,1em4,221,100,4.2529106140110073e-05,4.333400726319603e-05,8.049011230859549e-07
bicycle_model_0_1em6,bicycle_model,0,1em6,165,100,8.673667907688198e-06,8.673667907688198e-06,0.0
bicycle_model_0_1em8,bicycle_model,0,1em8,154,100,2.055168151882114e-06,2.055168151882114e-06,0.0
bicycle_model_1_0,bicycle_model,1,0,198,100,6.762368442991828e-13,1.0618173007514997e-12,3.8558045645231687e-13
bicycle_model_1_1em2,bicycle_model,1,1em2,202,100,0.00021580219268801937,0.00021580219268801937,0.0
bicycle_model_1_1em4,bicycle_model,1,1em4,241,100,5.050659179661743e-06,5.050659179661743e-06,0.0
bicycle_model_1_1em6,bicycle_model,1,1em6,224,100,2.101898193385132e-06,2.9602050781174505e-06,8.583068847323183e-07
bicycle_model_1_1em8,bicycle_model,1,1em8,203,100,9.80956673279909e-07,9.809976161401224e-07,4.0942860213277754e-11
bicycle_model_2_0,bicycle_model,2,0,145,100,8.499312365017886e-13,7.14373005195057e-13,-1.3555823130673161e-13
bicycle_model_2_1em2,bicycle_model,2,1em2,200,100,0.000546481132507326,0.000546481132507326,0.0
bicycle_model_2_1em4,bicycle_model,2,1em4,206,100,1.3780593872136926e-06,7.950782775878462e-06,6.5727233886647696e-06
bicycle_model_2_1em6,bicycle_model,2,1em6,176,100,1.3780593872136926e-06,3.046035766618438e-06,1.6679763794047453e-06
bicycle_model_2_1em8,bicycle_model,2,1em8,149,100,3.308719602745924e-07,2.9609286422704884e-07,-3.477909604754359e-08
bicycle_model_3_0,bicycle_model,3,0,215,100,1.265987314980066e-12,1.265987314980066e-12,0.0
bicycle_model_3_1em2,bicycle_model,3,1em2,350,100,0.012913284301757866,0.020652709960937488,0.007739425659179622
bicycle_model_3_1em4,bicycle_model,3,1em4,271,100,7.826232910157493e-05,0.0003914373490127021,0.00031317501991112717
bicycle_model_3_1em6,bicycle_model,3,1em6,257,100,3.606280095080905e-05,3.6062800957803454e-05,6.994405055138486e-15
bicycle_model_3_1em8,bicycle_model,3,1em8,231,100,3.98676541979448e-06,3.986765881425214e-06,4.616307336391401e-13
bicycle_model_4_0,bicycle_model,4,0,156,100,3.848621421553844e-11,3.836853057492817e-11,-1.176836406102666e-13
bicycle_model_4_1em2,bicycle_model,4,1em2,185,100,0.002550054550170877,0.002702761650085428,0.00015270709991455078
bicycle_model_4_1em4,bicycle_model,4,1em4,237,100,1.685714721677556e-05,0.00010160023353328329,8.474308631650773e-05
bicycle_model_4_1em6,bicycle_model,4,1em6,169,100,6.685256958016694e-06,3.1089782714932568e-06,-3.5762786865234375e-06
bicycle_model_4_1em8,bicycle_model,4,1em8,167,100,6.502159968224674e-07,5.692844863292024e-07,-8.093151049326508e-08
bicycle_model_5_0,bicycle_model,5,0,176,100,6.084022174945858e-14,6.084022174945858e-14,0.0
