use_column_scaling,rep,n_candidates,best_relerr_truth,best_relerr_swap,truth_ok,swap_ok,wall_s
true,1,207,4.083e-03,4.083e-03,1,1,5341.7
true,2,207,4.083e-03,4.083e-03,1,1,5172.1
false,1,192,8.503e-02,8.503e-02,0,0,3478.6
false,2,192,8.503e-02,8.503e-02,0,0,3487.6
