system,noise,use_column_scaling,n_candidates,best_max_relerr,best_median_relerr,wall_s
biohydrogenation,0,false,156,5.863e-03,4.900e-05,391.4
biohydrogenation,0,true,157,5.863e-03,4.900e-05,386.7
daisy_mamil4,0,false,120,4.198e-06,3.908e-07,113.2
daisy_mamil4,0,true,120,4.198e-06,3.908e-07,108.9
lotka_volterra,0,false,137,3.252e-08,4.065e-09,20.2
lotka_volterra,0,true,137,3.252e-08,4.065e-09,22.2
simple,0,false,83,3.075e-13,1.221e-13,16.3
simple,0,true,83,3.075e-13,1.221e-13,3.0
biohydrogenation,1e-08,false,144,8.851e-01,2.830e-02,374.4
biohydrogenation,1e-08,true,127,3.645e-01,3.448e-03,503.2
