system,noise,off_med,off_min,on_med,on_min
biohydrogenation,1e-08,6.356e-01,6.356e-01,6.356e-01,6.356e-01
biohydrogenation,1e-06,9.999e-01,9.999e-01,1.000e+00,1.000e+00
daisy_mamil4,1e-08,2.440e-01,2.440e-01,2.440e-01,2.440e-01
lotka_volterra,1e-08,8.789e-05,8.789e-05,8.789e-05,8.789e-05
