simulationConditionId	measurement	time	observableId	observableParameters	noiseParameters	datasetId	replicateId
condition1	0.33316540581295273	0.0	obs_y1		noiseParameter1	dataset1	0
condition1	0.33419705998009896	0.005	obs_y1		noiseParameter1	dataset1	0
condition1	0.33571377677306696	0.01	obs_y1		noiseParameter1	dataset1	0
condition1	0.3372726827000472	0.015	obs_y1		noiseParameter1	dataset1	0
condition1	0.33795421941851556	0.02	obs_y1		noiseParameter1	dataset1	0
condition1	0.3392379597981963	0.025	obs_y1		noiseParameter1	dataset1	0
condition1	0.3411499720246868	0.03	obs_y1		noiseParameter1	dataset1	0
condition1	0.3421799522239507	0.035	obs_y1		noiseParameter1	dataset1	0
condition1	0.34307289137718144	0.04	obs_y1		noiseParameter1	dataset1	0
condition1	0.34474864117689874	0.045	obs_y1		noiseParameter1	dataset1	0
condition1	0.345740442105032	0.05	obs_y1		noiseParameter1	dataset1	0
condition1	0.3470896288269485	0.055	obs_y1		noiseParameter1	dataset1	0
condition1	0.34869809141089597	0.06	obs_y1		noiseParameter1	dataset1	0
condition1	0.3493184721819257	0.065	obs_y1		noiseParameter1	dataset1	0
condition1	0.3507685385533846	0.07	obs_y1		noiseParameter1	dataset1	0
condition1	0.35257518798131915	0.075	obs_y1		noiseParameter1	dataset1	0
condition1	0.35382633081273135	0.08	obs_y1		noiseParameter1	dataset1	0
condition1	0.3557211319637227	0.085	obs_y1		noiseParameter1	dataset1	0
condition1	0.35672252607845295	0.09	obs_y1		noiseParameter1	dataset1	0
condition1	0.35799102667348304	0.095	obs_y1		noiseParameter1	dataset1	0
condition1	0.3604889873642916	0.1	obs_y1		noiseParameter1	dataset1	0
condition1	0.36135758786691025	0.105	obs_y1		noiseParameter1	dataset1	0
condition1	0.3629554207959653	0.11	obs_y1		noiseParameter1	dataset1	0
condition1	0.36391757813624415	0.115	obs_y1		noiseParameter1	dataset1	0
condition1	0.36575790085074933	0.12	obs_y1		noiseParameter1	dataset1	0
condition1	0.3675328592252004	0.125	obs_y1		noiseParameter1	dataset1	0
condition1	0.36861721635133216	0.13	obs_y1		noiseParameter1	dataset1	0
condition1	0.3707462668861387	0.135	obs_y1		noiseParameter1	dataset1	0
condition1	0.3719639510266547	0.14	obs_y1		noiseParameter1	dataset1	0
condition1	0.37367462467082985	0.145	obs_y1		noiseParameter1	dataset1	0
condition1	0.3751698798298383	0.15	obs_y1		noiseParameter1	dataset1	0
condition1	0.377722433884077	0.155	obs_y1		noiseParameter1	dataset1	0
condition1	0.37866378634942643	0.16	obs_y1		noiseParameter1	dataset1	0
condition1	0.37992820845523806	0.165	obs_y1		noiseParameter1	dataset1	0
condition1	0.38232335668386963	0.17	obs_y1		noiseParameter1	dataset1	0
condition1	0.38323668866966526	0.17500000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	0.3854992685831454	0.18	obs_y1		noiseParameter1	dataset1	0
condition1	0.3863916564422163	0.185	obs_y1		noiseParameter1	dataset1	0
condition1	0.3883836285477173	0.19	obs_y1		noiseParameter1	dataset1	0
condition1	0.3907454352343501	0.195	obs_y1		noiseParameter1	dataset1	0
condition1	0.3927455746320639	0.2	obs_y1		noiseParameter1	dataset1	0
condition1	0.3943297372773099	0.20500000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	0.39604228699034233	0.21	obs_y1		noiseParameter1	dataset1	0
condition1	0.39781403104672	0.215	obs_y1		noiseParameter1	dataset1	0
condition1	0.3992086647015105	0.22	obs_y1		noiseParameter1	dataset1	0
condition1	0.4013970638358885	0.225	obs_y1		noiseParameter1	dataset1	0
condition1	0.40340759903958445	0.23	obs_y1		noiseParameter1	dataset1	0
condition1	0.40595069893970215	0.23500000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.4076120958018201	0.24	obs_y1		noiseParameter1	dataset1	0
condition1	0.4087222117704513	0.245	obs_y1		noiseParameter1	dataset1	0
condition1	0.4115717139726572	0.25	obs_y1		noiseParameter1	dataset1	0
condition1	0.41329612775892616	0.255	obs_y1		noiseParameter1	dataset1	0
condition1	0.41521410776516665	0.26	obs_y1		noiseParameter1	dataset1	0
condition1	0.4178142429328517	0.265	obs_y1		noiseParameter1	dataset1	0
condition1	0.4200787903678346	0.27	obs_y1		noiseParameter1	dataset1	0
condition1	0.4221504508537518	0.275	obs_y1		noiseParameter1	dataset1	0
condition1	0.4235381229441627	0.28	obs_y1		noiseParameter1	dataset1	0
condition1	0.4259233652183845	0.28500000000000003	obs_y1		noiseParameter1	dataset1	0
condition1	0.4283836918348166	0.29	obs_y1		noiseParameter1	dataset1	0
condition1	0.43087439028429714	0.295	obs_y1		noiseParameter1	dataset1	0
condition1	0.43248610056438513	0.3	obs_y1		noiseParameter1	dataset1	0
