post_polish_error,xC(t),eA(t),k1,eB(t),xB(t),err,branch_size,xA(t),polish_source_hc_idx,k2,eC(t)
0.09888488812127032,0.38478116479081304,0.11800026968071359,5.034635008754873,0.6342511608415105,0.3776587588179247,0.09888488812127032,24.0,1.977181552721639e-5,522.0,0.5016664949161072,0.5640535014911076
0.874141945987284,0.5033308502932397,0.11810109359606372,0.4677977291610857,1.2152516695234026e-5,10.000000000000002,0.874141945987284,53.0,2.7718555209724625,6.0,0.0022572664441728877,0.5625310706875333
1.3462279316761294,0.5222849464081545,0.11804167584449446,7.391201888987892,0.09186873242844464,0.6629733184443948,1.3462279316761294,1.0,0.09253127238857722,328.0,0.028345860681225975,0.5621391088697877
1.4020038947231785,0.5243514793380027,0.11806271048459922,2.2827308832625555,0.06770337903010475,0.8920440079846401,1.4020038947231785,1.0,0.055952482560271466,117.0,0.020571265748051844,0.562191662050136
1.403135898417534,0.524530352521255,0.1180561111247252,0.6667132859901214,0.06716635497294211,0.9004282737927362,1.403135898417534,1.0,0.05196621396442143,430.0,0.020432226807159743,0.5621806015444298
1.4076758177789814,0.524814795990495,0.11808078520398028,0.9443773069624306,0.06310719959445837,0.9389047930451146,1.4076758177789814,1.0,0.07859504002209663,428.0,0.019263822786225546,0.5621605270034975
1.409703882075334,0.5248860404015676,0.1180163807782872,0.6660395994164523,0.06411005548471833,0.9416599755914113,1.409703882075334,1.0,0.05177500200369631,520.0,0.019213007673523245,0.5622303341053336
1.777245732119186e-6,0.35817566857847516,0.11799972415209377,0.10429697595777701,0.7679521175055789,0.34078460574069513,1.777245732119186e-6,172.0,0.4171679779831434,-1.0,0.8752380570837042,0.5629991439351568
1.7772457321469538e-6,0.35817566857847627,0.11799972415209375,1.7504761141674094,0.14429669338166362,5.719583975920237,1.7772457321469538e-6,62.0,-10.372833168220392,-1.0,0.05214848797888856,0.5629991439351568
7.970133213781306e-6,0.3582333471035292,0.11800026787614518,1.7422545357831758,0.14223502978785496,6.01232502959932,7.970133213781306e-6,14.0,-10.956593229705367,-1.0,0.04954073498895483,0.56299749087039
8.426853886379215e-6,0.35801903087307824,0.11800002993054523,0.09830868744586657,0.7670137596114637,0.3406255146506462,8.426853886379215e-6,4.0,0.4292425733653044,-1.0,0.8769968506421425,0.5629961960459011
8.704179508033378e-6,0.3530413163309512,0.11799972917643368,0.10192412882231382,0.7658697482354749,0.34840144491971425,8.704179508033378e-6,1.0,0.4227874652698787,-1.0,0.884792179265294,0.5629977649428108
1.449072912397178e-5,0.34999307884486597,0.11800026787614525,0.10224784602459729,0.767693035966524,0.35259304660858903,1.449072912397178e-5,5.0,0.4244552720534021,-1.0,0.8910626167700006,0.5629974908703907
1.570580819003302e-5,0.3664693716438701,0.11799980958799104,0.10498241858738276,0.7698478556043132,0.32831110627056587,1.570580819003302e-5,3.0,0.41555780773067863,-1.0,0.866223825105175,0.5629965719497937
1.5705808190063548e-5,0.36646937164387977,0.11799980958799103,1.7324476502103503,0.1450852101904197,5.417876747837999,1.5705808190063548e-5,4.0,-9.794233509389564,-1.0,0.052491209293691395,0.5629965719497937
1.774797567864237e-5,0.3579978299593861,0.11800006541381813,0.09891322158275095,0.7654726873301629,0.3427673833755437,1.774797567864237e-5,3.0,0.4079360459852353,-1.0,0.871068212727508,0.5629957227962759
2.506713159489595e-5,0.36971097195508223,0.11800026787614522,0.10333167114848557,0.7609957478703425,0.32415859594444946,2.506713159489595e-5,3.0,0.4156379571108345,-1.0,0.8581081110461929,0.56299749087039
2.6134044781464277e-5,0.35797383425827417,0.11800006541381813,1.7649053503674703,0.13681761763539643,6.9926909143104945,2.6134044781464277e-5,4.0,-12.884077828212696,-1.0,0.04279992422893145,0.5629957227962759
2.6138722438391874e-5,0.3579738342582732,0.11800006541381813,0.08559984845786295,0.7652548609683856,0.3391531916728716,2.6138722438391874e-5,1.0,0.4630791696085628,-1.0,0.8824526751837353,0.5629957227962759
2.7294045258126944e-5,0.37328558919464516,0.11799995579462641,1.7137404691540852,0.14625246163189268,5.118152858034457,2.7294045258126944e-5,2.0,-9.216900074644615,-1.0,0.05325406350722985,0.5629952107996787
2.9597487999879765e-5,0.3579849240378988,0.11800026787614525,1.7423064808761823,0.1397624890186983,6.463638644844959,2.9597487999879765e-5,1.0,-11.863239739678146,-1.0,0.04621787758795383,0.5629974908703896
2.9597487999911803e-5,0.3579849240378992,0.11800026787614525,0.09243575517590771,0.7640835917129855,0.3429197594558465,2.9597487999911803e-5,3.0,0.4150698316144675,-1.0,0.8711532404380913,0.5629974908703896
3.133937918711836e-5,0.357967823629225,0.11800026787614518,0.11676628385279372,0.7728927881395664,0.33853813075064537,3.133937918711836e-5,2.0,0.42327074916542534,-1.0,0.8830622108918593,0.56299749087039
3.133961734228778e-5,0.35796782362922636,0.11800026787614519,1.7661244217837258,0.14895584416774407,5.120488900525654,3.133961734228778e-5,2.0,-9.1694377227326,-1.0,0.058383141926383574,0.56299749087039
3.3245315978971054e-5,0.3786233442913741,0.11800026787614525,0.10863141588304633,0.7822898081594418,0.3097628593060727,3.3245315978971054e-5,2.0,0.40856539097221023,-1.0,0.8525248367298836,0.5629974908703901
