 Count  Overhead File                                                                                                       Line Function
 =====  ======== ====                                                                                                       ==== ========
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm15ReassociatePass3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm10MCStreamer19emitCFIDefCfaOffsetElNS_5SMLocE
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZNK4llvm17X86TargetLowering29getRegisterTypeForCallingConvERNS_11LLVMContextEjNS_3EVTE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm6detail18UniqueFunctionBaseIbJNS_9StringRefENS_3AnyEEE8CallImplIZNS_22OptNoneInstrumentation17registerCallbacksERNS_28PassInstrumentationCallbacksEEUlS2_S3_E_EEbPvS2_RS3_
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm22OptNoneInstrumentation9shouldRunENS_9StringRefENS_3AnyE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZNK4llvm3Any11StorageImplIPKNS_8FunctionEE5cloneEv
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm19SelectionDAGBuilder8visitRetERKNS_10ReturnInstE
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZNK4llvm17X86TargetLowering11LowerReturnENS_7SDValueEjbRKNS_15SmallVectorImplINS_3ISD9OutputArgEEERKNS2_IS1_EERKNS_5SDLocERNS_12SelectionDAGE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN12_GLOBAL__N_19AsmParser37parseAndMatchAndEmitTargetInstructionERNS_18ParseStatementInfoEN4llvm9StringRefENS3_8AsmTokenENS3_5SMLocE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN12_GLOBAL__N_112X86AsmParser16parseInstructionERN4llvm20ParseInstructionInfoENS1_9StringRefENS1_5SMLocERNS1_15SmallVectorImplISt10unique_ptrINS1_18MCParsedAsmOperandESt14default_deleteIS8_EEEE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN12_GLOBAL__N_112X86AsmParser15parseATTOperandERN4llvm15SmallVectorImplISt10unique_ptrINS1_18MCParsedAsmOperandESt14default_deleteIS4_EEEE
