n_points,strategy,max_observed_order,rank,target_rank,is_square,solve_var_count,data_var_count,support_score,condition_proxy,sigma_max,sigma_min,unfloored_svd_ratio,rank_atol,mixed_volume,selected_equation_indices,selected_source_indices
9,seed_1,3,12,12,true,12,12,250.088,1.0471976498663692e11,140160.35263209842,1.3384326507033703e-6,1.0471976498663692e11,1.0e-8,missing,1 2 3 4 5 6 10 11 12 14 15 21,1 2 3 4 5 6 10 11 12 14 15 21
9,seed_2,3,12,12,true,12,12,250.09300000000002,7.06693102696029e9,140160.3526320947,1.9833270212682702e-5,7.06693102696029e9,1.0e-8,missing,2 3 4 5 6 10 11 12 13 14 15 21,2 3 4 5 6 10 11 12 13 14 15 21
9,seed_3,3,12,12,true,12,12,250.09500000000003,6.887862773118558e9,140160.35263209496,2.0348888653691305e-5,6.887862773118558e9,1.0e-8,missing,1 2 3 5 6 10 11 12 13 14 15 21,1 2 3 5 6 10 11 12 13 14 15 21
9,seed_4,3,12,12,true,12,12,250.096,2.3495036460476995e9,140160.3526320936,5.965530330964554e-5,2.3495036460476995e9,1.0e-8,missing,2 3 4 5 6 10 11 12 14 15 16 21,2 3 4 5 6 10 11 12 14 15 16 21
9,seed_5,3,12,12,true,12,12,250.098,2.43018746318375e9,140160.35263209388,5.767470812662e-5,2.43018746318375e9,1.0e-8,missing,1 2 3 5 6 10 11 12 14 15 16 21,1 2 3 5 6 10 11 12 14 15 16 21
9,seed_6,3,12,12,true,12,12,250.103,4.972741033554144e9,140160.35263209016,2.8185733318172416e-5,4.972741033554144e9,1.0e-8,missing,2 3 5 6 10 11 12 13 14 15 16 21,2 3 5 6 10 11 12 13 14 15 16 21
9,exchange_7,3,12,12,true,12,12,250.107,7.101691074679222e10,140160.35263209778,1.973619397946407e-6,7.101691074679222e10,1.0e-8,missing,2 3 4 5 6 7 10 11 12 14 15 21,2 3 4 5 6 7 10 11 12 14 15 21
9,exchange_8,3,12,12,true,12,12,250.107,7.101691092912737e10,140160.3526320978,1.973619392879161e-6,7.101691092912737e10,1.0e-8,missing,2 3 4 5 6 10 11 12 14 15 21 25,2 3 4 5 6 10 11 12 14 15 21 25
9,exchange_9,3,12,12,true,12,12,250.108,1.966716919959059e11,140160.35263209397,7.126615488466518e-7,1.966716919959059e11,1.0e-8,missing,2 3 4 5 6 10 11 12 14 15 19 21,2 3 4 5 6 10 11 12 14 15 19 21
9,exchange_10,3,12,12,true,12,12,250.108,1.2257005335891353e11,140160.35263209467,1.1435122102922863e-6,1.2257005335891353e11,1.0e-8,missing,2 3 4 5 6 10 11 12 14 15 21 22,2 3 4 5 6 10 11 12 14 15 21 22
9,exchange_11,3,12,12,true,12,12,250.109,4.756411920236867e10,140160.35263209805,2.946766490845018e-6,4.756411920236867e10,1.0e-8,missing,1 2 3 5 6 7 10 11 12 14 15 21,1 2 3 5 6 7 10 11 12 14 15 21
9,exchange_12,3,12,12,true,12,12,250.109,4.75641189448417e10,140160.35263209805,2.9467665067997305e-6,4.75641189448417e10,1.0e-8,missing,1 2 3 5 6 10 11 12 14 15 21 25,1 2 3 5 6 10 11 12 14 15 21 25
9,exchange_13,3,12,12,true,12,12,250.109,3.491605775749576e10,140160.3526320964,4.014208981024121e-6,3.491605775749576e10,1.0e-8,missing,1 2 3 4 5 6 11 12 13 14 15 21,1 2 3 4 5 6 11 12 13 14 15 21
9,exchange_14,3,12,12,true,12,12,250.11,1.3416185851457814e11,140160.35263209423,1.044710875236305e-6,1.3416185851457814e11,1.0e-8,missing,1 2 3 5 6 10 11 12 14 15 19 21,1 2 3 5 6 10 11 12 14 15 19 21
9,exchange_15,3,12,12,true,12,12,250.11,8.325611002277127e10,140160.35263209487,1.6834842823398764e-6,8.325611002277127e10,1.0e-8,missing,1 2 3 5 6 10 11 12 14 15 21 22,1 2 3 5 6 10 11 12 14 15 21 22
9,exchange_16,3,12,12,true,12,12,250.112,1.426453571979501e10,140160.35263209534,9.825791416231914e-6,1.426453571979501e10,1.0e-8,missing,1 2 3 4 5 6 11 12 14 15 16 21,1 2 3 4 5 6 11 12 14 15 16 21
9,exchange_17,3,12,12,true,12,12,250.349,5.083617307220377e10,140416.19108304696,2.7621314232999136e-6,5.083617307220377e10,1.0e-8,missing,1 2 3 4 5 6 7 8 9 11 12 15,1 2 3 4 5 6 7 8 9 11 12 15
9,exchange_18,3,12,12,true,12,12,346.04999999999995,2.862752880805131e7,140426.51706582433,0.0049052965069877165,2.862752880805131e7,1.0e-8,missing,2 3 6 9 12 14 15 17 18 21 23 24,2 3 6 9 12 14 15 17 18 21 23 24
