err,Cr,r(t),branch_size,post_polish_error,m_veh,polish_source_hc_idx,vy(t),Cf
0.00034631349358106567,0.38503456115722656,0.7017326354980469,1.0,0.00034631349358106567,0.7620716094970703,69.0,0.18210411071777344,0.7030563354492188
0.0005180873686139084,0.38503456115722656,0.70849609375,1.0,0.0005180873686139084,0.7620716094970703,38.0,0.1898975372314453,0.7030563354492188
0.02136401149570937,0.38498497009277344,0.7109470367431641,4.0,0.02136401149570937,0.7619743347167969,80.0,0.1944561004638672,0.7030067443847656
0.029101327378774473,0.38498497009277344,0.8203525543212891,1.0,0.029101327378774473,0.7619743347167969,82.0,0.2715606689453125,0.7030067443847656
3.3204399874203003e-7,0.3849995332781227,0.7151798076336344,37.0,3.3204399874203003e-7,0.7619991603446764,-1.0,0.19489521525241463,0.7029992727096036
7.865719058842793e-6,0.385012288643795,0.6988540056519051,2.0,7.865719058842793e-6,0.762017305149016,-1.0,0.18252287638970696,0.7030208741984796
2.333779477940829e-5,0.3850003393813341,0.8283979856316982,1.0,2.333779477940829e-5,0.7620006084304015,-1.0,0.2808793902106497,0.7030005656119082
3.8330452578293e-5,0.38502647976914506,0.8929210557530454,3.0,3.8330452578293e-5,0.7620489764723546,-1.0,0.3299280267971334,0.7030415596560662
5.2122140279368e-5,0.3850429383345768,0.4757607595421012,1.0,5.2122140279368e-5,0.762077418682239,-1.0,0.013173217135517404,0.7030684796664991
7.233363613465031e-5,0.38498196308234045,0.3606764141201949,1.0,7.233363613465031e-5,0.7619667096288432,-1.0,-0.07441940109199036,0.7029699735712872
9.203655040883784e-5,0.38495302599939335,0.2708969914067385,2.0,9.203655040883784e-5,0.7619083738523789,-1.0,-0.14268802826547625,0.7029261149077631
0.00010222259186388325,0.3848346582580944,0.7535683026652596,1.0,0.00010222259186388325,0.7617129129587762,-1.0,0.2239567687884336,0.702752549540523
0.0001286440757547225,0.3852102396297378,0.5851908555488619,1.0,0.0001286440757547225,0.762363631407097,-1.0,0.09637905502954827,0.7033177795100186
0.0001355493175904426,0.38505158346342483,0.05825288036479676,1.0,0.0001355493175904426,0.7620946535016839,-1.0,-0.3038216624688057,0.7030817758741053
0.00021159608610247274,0.3846623116847477,0.8554444859544651,1.0,0.00021159608610247274,0.7614167646623852,-1.0,0.3012692275328293,0.7024936709127797
0.00026764960438161914,0.3851809798810988,-0.5407327791472384,11.0,0.00026764960438161914,0.7623315872755941,-1.0,-0.758115265995394,0.7032862673159558
0.00047116691766419785,0.38484898638071263,2.9980501839429206,1.0,0.00047116691766419785,0.7617314533802131,-1.0,1.9288524679628147,0.7027592333290859
0.0027108852274586046,0.38496494361979317,14.001772858731924,1.0,0.0027108852274586046,0.7619344674308964,-1.0,10.285850916311986,0.7029422724123703
0.0028329942218779875,0.38496128335904156,14.60021738406762,2.0,0.0028329942218779875,0.761927711978657,-1.0,10.740429650684202,0.7029355619717843
0.005745251823939658,0.38493812830902774,28.873401229480507,1.0,0.005745251823939658,0.7618840282502306,-1.0,21.58197395453301,0.7028976519823263
