idx,src,interp,polished,sp,mp_times,mp_idx,g,a,b,Vm,R,rel,err
49,multipoint,aaad,false,156,[156| 1124],13,1.662293543084533,7.423440396659961,5.9163228661979375,0.4244854196797103,0.9267165481605945,7.743746050247304,0.0013203850873858489
50,multipoint,aaad,false,230,[230| 1124],14,0.5698108871648846,-2.3440275665450474,18.71594126681145,0.4157191327075866,-0.014204403558587996,20.100272003169614,0.0005847517015612255
51,multipoint,aaad,false,619,[619| 1501],15,-0.06693651249944423,-1.275134029090741,6.187942108668801,0.005729968150732499,54.50873307843366,133.92260662978626,0.0022142552935509956
52,multipoint,aaad,false,619,[619| 1501],15,0.6915544321470181,-0.5964503613805006,13.916711555661179,0.4087844696136053,0.19406709316321868,14.689640987216661,7.09761349433176e-5
53,multipoint,aaad,false,1,[1| 837],16,0.45567549792930806,-13.830423992529779,174.4843370080082,0.42008899614491235,-0.20992629486034298,195.7128940338311,7.613563936788103
54,multipoint,aaad,false,1,[1| 837],16,0.8102815496101101,0.4990361851878808,-3.5477827691078434,0.42008899614491235,0.4442893037856905,4.999755094822822,0.00010537054858740942
55,multipoint,aaad,false,26,[26| 837],17,0.4646056372719176,-11.569901517573058,145.10257936994736,0.42006522896256493,-0.18720299091227033,162.58802634717853,1.6026377938030545
56,multipoint,aaad,false,26,[26| 837],17,0.807836874425667,0.47388766298866913,-3.2855934144606045,0.42008798034992,0.44159362254481427,4.704163939639915,0.000110050483962005
57,multipoint,aaad,false,326,[326| 1124],18,0.6272332321556704,-1.7032381443158098,17.78727141940284,0.4133198058100623,0.08620229495737934,19.053293595719094,9.719852215775874e-5
58,multipoint,aaad,false,326,[326| 1124],18,-0.9908778832289382,-11.846602068698077,28.060492667216938,0.30481637182822097,3.0065534756336048,30.635279218959344,1.0e15
59,multipoint,aaad,false,58,[58| 837],19,0.47633347544155313,-9.491880872951766,118.18998590379657,0.419878894812623,-0.1675567176121029,132.24688376978193,0.39024552615827784
60,multipoint,aaad,false,58,[58| 837],19,0.8044300615256078,0.43864104762940614,-2.9175873862898047,0.4200767413982013,0.4373544904700116,4.289275520056149,0.00011616206895420986
61,multipoint,aaad,false,101,[101| 837],20,0.4929191656625711,-7.511550800066209,92.6917785946639,0.4192597123708429,-0.14577012348490173,103.50031408643055,0.09866150266821211
62,multipoint,aaad,false,101,[101| 837],20,0.8000075264438145,0.39252839887074015,-2.4351773895317095,0.42002896138380674,0.43108655017673847,3.745408556405535,0.00012304438511523142
63,single_point,aaad_gpr,false,1,,,0.8243937378479355,-37.81213870542007,-78.02610253389088,0.4199935274882399,0.541566589332279,88.96629372479242,0.003371700929458164
64,single_point,aaad_gpr,false,1,,,0.8243937378479351,-37.812138705420075,-78.02610253389093,0.4199935274882399,0.5415665893322787,88.96629372479248,0.0033717009294581615
65,single_point,aaad_gpr,false,26,,,0.8191170146361704,-29.44700237821983,-53.07125959830769,0.4210517690302846,0.4758731306386671,60.8323107083514,0.0035716389000773146
66,single_point,aaad_gpr,false,26,,,0.8191170146361703,-29.44700237821982,-53.07125959830769,0.4210517690302846,0.47587313063866715,60.8323107083514,0.0035716389000773124
67,single_point,aaad_gpr,false,58,,,0.8115943952380804,-17.446742433445664,-21.739298201841436,0.4206164095566628,0.41207415106747064,25.50879165934773,0.003636566597548209
68,single_point,aaad_gpr,false,58,,,0.8115943952380805,-17.446742433445632,-21.739298201841354,0.42061640955666274,0.41207415106747036,25.508791659347636,0.0036365665975482083
69,single_point,aaad_gpr,false,101,,,0.8003960923446318,-5.699032627875362,0.8008198801632215,0.4193915515264683,0.3845506294447543,7.712641493374986,0.0021290437652569777
70,single_point,aaad_gpr,false,101,,,0.8003960923446318,-5.699032627875362,0.8008198801632299,0.41939155152646823,0.3845506294447543,7.712641493374986,0.0021290437652569795
71,single_point,aaad_gpr,false,156,,,0.7800520761566453,-0.5279688557614772,-2.7099531988799788,0.41966236752480984,0.3963629556874119,4.0551896266967065,0.0002670996126521123
72,single_point,aaad_gpr,false,156,,,0.7800520761566453,-0.5279688557614758,-2.7099531988799765,0.41966236752480973,0.3963629556874121,4.055189626696704,0.0002670996126521123
73,single_point,aaad_gpr,false,230,,,0.812457733316953,3.8655116348162966,15.266748968827777,0.4200681245890068,0.4418164664140316,16.21166738312038,0.000407148963535806
74,single_point,aaad_gpr,false,230,,,0.6699825240747594,-7.212511630357029,-78.16124631155209,0.4204801229156373,0.2762482900311039,89.1186542407577,0.00047578045588040675
75,single_point,aaad_gpr,false,326,,,0.7741712144860878,0.7590175470650697,0.9896281674969427,0.41978215141933756,0.39566084390585615,0.11570255636633901,3.2705393770242436e-6
76,single_point,aaad_gpr,false,326,,,0.6238276166226996,-9.129736269720198,-188.2143981750537,0.4283369978633686,0.4456284507675364,213.1921061725521,0.000431656990675603
77,single_point,aaad_gpr,false,453,,,0.7781556135762785,0.7090523573057883,-0.2102617245766194,0.4202578407610814,0.40520592841912967,1.2370481675046443,1.6705096819087402e-5
78,single_point,aaad_gpr,false,453,,,0.6037943956354513,2.0528390579010467,332.28526715889564,0.41143442319842777,0.025684402348511978,373.61698665038966,1.374253520468552
79,single_point,aaad_gpr,false,619,,,0.7745807418256566,0.8623691113538392,2.4078039700976017,0.4189594414110726,0.39002414791232093,1.7145478806060899,1.1941585465906776e-5
80,single_point,aaad_gpr,false,619,,,0.7745807418256566,0.8623691113538392,2.4078039700976017,0.4189594414110726,0.39002414791232093,1.7145478806060899,1.1941585465906776e-5
81,single_point,aaad_gpr,false,837,,,0.747321019609992,0.44629995242894716,3.4576189436666493,0.42063451447012584,0.3489383454180675,2.8981047842916,1.843525787193664e-5
82,single_point,aaad_gpr,false,837,,,-0.2250366808376805,-3.540041577886859,18.35531172439829,-0.031735359989583586,17.416788311730723,42.11086215774931,0.0024081433133990478
83,single_point,aaad_gpr,false,1124,,,0.028826469393247133,0.34871796880154493,-3.545109796165649,-0.5247539249404879,-253.20448579085385,627.7437767100342,0.005199134818335659
84,single_point,aaad_gpr,false,1124,,,0.8182249581155552,1.3343654415984065,-1.2210998194270766,0.4202345494042175,0.46228115868405795,2.3766627051038065,8.542576701244358e-6
85,single_point,aaad_gpr,false,1501,,,-1.1835298384320365,-12.140216621314169,-14.254491889712844,0.8016978927056251,0.5059179177954061,17.07045308874052,0.003564977125406384
86,single_point,aaad_gpr,false,1501,,,-0.02916737963290251,-13.440291036168812,-7.393327232587581,0.799166133718206,2.5475063582256543,16.830731491364915,0.003539723844182878
87,multipoint,aaad_gpr,false,1,[1| 1501],1,-0.7754326484963919,-8.737046782360103,-21.173613951344333,0.4199935274882399,2.171310504110109,24.8710416587873,1.0e15
88,multipoint,aaad_gpr,false,1,[1| 1501],1,0.4307304713030201,14.813659221740961,-74.26396387310739,0.4199935274882399,-0.3110034855388926,84.72487471601734,0.0006443511965669232
89,multipoint,aaad_gpr,false,26,[26| 1501],2,-0.8390731830412602,-9.221291386088387,-20.207012098409663,0.4199666176096824,2.107842586443223,23.781298870811344,1.0e15
90,multipoint,aaad_gpr,false,26,[26| 1501],2,0.4360310637752039,14.723578527019916,-74.02897994641847,0.41999986581588167,-0.28977475584501206,84.45995484376378,0.0006654344734003605
91,multipoint,aaad_gpr,false,58,[58| 1501],3,-0.9465086209422569,-10.086279081601916,-18.460310151509038,0.4196099400914981,2.031480005673641,21.81207457892789,1.0e15
92,multipoint,aaad_gpr,false,58,[58| 1501],3,0.4401407665913009,14.657189329115027,-73.85514343365352,0.4200434265459721,-0.270010028827578,84.26397230400623,0.0006810292582537038
93,multipoint,aaad_gpr,false,101,[101| 1501],4,-1.155578182123994,-11.890134145102408,-14.769503463404497,0.41733204824093073,1.9440522218291412,17.651074930557495,1.0e15
94,multipoint,aaad_gpr,false,101,[101| 1501],4,0.4408962377362142,14.645302574923889,-73.82395537836283,0.42005391614144016,-0.2661011941467555,84.22881102408435,0.0006838153236192081
95,multipoint,aaad_gpr,false,156,[156| 1501],5,-1.6079532472466458,-16.097739825255005,-6.046851172989442,0.40583060779550084,1.8661947753264234,19.96082429358658,1.0e15
96,multipoint,aaad_gpr,false,156,[156| 1501],5,0.43444904480228747,14.749928901832208,-74.09781874193801,0.41904276533236573,-0.3309613392051691,84.53756340691997,0.0006636498648284909
97,multipoint,aaad_gpr,false,230,[230| 1501],6,-3.064269077291052,-30.598419867720974,24.344666688540034,0.32773420201326475,1.8277250713746793,37.04054165809302,1.0e15
98,multipoint,aaad_gpr,false,230,[230| 1501],6,0.41488565488790463,15.115531058007159,-75.04525004244616,0.41013852452538246,-0.7035585825941969,85.6056933962189,0.0006097479084930885
99,multipoint,aaad_gpr,false,326,[326| 1501],7,-26.430839738986442,-272.93347741421326,535.3739838264601,-1.0422211781570327,1.8763240057022874,602.5783357682752,1.0e15
100,multipoint,aaad_gpr,false,326,[326| 1501],7,0.37672142058192637,16.09203692887207,-77.53044029867414,0.3458128711269406,-2.9640573806663735,88.4074862442775,0.0005977712884156102
101,multipoint,aaad_gpr,false,1,[1| 1124],8,0.26059863662583405,-6.549823381477133,16.801026092975764,0.4199935274882399,-1.3528606876101719,17.941404839882484,0.01694899794693836
102,multipoint,aaad_gpr,false,1,[1| 1124],8,0.7373915593677995,0.5466762664880945,0.4196715769200778,0.4199935274882399,0.352671214610696,0.5268640620968683,9.20315986488229e-5
103,multipoint,aaad_gpr,false,26,[26| 1124],9,0.270960445185564,-6.178671698479345,15.851577654097142,0.41998418265227594,-1.2560467017111923,16.871000737426314,0.013401007252598397
104,multipoint,aaad_gpr,false,26,[26| 1124],9,0.7478609939042856,0.6501356732538073,0.20322455466902414,0.41999543694091157,0.36604292273730266,0.770885507701213,8.471113028916075e-5
105,multipoint,aaad_gpr,false,58,[58| 1124],10,0.28891999897953363,-5.622449639760887,14.444158397074599,0.41987657670110823,-1.1147981405565215,15.284282296589176,0.00935755067264932
106,multipoint,aaad_gpr,false,58,[58| 1124],10,0.7560038449670908,0.7302782389471588,0.035768049985609805,0.420007370962755,0.37673612934968215,0.9596752536802595,7.790079840860734e-5
107,multipoint,aaad_gpr,false,453,[453| 1501],11,0.31702572885191066,18.763851194217843,-84.18618312212469,-0.4441730864805223,-37.110761890617525,95.91114218954306,0.003669303103956735
108,multipoint,aaad_gpr,false,101,[101| 1124],12,0.32543724295457965,-4.719313197334592,12.20572001646156,0.41935614802437066,-0.883148693002657,12.76067645598823,0.005182659288848057
109,multipoint,aaad_gpr,false,101,[101| 1124],12,0.758269424689597,0.752527293776319,-0.010689331356461025,0.42001503375286153,0.3797935147236836,1.0120511063770699,7.56986390389388e-5
110,multipoint,aaad_gpr,false,156,[156| 1124],13,0.41490053462711307,-3.1463921907845265,8.47170013658232,0.41794000870978226,-0.4628458529813261,8.550958440340835,0.0018993550553104894
111,multipoint,aaad_gpr,false,156,[156| 1124],13,0.7434719327540708,0.606821256057141,0.29380484505298815,0.4198384600993834,0.35769744132757925,0.6687656763776909,9.654627272459179e-5
112,multipoint,aaad_gpr,false,230,[230| 1124],14,0.7361111780455518,0.6005520673674813,0.26414236021327103,0.4293012913394539,0.406285494087555,0.7022070347088263,9.812115629893151e-5
113,multipoint,aaad_gpr,false,230,[230| 1124],14,0.7361111780455524,0.600552067367488,0.26414236021325876,0.42930129133945427,0.40628549408755554,0.7022070347088402,9.812115629893188e-5
114,multipoint,aaad_gpr,false,619,[619| 1501],15,5.93804801236837,64.22231189439181,-176.06303738503962,1.4651528439922057,1.996331212246986,199.49271407558018,0.003023446510810796
115,multipoint,aaad_gpr,false,1,[1| 837],16,0.7621770759047432,0.6325562346453738,2.0136990911939856,0.4199935274882399,0.38298528663593373,1.270235728516331,3.080419935544911e-5
116,multipoint,aaad_gpr,false,1,[1| 837],16,0.44215581023315664,-10.096315695594653,98.29059002876667,0.4199935274882399,-0.26976634831172136,109.81239011134912,0.30704560106064666
117,multipoint,aaad_gpr,false,26,[26| 837],17,0.7690658164225805,0.7170267809455946,1.3625551405556915,0.4199957301505587,0.39142201591914544,0.5361388281349396,1.2684520108802044e-5
118,multipoint,aaad_gpr,false,26,[26| 837],17,0.44970999609445467,-9.086462678192852,88.67657083597895,0.4199811631406522,-0.2468736668131116,98.97358606085564,0.17109177387252897
119,multipoint,aaad_gpr,false,326,[326| 1124],18,-0.8600892644799514,-11.74817556713708,23.89464050416537,0.3145690387093488,3.1797990275691417,25.938715337277756,1.0e15
120,multipoint,aaad_gpr,false,326,[326| 1124],18,0.8140774641140064,1.2945109331329752,-1.1384483695611893,0.42184839351084374,0.4639763118414761,2.2834818146123896,1.54485114932329e-5
121,multipoint,aaad_gpr,false,58,[58| 837],19,0.7748398657538759,0.7869659123902355,0.8251483339873812,0.42001100567620653,0.399055559094259,0.07306724100090045,2.832518164753956e-6
122,multipoint,aaad_gpr,false,58,[58| 837],19,0.4606876092412179,-7.897207598926637,77.40551362793627,0.4198629803424857,-0.2214906880349918,86.26664445088645,0.08468160300774737
123,multipoint,aaad_gpr,false,101,[101| 837],20,0.778255547645364,0.8279829917357115,0.5106950335660803,0.4200399389389141,0.40397967246090094,0.4242446070280944,5.600015149957493e-6
124,multipoint,aaad_gpr,false,101,[101| 837],20,0.4781411353456888,-6.462523256595067,63.91140416892017,0.41938698184422984,-0.18862760511797041,71.05344325695623,0.033828751021790816
125,single_point,s2_aaa_mle,false,1,,,0.7040464322817007,-32.62223315171877,-68.33995958557614,0.4198991802810034,0.4390290431016162,78.04617766130343,0.0034566711020008536
126,single_point,s2_aaa_mle,false,1,,,0.7040464322817008,-32.62223315171876,-68.33995958557611,0.4198991802810034,0.43902904310161645,78.04617766130339,0.0034566711020008584
127,single_point,s2_aaa_mle,false,26,,,0.7156908736180275,-30.566259778002994,-58.130292343710785,0.4214460233227592,0.3763018356214727,66.53584255209785,0.0036118467129131904
128,single_point,s2_aaa_mle,false,26,,,0.7156908736180274,-30.566259778002987,-58.13029234371075,0.42144602332275916,0.3763018356214728,66.5358425520978,0.0036118467129131917
129,single_point,s2_aaa_mle,false,58,,,0.726826130542246,-25.73300707436021,-40.586406534217495,0.42117001016414873,0.29942972334778817,46.756940850301575,0.003883162865580822
130,single_point,s2_aaa_mle,false,58,,,0.726826130542246,-25.733007074360216,-40.586406534217474,0.4211700101641488,0.2994297233477883,46.75694085030155,0.003883162865580827
131,single_point,s2_aaa_mle,false,101,,,0.7358600422403119,-17.542453771148057,-19.08204877833413,0.41857524170238086,0.23758202038815238,22.513020043217733,0.0038084601477872643
132,single_point,s2_aaa_mle,false,101,,,0.735860042240312,-17.542453771148047,-19.082048778334116,0.41857524170238086,0.23758202038815307,22.51302004321772,0.0038084601477872643
133,single_point,s2_aaa_mle,false,156,,,0.7390325870438651,-9.283163418828284,-9.424399117228749,0.41569638495556266,0.23515279597528685,11.934232531010936,0.002102592044754143
134,single_point,s2_aaa_mle,false,156,,,0.7390325870438651,-9.28316341882829,-9.424399117228763,0.4156963849555626,0.23515279597528668,11.934232531010942,0.0021025920447541443
135,single_point,s2_aaa_mle,false,230,,,0.7330400424800958,-4.492358225269054,-26.13674230905633,0.417986991699488,0.3174821300762859,30.466451306715143,0.0005150756400495556
136,single_point,s2_aaa_mle,false,230,,,0.7330400424800958,-4.492358225269057,-26.136742309056324,0.417986991699488,0.3174821300762862,30.466451306715133,0.0005150756400495579
137,single_point,s2_aaa_mle,false,326,,,0.806531310174291,1.7860847118966707,3.288639303526632,0.4206788449138296,0.4443758909633335,2.7075978619240497,7.07153492113947e-5
138,single_point,s2_aaa_mle,false,326,,,0.6289734810035681,-9.932145153525761,-192.1865031843822,0.4313144818454927,0.5337793955866046,217.67024034315918,0.0004453306177462609
139,single_point,s2_aaa_mle,false,453,,,0.7905688764078148,1.2883125451353343,2.6517904726836115,0.4198241691057121,0.41788488366325904,1.9896172183580738,3.5640669062099164e-5
140,single_point,s2_aaa_mle,false,453,,,0.6077367247983829,1.956519515655432,277.8122503947178,0.41088676509033406,0.030243136796936753,312.2043409185094,0.42614509107696946
141,single_point,s2_aaa_mle,false,619,,,0.7512531367965505,0.7273826731242886,1.0355824540712488,0.433420881621585,0.39908095563228557,0.16751122217728165,0.0001259417603510828
142,single_point,s2_aaa_mle,false,619,,,0.7512531367965508,0.7273826731242902,1.035582454071284,0.43342088162158515,0.3990809556322857,0.1675112221773212,0.00012594176035108623
143,single_point,s2_aaa_mle,false,837,,,0.7719843947422733,0.7619590055373517,0.6713773947130058,0.42195740169170387,0.3999207966064457,0.24309200145095172,1.808963835254966e-5
144,single_point,s2_aaa_mle,false,837,,,-0.18754888958532756,-3.21462967006068,15.634969585981443,-0.026652038778380256,20.585697617567163,49.95469707318605,0.0023908072827532275
145,single_point,s2_aaa_mle,false,1124,,,0.7512782176911827,0.5159089188438822,2.030441775861635,0.4239940504660104,0.3683958098606482,1.2891113594832413,4.442944714311728e-5
146,single_point,s2_aaa_mle,false,1124,,,0.004444298041458996,-0.28716148441773376,-0.5107119294691124,-0.4125776837930073,-1428.9949378522087,3538.1161828024965,0.004621621860255643
147,single_point,s2_aaa_mle,false,1501,,,0.9429116806777454,1.9997740796783907,1.6875502875580177,0.2820771497328828,0.40801334641966985,1.355446501387975,0.0018094691422710879
148,single_point,s2_aaa_mle,false,1501,,,0.016391867491724568,1.4707518011996275,-2.5253037761947965,-4.7227971488105265,-2202.5098092269513,5452.756953532057,0.027182371046559524
149,multipoint,s2_aaa_mle,false,1,[1| 1501],1,0.6922929944485045,0.1696497409511087,1.443623571100465,0.4198991802810034,0.28572229945495103,0.8001769835675987,0.00017067128617269197
150,multipoint,s2_aaa_mle,false,1,[1| 1501],1,0.041239817995263786,-5.95049455428254,1.5350869493786299,0.4198991802810034,-15.485856444894077,39.331327833896225,0.022470310524660888
151,multipoint,s2_aaa_mle,false,26,[26| 1501],2,0.7153539035667926,0.338404560183868,1.465880647633503,0.4199022142266107,0.3184517202332071,0.6526275621572749,0.00011822550459380283
152,multipoint,s2_aaa_mle,false,26,[26| 1501],2,0.04355775133945663,-5.7851079439492805,1.4585268134049856,0.4198889546398419,-14.621008359359315,37.190614750889395,0.01928525366205418
153,multipoint,s2_aaa_mle,false,58,[58| 1501],3,0.7432912116956542,0.5427210666001578,1.4929093200101764,0.41993081653981407,0.35666401913500523,0.6830995716011008,5.405257819972516e-5
154,multipoint,s2_aaa_mle,false,58,[58| 1501],3,0.04822816229085004,-5.5289775571382895,1.3452013227424418,0.41976125697462796,-13.200355551658822,33.67414740509609,0.015247425281462895
155,multipoint,s2_aaa_mle,false,101,[101| 1501],4,0.7829375293779088,0.8324667574764085,1.5313741607991131,0.4200553759349757,0.4080720530210003,0.7264646683191806,3.869528347378456e-5
156,multipoint,s2_aaa_mle,false,101,[101| 1501],4,0.061386461780534606,-5.084445039468501,1.1730218119445484,0.41904952360826275,-10.374138372139807,26.678560327078728,0.010261828412762769
157,multipoint,s2_aaa_mle,false,156,[156| 1501],5,0.963766764807239,2.1517853109848706,1.7079979341203,0.4212154015026753,0.5952667859635529,1.5344938880858312,0.00040133506739655443
158,multipoint,s2_aaa_mle,false,156,[156| 1501],5,0.15907178799562383,-3.866126543471283,1.0000099387109451,0.41675288194389243,-3.4224158739617976,9.471326420697517,0.004161439555812483
159,multipoint,s2_aaa_mle,false,230,[230| 1501],6,-0.029878065726234405,-4.458074003177986,0.3978453532777985,0.40399903036358253,31.105470079488114,75.99373782051514,0.0050320720850588795
160,multipoint,s2_aaa_mle,false,230,[230| 1501],6,0.7391211526903971,0.5122317701431129,1.4888706504171811,0.4194391427220832,0.34607257173997513,0.6785463928040374,7.924630384608976e-5
161,multipoint,s2_aaa_mle,false,326,[326| 1501],7,0.7720292513086198,0.7527682004995885,1.5207792738746604,0.41932156109293456,0.38945125178927564,0.714520038190147,4.823859773925361e-6
162,multipoint,s2_aaa_mle,false,326,[326| 1501],7,0.0027806054106543194,-3.2069093157522905,-0.10798961769052184,0.3699653464668293,-417.1420145123624,1033.529738891986,0.0015386735816505033
