idx,src,interp,polished,sp,mp_times,mp_idx,g,a,b,Vm,R,rel,err
1,single_point,aaad,false,1,,,0.8342234953571179,-3.630333718156163,-20.07465210238949,0.42008899614491235,0.4684165332046105,23.632076778342153,0.0005971121857597015
2,single_point,aaad,false,1,,,1.0564087251654926,60.289519639667745,191.27012542905214,0.42008899614491235,0.6401548361108519,214.63711998765743,0.06112301503286366
3,single_point,aaad,false,26,,,0.8043649656165996,-4.788955094052527,-27.9896482343575,0.4200890010774769,0.43810683477510903,32.55540950885851,0.0005935790480987154
4,single_point,aaad,false,26,,,1.0507530973697137,55.727329884547835,177.82418531202055,0.4200889937184882,0.6366837068425644,199.4782247035181,0.04813478664329573
5,single_point,aaad,false,58,,,0.7686755187209854,-5.935146008731411,-38.213451548845086,0.4200893234255401,0.39882357107073585,44.081681565778,0.0005809321135446265
6,single_point,aaad,false,58,,,1.0373022672429155,48.04245205026227,155.39423493901668,0.42008879429167056,0.6282614802742706,174.19079474522738,0.03218188563818932
7,single_point,aaad,false,101,,,0.7255931510109276,-6.962493819041218,-52.818700153832,0.42009505999068675,0.3465945937101594,60.547576272640356,0.0005520034603169072
8,single_point,aaad,false,101,,,1.006640185909384,36.531611573568654,121.99096088131465,0.4200848991427304,0.6080842056187944,136.53208667566477,0.01702436199771971
9,single_point,aaad,false,156,,,0.6798920849028427,-7.558787134382367,-74.54935095558606,0.4201529980134706,0.286236068715374,85.04661889017595,0.0005032533911341518
10,single_point,aaad,false,156,,,0.9482101722054948,22.780903535630728,81.45279556786426,0.4200496346842038,0.5653379647781709,90.82953277098564,0.00677149756969638
11,single_point,aaad,false,230,,,0.6365812744993433,-7.562008312207438,-115.42123683405234,0.4207235303493236,0.2390102517818971,131.12540793016046,0.00044029882108067236
12,single_point,aaad,false,230,,,0.8568850060144001,9.666711548722647,39.67221208886635,0.4198363129762206,0.48412074569492464,43.72628194911652,0.0016960454579028467
13,single_point,aaad,false,326,,,0.605686187451044,-7.701423711409432,-248.11179802365115,0.437412158506924,0.7995140662942567,280.7201781551873,0.00039291281992287697
14,single_point,aaad,false,326,,,0.7622040183121211,1.7237381079049636,9.489577665347953,0.41896144151671677,0.3703253591324328,9.6985092055783,0.00019206605355785017
15,single_point,aaad,false,453,,,0.5913679428893542,-2.037481246874392,239.31082705493907,0.4119876930268385,0.001972977135214695,268.7980011893338,0.18148909648703096
16,single_point,aaad,false,453,,,0.6983464156700736,-1.0022805446351444,-0.6556835520398216,0.4165817264557996,0.25485331752113427,2.180542455400641,9.463679022917262e-5
17,single_point,aaad,false,619,,,0.6248718837879599,-2.038327812565457,28.677713776850254,0.40970229066076674,0.0540001271517171,31.331131653720693,6.768318735395929e-5
18,single_point,aaad,false,619,,,0.7744489222745184,-0.2563222225947465,-13.176332007976322,0.4288008182737815,0.4655825712318792,15.85494025701953,0.00012569087552224959
19,single_point,aaad,false,837,,,0.6428825470345185,-1.69278194604313,20.56282534982129,0.40910620785796453,0.09276813050478004,22.182441206111935,6.409019694901899e-5
20,single_point,aaad,false,837,,,-0.607429877361999,-6.2386487451103845,45.659951184248946,-0.25589819508042566,8.83528312625539,50.47683335315552,0.0034920552924646428
21,single_point,aaad,false,1124,,,0.7008142348717457,-0.9351459981340529,16.703765972839044,0.38817188201978786,0.15501095169889206,17.831754197112787,0.0002684343296135738
22,single_point,aaad,false,1124,,,-0.10658996715221923,-1.2245944388911862,12.244616896589296,-0.834955270328078,83.20325186145696,204.9486432214281,0.007039624005569752
23,single_point,aaad,false,1501,,,1.3046778739817293,3.0895178656586286,26.408059265739148,0.0837574872793266,0.21197290153814352,28.772332881329366,0.006432119284079188
24,multipoint,aaad,false,1,[1| 1501],1,-0.07956098075705326,-5.8814038621016005,-3.085404573095882,0.42008899614491235,9.846791853546764,23.373247162244464,1.0e15
25,multipoint,aaad,false,1,[1| 1501],1,3.2593208688724347,14.850373533608938,66.25040127163365,0.42008899614491235,1.0759721291825195,73.6904185700492,0.030513536602583165
26,multipoint,aaad,false,26,[26| 1501],2,-0.0841934485563399,-5.71934307136116,-2.8018325783535665,0.42007075473087857,9.401386907947177,22.270759673136578,1.0e15
27,multipoint,aaad,false,26,[26| 1501],2,28.345405794562108,165.82638254988424,577.662681473735,0.4204718815170247,1.2628719256152023,650.2544323266461,0.04490721656013989
28,multipoint,aaad,false,58,[58| 1501],3,-0.8915031550247545,-10.141352154474728,-18.390910644837792,0.4196819395920026,2.0721740337747243,21.73383387242141,1.0e15
29,multipoint,aaad,false,58,[58| 1501],3,-0.10569176578488763,-5.590024928685727,-2.7252469664262278,0.4198581707228268,7.84209703165691,18.411131266477497,1.0e15
30,multipoint,aaad,false,101,[101| 1501],4,0.14137105494639224,-3.883923248434807,2.7476886443392825,0.41909744058215054,-3.7381417843173548,10.252826198805332,0.007453640138821817
31,multipoint,aaad,false,101,[101| 1501],4,-0.012356950014471388,-4.719603399860027,-0.2081293327810964,0.4188933054612882,59.2203132589541,145.5849338092923,0.017271263008753354
32,multipoint,aaad,false,156,[156| 1501],5,0.49172062269795813,-1.7958951926182949,9.849245982314448,0.41815057731680333,-0.1762428769910405,10.103997725269952,0.001452375391640725
33,multipoint,aaad,false,156,[156| 1501],5,-0.0573385245736041,-4.506272210996422,-0.16181343843639112,0.41510476185347983,14.789220215045976,35.60698073031182,0.01445926383743129
34,multipoint,aaad,false,230,[230| 1501],6,0.6168703846080678,-1.0449403873436334,12.396135481384526,0.41656662113929177,0.10254477139139388,12.97535003538278,0.00038925460633558787
35,multipoint,aaad,false,230,[230| 1501],6,-0.06315189768837114,-3.906589234256682,0.9827641889307486,0.40267163653761173,15.626792636847904,37.68017979417798,0.0062425406715556925
36,multipoint,aaad,false,326,[326| 1501],7,0.6618810916793126,-0.7746678429322202,13.31251070522351,0.4147072406204657,0.1691501146457565,14.008467536892343,0.00010918379848751428
37,multipoint,aaad,false,326,[326| 1501],7,-0.06531473878143358,-3.12812784098678,2.5138354911144787,0.36637128525744866,19.636385700280965,47.60491509970535,0.002325746605057665
38,multipoint,aaad,false,1,[1| 1124],8,0.30138719146887594,-6.715886813649503,25.82194272702778,0.42008899614491235,-0.9752037556324047,28.111547606570213,0.026899615389993546
39,multipoint,aaad,false,1,[1| 1124],8,1.0929108798712506,2.6757361136203124,11.89841968771669,0.42008899614491235,0.6616909902701407,12.414227381867743,0.0013436414098578118
40,multipoint,aaad,false,26,[26| 1124],9,0.32183315474725555,-6.199411524640855,24.91214180741217,0.4200749848310409,-0.836794820670989,27.08584194747708,0.01944022329045875
41,multipoint,aaad,false,26,[26| 1124],9,1.1121307951992767,2.8417334436960315,11.684969463323373,0.4200923580633528,0.6728210811261823,12.173584513329619,0.0013352548686882825
42,multipoint,aaad,false,58,[58| 1124],10,0.3523137107031416,-5.531640270925063,23.761078004098266,0.4199366333413238,-0.6708983634693841,25.788137546897705,0.012434922375642
43,multipoint,aaad,false,58,[58| 1124],10,1.1524167321288656,3.187750074006026,11.241428196465119,0.4201458024394867,0.6964189222573476,11.673537989250415,0.0013262271952495998
44,multipoint,aaad,false,453,[453| 1501],11,-0.06637120614923388,-2.2148291701726825,4.32255720781833,0.266131938482377,29.694952446302942,72.50235754035381,0.001010117748169419
45,multipoint,aaad,false,453,[453| 1501],11,0.6768977549550568,-0.6844817309138186,13.618268811432833,0.4129944347597346,0.18510484014826273,14.353177915933294,5.604053457868412e-5
46,multipoint,aaad,false,101,[101| 1124],12,0.40198121347719756,-4.621929818513486,22.243813780292403,0.41937228200580207,-0.46211094667369707,24.07758036109628,0.006363866397275781
47,multipoint,aaad,false,101,[101| 1124],12,1.2606034066707807,4.105926751031884,10.072488678954612,0.4206044404986239,0.7566516702221683,10.355680585067205,0.0013206718146799611
48,multipoint,aaad,false,156,[156| 1124],13,0.47763220996472516,-3.4918248739747315,20.446056305498903,0.417988912453139,-0.22561474271611456,22.050796285793577,0.002404598568890521
