index,singular_value
1,2.679092978462315e+00
2,2.541236198974607e+00
3,2.324236343880925e+00
4,2.223502670298060e+00
5,2.022682282676033e+00
6,2.000229091465839e+00
7,1.550918219827819e+00
8,1.368587886875402e+00
9,9.050527202064305e-01
10,8.802265787784471e-01
11,1.471929372670548e-01
12,5.355145646207449e-02
