observable,order,true_val,interp_val,rel_error
y1(t),0,1.104375037254582e+00,1.102830409446564e+00,1.398644261154538e-03
y1(t),1,2.749202700743717e-01,2.769330734631829e-01,7.321407724016319e-03
y1(t),2,-3.466941419902224e-01,-3.400804318705213e-01,1.907649803868779e-02
y2(t),0,4.878614741702574e-01,4.875658136819045e-01,6.060336878532918e-04
y2(t),1,-1.651014595385613e-01,-1.640021532022269e-01,6.658368371829561e-03
y2(t),2,1.350060007915351e-01,1.344567286987189e-01,4.068501322872848e-03
