index,singular_value
1,1.398546910700460e+01
2,7.506869058462441e+00
3,3.249016099980400e+00
4,2.292250547901534e+00
5,2.016370184891583e+00
6,1.914066692328437e+00
7,1.889349359932428e+00
8,1.469363933065576e+00
9,1.071632419862904e+00
10,9.635043135421134e-01
11,9.398515536680937e-01
12,2.490865417254451e-01
13,8.789671538058266e-02
14,1.759762276175531e-02
