parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
k1	lin	-1000000.0	1000000.0	1.0	1
k2	lin	-1000000.0	1000000.0	1.0	1
eB	lin	-1000000.0	1000000.0	1.0	1
init_xA	lin	0.001	1000.0	1.0	1
init_xB	lin	0.001	1000.0	1.0	1
init_xC	lin	0.001	1000.0	1.0	1
init_eA	lin	0.001	1000.0	1.0	1
init_eC	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	0.001	0.001	0.001	0
