cell,system,noise,min_oracle,rank1_oracle,err_min,err_max,raw_count,source_type
hiv_9_1em4,hiv,1em4,809.1011377450875,7048.288516147832,0.008479292994223288,0.01572844793756977,1375,single_point
biohydrogenation_5_1em4,biohydrogenation,1em4,0.7182854009957286,1.987502083661858,1.7836708655043135e-05,9.937074212551885e-05,1306,single_point
cstr_0_1em2,cstr,1em2,1.407809930470071,1.407809930470071,0.0859507045040681,0.4724223354024762,729,single_point
brusselator_5_0,brusselator,0,9.333000000000002,87338481.031,45710735585115.32,8.020049834452371e+68,102,single_point
flexible_arm_5_1em2,flexible_arm,1em2,1.2460836573114338,4.395924370794678,0.0033686236081526,481.42629294794585,256,single_point
