synth_idx,category,strategy,source_indices,param_k1,state_x(t),err
1,global_param_only,median,[1;2;3;4;5;6;7;8;9],0.5000000000001229,0.5000000075378261,1.082764889264085e-15
2,global_param_only,trim25_mean,[1;2;3;4;5;6;7;8;9],0.4999995967815108,0.5000000075378261,3.164049440515673e-13
3,global_param_only,mean,[1;2;3;4;5;6;7;8;9],0.4999993886965652,0.5000000075378261,7.529304620299557e-13
4,global_param_only,median,[1;2;3;4;7;8;9],0.5000000110956875,0.5000000075378261,2.300894307566361e-15
5,global_param_only,trim25_mean,[1;2;3;4;7;8;9],0.5000000299766358,0.5000000075378261,5.592010332699934e-15
6,global_param_only,mean,[1;2;3;4;7;8;9],0.5000000313222276,0.5000000075378261,5.885141515004873e-15
7,per_sp_full,median,[1;2;3;4;5;6;7;8;9],0.5000000000001229,0.49999999999998446,1.4983488448299813e-26
8,per_sp_full,trim25_mean,[1;2;3;4;5;6;7;8;9],0.4999995967815108,0.500000109441445,7.530824375327553e-14
9,interior_only,median,[1;2;3;4;5;6;7;8;9],0.5000000000001229,0.5000000075378261,1.082764889264085e-15
10,cross_source_weighted,median,[1;2;3;4;5;6;7;8;9],0.5000000000001229,0.5000000075378261,1.082764889264085e-15
