parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
mu_N	lin	-1000000.0	1000000.0	1.0	1
mu_EE	lin	-1000000.0	1000000.0	1.0	1
mu_LE	lin	-1000000.0	1000000.0	1.0	1
mu_LL	lin	-1000000.0	1000000.0	1.0	1
mu_M	lin	-1000000.0	1000000.0	1.0	1
mu_P	lin	-1000000.0	1000000.0	1.0	1
mu_PE	lin	-1000000.0	1000000.0	1.0	1
mu_PL	lin	-1000000.0	1000000.0	1.0	1
delta_NE	lin	-1000000.0	1000000.0	1.0	1
delta_EL	lin	-1000000.0	1000000.0	1.0	1
delta_LM	lin	-1000000.0	1000000.0	1.0	1
rho_E	lin	-1000000.0	1000000.0	1.0	1
rho_P	lin	-1000000.0	1000000.0	1.0	1
init_N	lin	0.001	1000.0	1.0	1
init_E	lin	0.001	1000.0	1.0	1
init_S	lin	0.001	1000.0	1.0	1
init_M	lin	0.001	1000.0	1.0	1
init_P	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	1e-09	1e-09	1e-09	0
