case_id,model_name,bucket,classification,raw_candidate_count,best_fit_vs_truth_gap,best_fit_baseline_combined_rmse,polish_top3_combined_rmse,block_4x4_combined_rmse,block_4x4_seconds,block_4x4_reused_baseline,block_8x8_combined_rmse,block_8x8_seconds,block_8x8_reused_baseline,block_12x12_combined_rmse,block_12x12_seconds,block_12x12_reused_baseline,polish_best_block_budget_combined_rmse,polish_best_block_budget_seconds,best_no_polish_block_strategy,practical_winner,best_quality_strategy
seir_2_1em4,seir,both_success / room_to_improve,both_success,22,12.282273338310695,14.092304470895789,2.0279085952879834,0.6547306075502572,5.04057925,true,0.6547306075502572,18.551981015,false,0.6547306075502572,17.797730314,false,0.44465162276169173,5.379213202,block_v2_no_polish_4x4,polish_best_block_budget,polish_best_block_budget
brusselator_1_1em4,brusselator,both_success / room_to_improve,both_success,5,0.0,0.03411397119731269,Inf,0.03411397119731269,1.616965137,true,0.03411397119731269,2.720283444,false,0.03411397119731269,3.145997043,false,Inf,NaN,nothing,polish_top_3_raw_by_fit,best_fit_baseline
fitzhugh_nagumo_3_1em4,fitzhugh_nagumo,both_success / room_to_improve,both_success,12,0.035010864069496814,0.10590224878447692,0.005402020163479988,0.0708913847149801,1.355842698,true,0.0708913847149801,2.733201426,false,0.0708913847149801,2.357073197,false,0.005402020163479988,1.546391614,block_v2_no_polish_4x4,polish_top_3_raw_by_fit,polish_top_3_raw_by_fit
daisy_mamil3_4_1em4,daisy_mamil3,both_success / room_to_improve,both_success,6,0.0,0.014748757516731962,0.010918536472229182,0.014748757516731962,3.100756709,true,0.014748757516731962,3.975731948,false,0.014748757516731962,4.021883974,false,7.29767241381516e-5,3.526805581,block_v2_no_polish_4x4,polish_best_block_budget,polish_best_block_budget
dc_motor_1_1em4,dc_motor,both_success / controls,both_success,3,0.0,0.10234645114077436,2.3416362486934404e9,0.039667708528238456,0.907776671,true,0.039667708528238456,1.048932431,false,0.039667708528238456,1.015403984,false,2.0770145072550715e6,1.236714822,block_v2_no_polish_4x4,block_v2_no_polish_4x4,block_v2_no_polish_4x4
bicycle_model_7_1em4,bicycle_model,both_success / controls,both_success,3,0.0,0.16728225903715424,2747.370648220748,0.3168805342034057,0.678044822,true,0.3168805342034057,0.689698209,false,0.3168805342034057,0.677289019,false,2747.3703225717773,1.4434578660000001,block_v2_no_polish_4x4,block_v2_no_polish_12x12,best_fit_baseline
daisy_mamil3_7_1em4,daisy_mamil3,AMIGO2-only / ODEPE near-miss,a_only,6,0.0,0.054645898852973586,5.135886216738073e-5,0.05135598005991168,2.988128749,true,0.05135598005991168,3.790903704,false,0.05135598005991168,3.814894261,false,5.1358862167157354e-5,3.2652997769999996,block_v2_no_polish_4x4,polish_best_block_budget,polish_best_block_budget
fitzhugh_nagumo_2_1em4,fitzhugh_nagumo,AMIGO2-only / ODEPE near-miss,a_only,12,0.0,3.2222046068565384,0.014803876541747281,5.697138414870947,1.766022092,true,5.697138414870947,2.66948151,false,5.697138414870947,2.735557689,false,0.01480387658685377,1.901490408,block_v2_no_polish_4x4,polish_top_3_raw_by_fit,polish_top_3_raw_by_fit
sirt_treatment_7_1em4,sirt_treatment,AMIGO2-only / ODEPE near-miss,a_only,20,0.28869381877518785,0.3512929354766121,0.0019638505688626797,5.70634883636762,4.773655762,true,5.70634883636762,8.738937277,false,5.70634883636762,8.476972868,false,4.829001181297804,5.504715829999999,block_v2_no_polish_4x4,polish_top_3_raw_by_fit,polish_top_3_raw_by_fit
aircraft_pitch_4_1em4,aircraft_pitch,ODEPE-only / contrast,b_only,3,0.0,1.2355560832943067,0.3835136632126064,0.33373454084215004,0.814660829,true,0.33373454084215004,1.139447289,false,0.33373454084215004,1.089257576,false,0.33333341503497765,1.063385743,block_v2_no_polish_4x4,block_v2_no_polish_4x4,polish_best_block_budget
forced_lotka_volterra_2_1em4,forced_lotka_volterra,both_success / room_to_improve,both_success,3,0.0,0.002302802709277227,196155.1877108257,0.0117376184124771,0.822242494,true,0.0117376184124771,1.028887347,false,0.0117376184124771,0.993834591,false,196155.18722111368,1.002262543,block_v2_no_polish_4x4,block_v2_no_polish_4x4,best_fit_baseline
sirt_treatment_6_1em4,sirt_treatment,both_success / room_to_improve,both_success,26,0.35562040356058167,0.5606444550984343,0.20741516700326815,0.2652792727406782,6.735247561,true,0.2652792727406782,20.402642923,false,0.2652792727406782,19.611004301,false,0.11698466775628537,7.393921298,block_v2_no_polish_4x4,polish_best_block_budget,polish_best_block_budget
slow_fast_0_1em4,slow_fast,both_success / room_to_improve,both_success,18,0.0,0.36498937400370746,1.1042510119319255,0.5021887061319377,3.180722912,true,0.5021887061319377,8.893511762,false,0.5021887061319377,9.000915289,false,0.3512353419422621,3.8348157609999998,block_v2_no_polish_4x4,polish_best_block_budget,polish_best_block_budget
forced_lotka_volterra_5_1em4,forced_lotka_volterra,both_success / room_to_improve,both_success,3,0.0,0.01895969522017707,169136.87484853694,0.03623767450693281,0.343172444,true,0.03623767450693281,0.599321526,false,0.03623767450693281,0.703446232,false,169136.87552856546,0.932328955,block_v2_no_polish_4x4,block_v2_no_polish_4x4,best_fit_baseline
boost_converter_6_1em4,boost_converter,both_success / room_to_improve,both_success,3,0.0,0.0575044183280322,0.0575044183280322,1.501474609035861,0.7287114,true,1.501474609035861,0.88216263,false,1.501474609035861,0.931218365,false,4.346129487302729e9,5.524547135,block_v2_no_polish_4x4,polish_top_3_raw_by_fit,best_fit_baseline
