case_id	raw_candidate_count	imported_best_benchmark_rmse	analyzed_input_best_benchmark_rmse	analyzed_input_selected_benchmark_rmse	saved_amigo_rmse	saved_polish_rmse	scalar_linear_best_rmse	scalar_log_best_rmse	residual_lm_linear_best_rmse	residual_lm_log_best_rmse	residual_lm_linear_vs_scalar_linear	residual_lm_log_vs_scalar_log	residual_fastshortcut_linear_best_rmse	residual_fastshortcut_log_best_rmse	residual_fastshortcut_linear_vs_scalar_linear	residual_fastshortcut_log_vs_scalar_log	residual_trustregion_linear_best_rmse	residual_trustregion_log_best_rmse	residual_trustregion_linear_vs_scalar_linear	residual_trustregion_log_vs_scalar_log	residual_lso_lm_linear_best_rmse	residual_lso_lm_log_best_rmse	residual_lso_lm_linear_vs_scalar_linear	residual_lso_lm_log_vs_scalar_log	residual_lso_dogleg_linear_best_rmse	residual_lso_dogleg_log_best_rmse	residual_lso_dogleg_linear_vs_scalar_linear	residual_lso_dogleg_log_vs_scalar_log	residual_fastlm_linear_best_rmse	residual_fastlm_log_best_rmse	residual_fastlm_linear_vs_scalar_linear	residual_fastlm_log_vs_scalar_log
sirt_treatment_0_1em4	28	0.012229703710447754	0.012229703710447754	0.012229703710447754	6.928203230274069e-5	6.000723114569392e-5	7.066701507509908e-5	7.066701505164314e-5	0.012229703710447754	0.012229703710447754	worse	worse	Inf	Inf	worse	worse	7.066727896203927e-5	7.066701454659627e-5	tie	tie	7.066709738857686e-5	7.066701508027986e-5	tie	tie	7.066701526142286e-5	7.066701507107628e-5	tie	tie	7.066701523261384e-5	7.066728918826004e-5	tie	tie
crauste_7_1em4	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	1.6702059519056445	64.45986321743501	3.221841341804593	4.116603273287063	4.116603273287063	better	worse	Inf	Inf	worse	worse	4.116603273287063	3.944590744557722	better	worse	4.116603273287063	4.116603273287063	better	worse	4.116603273287063	4.116603273287063	better	worse	4.116603273287063	4.116603273287063	better	worse
fitzhugh_nagumo_2_1em4	186	0.061142040522026236	0.061142040522026236	0.06935305691241934	0.013052494780692335	0.032018009806167515	0.013051156344067958	0.013051149546418896	0.061142040522026236	0.061142040522026236	worse	worse	Inf	Inf	worse	worse	0.01305115279193226	0.013051152675675285	tie	tie	0.01305115279112338	0.013051152838911135	tie	tie	0.013051152789906467	0.013051152791732065	tie	tie	0.013051152791773726	0.013051152791853536	tie	tie
seir_4_1em4	114	0.3408695314401687	0.3408695314401687	1.1048642316128117	0.0004944694126030432	0.006304105972127909	0.0004925689206384977	0.0004925717814043332	0.3408695314401687	0.3408695314401687	worse	worse	Inf	Inf	worse	worse	0.0004925689206397902	0.3408695314401687	tie	worse	0.0004925688759618732	0.3408695314401687	tie	worse	0.00049256892064481	0.21996158774180175	tie	worse	0.000492568920851289	0.0004925689668904144	tie	tie
flexible_arm_0_1em4	62	0.06618638406250221	0.06618638406250221	0.3264211023235338	0.005444386507628252	0.03601391219510978	0.06618638406250221	0.06618638406250221	0.06618638406250221	0.06618638406250221	tie	tie	Inf	Inf	worse	worse	0.06618638406250221	0.06618638406250221	tie	tie	0.06618638406250221	0.06618638406250221	tie	tie	0.06618638406250221	0.06618638406250221	tie	tie	0.06618638406250221	0.06618638406250221	tie	tie
daisy_mamil3_7_1em4	89	0.0336597264165884	0.0336597264165884	0.041074375929825456	3.1819805153416644e-5	0.003976339737493447	3.1264074060497715e-5	3.126408520323399e-5	0.0336597264165884	0.0336597264165884	worse	worse	Inf	Inf	worse	worse	3.1264085211829696e-5	3.126408521398325e-5	tie	tie	3.126408194758003e-5	3.126406566249328e-5	tie	tie	3.1264042851499995e-5	3.126408521326962e-5	tie	tie	3.126408521401321e-5	3.1264085214950186e-5	tie	tie
daisy_mamil4_6_1em4	119	0.15977208731062617	0.15977208731062617	0.6607668596062847	0.0032743993203473297	0.0031086489846149346	0.003258619441047282	0.06476111568127621	0.13849708926746573	0.13849708926746573	worse	worse	Inf	Inf	worse	worse	0.003274716108359607	0.0032747083729841174	worse	better	0.003274708349982279	0.13849708926746573	worse	worse	0.0032747085941326145	0.0032747086199206247	worse	better	0.0002269863662102221	0.017241526502614582	better	better
brusselator_5_1em4	123	0.00023842230607126722	Inf	Inf	0.00027608875384559225	0.0005358578125155483	Inf	Inf	0.0004518710412832265	0.0004518710412832265	better	better	0.0004518710412832265	0.0004518710412832265	better	better	0.0004518710412832265	0.0004518710412832265	better	better	0.0004518710412832265	0.0004518710412832265	better	better	0.0004518710412832265	0.0004518710412832265	better	better	0.0004518710412832265	0.0004518710412832265	better	better
forced_lotka_volterra_0_1em4	70	0.04097130322562191	0.04097130322562191	0.04097130322562191	0.0	1.1544566339711035e-5	2.787747550975772e-6	2.7877603609173596e-6	0.04097130322562191	0.04097130322562191	worse	worse	Inf	Inf	worse	worse	2.7877603609285192e-6	2.787760360922874e-6	tie	tie	2.787760361141363e-6	2.7877728395137467e-6	tie	tie	2.7877589163454864e-6	2.7877611625485218e-6	tie	tie	2.787760361011171e-6	2.787760361006133e-6	tie	tie
