index,singular_value
1,8.178602901823053e+00
2,3.633624398130975e+00
3,3.480035162959070e+00
4,2.167490817726606e+00
5,1.818068447549226e+00
6,1.421930936026692e+00
7,9.898169176428139e-01
8,6.675711512169926e-01
9,3.978936523235501e-01
10,1.533278600098627e-01
11,1.167968764471214e-01
12,4.680932113862572e-02
