 Count  Overhead File                                                                                                       Line Function
 =====  ======== ====                                                                                                       ==== ========
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN12_GLOBAL__N_111CopyTracker9trackCopyEPN4llvm12MachineInstrERKNS1_18TargetRegisterInfoERKNS1_15TargetInstrInfoEb
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm13LiveVariables16HandlePhysRegDefENS_8RegisterEPNS_12MachineInstrERNS_15SmallVectorImplIS1_EE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm13LiveVariables17HandlePhysRegKillENS_8RegisterEPNS_12MachineInstrE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm20ConstantHoistingPass23findAndMakeBaseConstantEN9__gnu_cxx17__normal_iteratorIPNS_10consthoist17ConstantCandidateESt6vectorIS4_SaIS4_EEEES9_RNS_15SmallVectorImplINS3_12ConstantInfoEEE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm11ConstantInt3getEPNS_4TypeERKNS_5APIntE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm16InstCombinerImpl20tryToSinkInstructionEPNS_11InstructionEPNS_10BasicBlockE
     1         0 @juliasrc/llvm-remove-addrspaces.cpp                                                                       411 removeAddrspaces
     1         0 @juliasrc/llvm-final-gc-lowering.cpp                                                                       220 runOnFunction
     1         0 @juliasrc/llvm-final-gc-lowering.cpp                                                                       143 lowerGCAllocBytes
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN12_GLOBAL__N_1L27stripPointerCastsAndOffsetsILNS_16PointerStripKindE0EEEPKN4llvm5ValueES5_NS2_12function_refIFvS5_EEE.constprop.0
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm16isRemovableAllocEPKNS_8CallBaseEPKNS_17TargetLibraryInfoE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZNK4llvm11MCAssembler16writeSectionDataERNS_11raw_ostreamEPKNS_9MCSectionE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm11raw_ostream5writeEPKcm
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm19raw_svector_ostream10write_implEPKcm
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm15SmallVectorBaseImE8grow_podEPvmm
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm19SelectionDAGBuilder9visitICmpERKNS_8ICmpInstE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm19SelectionDAGBuilder12getValueImplEPKNS_5ValueE
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm20getBestSimplifyQueryERNS_27LoopStandardAnalysisResultsERKNS_10DataLayoutE
     1         0 @juliasrc/pipeline.cpp                                                                                     790 run
     1         0 @juliasrc/pipeline.cpp                                                                                     741 createMPM
