 Count  Overhead File                                                                                                       Line Function
 =====  ======== ====                                                                                                       ==== ========
     1         1 @juliasrc/ircode.c                                                                                         795 jl_decode_value
     1         1 @Compiler/src/optimize.jl                                                                                  895 (::Compiler.ScanStmt)(inst::Compiler.Instruction, lstmt::Int64, bb::Int64)
     1         0 @Compiler/src/ssair/ir.jl                                                                                 1970 iterate_compact(compact::Compiler.IncrementalCompact)
     1         0 @Compiler/src/ssair/ir.jl                                                                                 1765 finish_current_bb!
     1         0 @Compiler/src/ssair/ir.jl                                                                                 1793 finish_current_bb!(compact::Compiler.IncrementalCompact, active_bb::Int64, old_result_idx::Int64, unreachable::Bool)
     1         0 @Compiler/src/ssair/ir.jl                                                                                  611 _useref_setindex!(stmt::Any, op::Int64, v::Any)
     1         0 @Base/boot.jl                                                                                              525 ReturnNode
     1         1 @Compiler/src/abstractinterpretation.jl                                                                   1227 const_prop_methodinstance_heuristic(interp::Compiler.NativeInterpreter, mi::Core.MethodInstance, arginfo::Compiler.ArgInfo, sv::Compiler.InferenceState)
     1         0 @Base/iddict.jl                                                                                             81 setindex!
     1         1 @Base/int.jl                                                                                                88 *
     1         0 @juliasrc/array.c                                                                                           86 new_array
     1         0 @juliasrc/array.c                                                                                           64 _new_array
     1         0 @Compiler/src/ssair/ir.jl                                                                                 1979 iterate_compact(compact::Compiler.IncrementalCompact)
     1         0 @juliasrc/builtins.c                                                                                       575 jl_f_sizeof
     1         0 @Compiler/src/ssair/passes.jl                                                                             2415 cfg_simplify!(ir::Compiler.IRCode)
     1         1 @Compiler/src/ssair/passes.jl                                                                             2278 legalize_bb_drop_pred!(ir::Compiler.IRCode, bb::Compiler.BasicBlock, bbidx::Int64, bbs::Vector{Compiler.BasicBlock}, dropped_bbs::Vector{Int64})
     1         1 @Compiler/src/abstractinterpretation.jl                                                                    584 collect_slot_refinements(𝕃ᵢ::Compiler.InferenceLattice{Compiler.ConditionalsLattice{Compiler.PartialsLattice{Compiler.ConstsLattice}}}, applicable::Vector{Compiler.MethodMatchTarget}, argtypes::Vector{Any}, fargs::Vector{Any}, sv::Compiler.InferenceState)
     1         1 @Compiler/src/tfuncs.jl                                                                                    998 getfield_nothrow(𝕃::Compiler.InferenceLattice{Compiler.ConditionalsLattice{Compiler.PartialsLattice{Compiler.ConstsLattice}}}, argtypes::Vector{Any}, boundscheck::Symbol)
