 Count  Overhead File                                                                                                         Line Function
 =====  ======== ====                                                                                                         ==== ========
     1         0 @Profile/src/Profile.jl                                                                                      363 kwcall(::@NamedTuple{format::Symbol, C::Bool, sortedby::Symbol}, ::typeof(Profile.print), path::String)
     1         0 @Profile/src/Profile.jl                                                                                      363 print
     1         0 @Profile/src/Profile.jl                                                                                      364 print(::String, ::Int64; kwargs::Base.Pairs{Symbol, Any, Nothing, @NamedTuple{format::Symbol, C::Bool, sortedby::Symbol}})
     1         0 @Base/io.jl                                                                                                  426 open
     1         0 @Base/io.jl                                                                                                  429 #open#324
     1         0 @Profile/src/Profile.jl                                                                                      366 #8
     1         0 @Profile/src/Profile.jl                                                                                      271 kwcall(::@NamedTuple{format::Symbol, C::Bool, sortedby::Symbol}, ::typeof(Profile.print), io::IOContext{IOStream})
     1         0 @Profile/src/Profile.jl                                                                                      686 fetch
     1         0 @Profile/src/Profile.jl                                                                                      687 fetch(; include_meta::Bool, limitwarn::Bool)
     1         0 @Profile/src/Profile.jl                                                                                      668 maxlen_data
     1         0 /home/orebas/.julia/juliaup/julia-1.13.0+0.x64.linux.gnu/share/julia/compiled/v1.13/Profile/nGhxz_nYUPL.so     ? jlplt_ijl_profile_maxlen_data_1788.1
     1         0 @juliasrc/runtime_ccall.cpp                                                                                   61 ijl_load_and_lookup
     1         0 @juliasrc/dlload.c                                                                                           489 ijl_dlsym
     1         0 /usr/lib/x86_64-linux-gnu/libc.so.6                                                                            ? dlsym
     1         1 /lib64/ld-linux-x86-64.so.2                                                                                    ? [unknown function]
     1         0 /lib64/ld-linux-x86-64.so.2                                                                                    ? _dl_catch_exception
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZN4llvm14RuntimeDyldELF6createENS_6Triple8ArchTypeERNS_11RuntimeDyld13MemoryManagerERNS_17JITSymbolResolverE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZN4llvm3orc16ExecutionSession16OL_notifyEmittedERNS0_29MaterializationResponsibilityENS_8ArrayRefINS0_21SymbolDependenceGroupEEE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZN4llvm3orc16ExecutionSession17simplifyDepGroupsERNS0_29MaterializationResponsibilityENS_8ArrayRefINS0_21SymbolDependenceGroupEEE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZN4llvm8DenseMapIPNS_3orc8JITDylib15EmissionDepUnitENS2_19EmissionDepUnitInfoENS_12DenseMapInfoIS4_vEENS_6detail12DenseMapPairIS4_S5_EEE4growEj
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZN4llvm14RuntimeDyldELF10loadObjectERKNS_6object10ObjectFileE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZN4llvm15RuntimeDyldImpl14loadObjectImplERKNS_6object10ObjectFileE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZN4llvm14RuntimeDyldELF20processRelocationRefEjNS_6object16content_iteratorINS1_13RelocationRefEEERKNS1_10ObjectFileERSt3mapINS1_10SectionRefEjSt4lessIS9_ESaISt4pairIKS9_jEEERS8_INS_18RelocationValueRefEmSA_ISI_ESaISC_IKSI_mEEE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZNK4llvm6object13ELFObjectFileINS0_7ELFTypeILNS_10endiannessE1ELb1EEEE19getRelocationAddendENS0_11DataRefImplE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZNK4llvm6object13ELFObjectFileINS0_7ELFTypeILNS_10endiannessE1ELb1EEEE7getRelaENS0_11DataRefImplE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZNK4llvm6object7ELFFileINS0_7ELFTypeILNS_10endiannessE1ELb1EEEE8getEntryINS0_12Elf_Rel_ImplIS4_Lb1EEEEENS_8ExpectedIPKT_EERKNS0_13Elf_Shdr_ImplIS4_EEj
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZNK4llvm6object7ELFFileINS0_7ELFTypeILNS_10endiannessE1ELb1EEEE25getSectionContentsAsArrayINS0_12Elf_Rel_ImplIS4_Lb1EEEEENS_8ExpectedINS_8ArrayRefIT_EEEERKNS0_13Elf_Shdr_ImplIS4_EE
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                              ? _ZNK4llvm6object13ELFObjectFileINS0_7ELFTypeILNS_10endiannessE1ELb1EEEE14getSymbolFlagsENS0_11DataRefImplE
     1         0 @juliasrc/debuginfo.cpp                                                                                      391 registerJITObject
