synth_idx,category,strategy,source_indices,param_k01,param_k12,param_k13,param_k14,param_k21,param_k31,param_k41,state_x1(t),state_x2(t),state_x3(t),state_x4(t),err
1,per_sp_full,median,[1;2;47;48;95;96;159;160;223;224;285;286;347;348;463;464],0.2127668791347867,0.24877178570592054,3.483493151924071,3.483493151924071,0.6226276028351542,1.462404369497487,1.462404369497488,0.4000006384840791,0.7999996117935861,1.399999850000746,1.399999850000746,560.0611305282675
2,per_sp_full,trim25_mean,[1;2;47;48;95;96;159;160;223;224;285;286;347;348;463;464],0.07435371616925031,0.24868118418833518,5.098356931960214,5.098356931960214,0.6224396769175023,0.9497491834173949,0.9497491834173943,0.40000061245007185,0.7999998357871271,1.3999997213081248,1.3999997213081248,1357.963555937793
3,per_sp_full,median,[9;10;55;56;103;104;167;168;231;232;293;294;355;356;427;428;445;446;469;470;479;480],0.17960564698111195,0.2502349884494897,0.5738255892706638,0.5738255892706638,0.6253964887241868,2.059035604455454,2.059035604455454,0.4031585616229555,0.7999047011824018,1.3999995025476195,1.3999995025476195,19.795901524865133
4,per_sp_full,trim25_mean,[9;10;55;56;103;104;167;168;231;232;293;294;355;356;427;428;445;446;469;470;479;480],0.22384169277906085,0.25049078872582065,2.1922610643822478,2.192261064382247,0.6258801865663655,0.5740709597868915,0.5740709597868912,0.40823497112117546,0.7997643133690799,1.3983567886013855,1.3983567886013855,619.8248449510357
5,per_sp_full,median,[15;16;61;62;111;112;175;176;237;238;299;300;361;362],0.10299755219945768,0.24997849751145212,0.5876950182093258,0.5876950182093258,0.6249687811180904,2.0506601976137167,2.0506601976137167,0.38897300922791195,0.8010741248451997,1.3743799933168648,1.374379993316908,17.71053288216314
6,per_sp_full,trim25_mean,[15;16;61;62;111;112;175;176;237;238;299;300;361;362],0.09938301390998584,0.24988396775528712,3.3298121606956967,3.3298121606956967,0.6248139521597803,1.7150173427657667,1.7150173427657667,0.6670601935244153,0.794398432235877,1.29478676029888,1.2947867602989236,520.256158858612
7,per_sp_full,median,[21;22;67;68;117;118;181;182;243;244;305;306;365;366],3.8920827626428753,0.2518880797380614,-0.14525129940661552,-0.1452512994066144,0.6280863045356079,1.72988205335332,1.7298820533533208,91.67897051297248,-9.283819331839751,0.447697310567167,0.44769731056716655,493314.84345524135
8,per_sp_full,trim25_mean,[21;22;67;68;117;118;181;182;243;244;305;306;365;366],2.892812809765123,0.2510234599594497,-2.993146413702897,-2.9931464137028976,0.626674145959488,0.7306317605491066,0.7306317605491071,4124.173622391946,-233.03599388476036,-16.344693643357576,-16.344693643357633,4.11630793173715e9
9,per_sp_full,median,[13;14;59;60;107;108;171;172;235;236;297;298;431;432;437;438;449;450;453;454;459;460;471;472;485;486],0.17755559089372638,0.250176476685184,0.5726364964933064,0.5726364964933064,0.6253092349925669,2.0685294314399143,2.0685294314399143,0.400000776204,0.7999996117935861,1.3995045110540878,1.3995045110540882,20.291820083491384
10,per_sp_full,trim25_mean,[13;14;59;60;107;108;171;172;235;236;297;298;431;432;437;438;449;450;453;454;459;460;471;472;485;486],-0.05707472485420445,0.2517737318970323,-5.014644643573989,-5.014644643573978,0.628027068191269,1.0528753749850297,1.0528753749850335,0.41172542483469615,0.79947807256599,1.3970050053312875,1.3970050053312875,1.0570798455022706e6
