observable,order,true_val,interp_val,rel_error
y1(t),0,1.193007625874002e+00,1.192253680651556e+00,6.319701618779377e-04
y1(t),1,3.630939903972584e-01,3.597497362296331e-01,9.210436570339337e-03
y1(t),2,6.431079106161735e-01,6.144757350629446e-01,4.452157263280407e-02
y2(t),0,2.463016797114382e-01,2.459694152869621e-01,1.349014041907218e-03
y2(t),1,-7.047319143914405e-02,-7.146346213158576e-02,1.405173615979700e-02
y2(t),2,7.292826642837644e-02,6.978505264172102e-02,4.310007546583319e-02
