 Count  Overhead File                                                                      Line Function
 =====  ======== ====                                                                      ==== ========
     1         0 @HomotopyContinuation/src/tracker.jl                                      865 step!(tracker::Tracker{CoefficientHomotopy{InterpretedSystem}, Matrix{ComplexF64}}, debug::Bool)
     1         0 @HomotopyContinuation/src/predictor.jl                                    287 predict!
     1         1 @HomotopyContinuation/src/predictor.jl                                    304 predict!(x̂::Vector{ComplexF64}, pred::HomotopyContinuation.Predictor, method::HomotopyContinuation.PredictionMethod.methods, H::CoefficientHomotopy{InterpretedSystem}, x::Vector{ComplexF64}, t::ComplexF64, Δt::ComplexF64)
     1         0 @HomotopyContinuation/src/result.jl                                       491 iterate(ri::ResultIterator{PolyhedralStartSolutionsIterator{Vector{MixedSubdivisions.MixedCell}}}, state::Tuple{Int64, Tuple{HomotopyContinuation.PolyhedralStartSolutionsWorkspace, Tuple{MixedSubdivisions.MixedCell, Int64, Int64}}})
     1         0 @HomotopyContinuation/src/polyhedral.jl                                   168 iterate
     1         0 @HomotopyContinuation/src/polyhedral.jl                                   148 iterate_start_solution(iter::PolyhedralStartSolutionsIterator{Vector{MixedSubdivisions.MixedCell}}, workspace::HomotopyContinuation.PolyhedralStartSolutionsWorkspace, state::Tuple{MixedSubdivisions.MixedCell, Int64, Int64})
     1         0 @HomotopyContinuation/src/binomial_system.jl                              162 solve
     1         0 @HomotopyContinuation/src/binomial_system.jl                              174 solve!(BSS::HomotopyContinuation.BinomialSystemSolver)
     1         0 @HomotopyContinuation/src/binomial_system.jl                              255 solve!(BSS::HomotopyContinuation.BinomialSystemSolver, H::Matrix{Int64}, U::Matrix{Int64})
     1         0 @LinearAlgebra/src/lu.jl                                                   89 lu!
     1         0 @LinearAlgebra/src/lu.jl                                                   89 #lu!#179
     1         0 @LinearAlgebra/src/lu.jl                                                   90 lu!
     1         0 @LinearAlgebra/src/lu.jl                                                   91 #lu!#180
     1         0 @LinearAlgebra/src/lapack.jl                                              787 getrf!
     1         0 @LinearAlgebra/src/lapack.jl                                              787 #getrf!#5
     1         0 @LinearAlgebra/src/lapack.jl                                              580 getrf!
     1         0 @LinearAlgebra/src/lapack.jl                                              587 getrf!(A::Matrix{Float64}, ipiv::Vector{Int64}; check::Bool)
     1         0 @julialib/julia/libopenblas64_.so                                           ? dgetrf_64_
     1         0 @julialib/julia/libopenblas64_.so                                           ? blas_memory_alloc
     1         1 /usr/lib/x86_64-linux-gnu/libc.so.6                                         ? __pthread_mutex_unlock
     1         0 @HomotopyContinuation/src/model_kit/instruction_interpreter.jl              ? execute!
     1         0 @HomotopyContinuation/src/model_kit/instruction_interpreter.jl            156 macro expansion
     1         0 @HomotopyContinuation/src/predictor.jl                                    158 update!(predictor::HomotopyContinuation.Predictor, H::CoefficientHomotopy{InterpretedSystem}, x::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}, x̂::Vector{ComplexF64})
     1         1 @HomotopyContinuation/src/model_kit/instruction_interpreter.jl            410 macro expansion
