case_id	system	comparison_run	samigo_rmse	odepe_polish_rmse	ratio
crauste_5_1em4	crauste	6	0.009394026262032954	1.3407926225104674	142.7282173916669
seir_6_1em4	seir	7	0.013258299826362157	0.8203560812665048	61.8749079452366
crauste_6_1em4	crauste	7	0.05346890734755271	1.9955465073752952	37.32162496615207
daisy_mamil4_1_1em4	daisy_mamil4	2	0.011718605641535087	0.4105270895522247	35.03207652087586
seir_7_1em4	seir	8	0.04798278084003529	1.4927085266725217	31.10925420618919
crauste_1_1em4	crauste	2	0.1493143664732035	3.367033533314074	22.549963629376105
crauste_0_1em4	crauste	1	0.09961555374066251	2.148067603382861	21.56357639666497
hiv_5_1em4	hiv	6	0.055216770580443525	0.7887617626988013	14.284822426361929
brusselator_0_1em4	brusselator	1	0.5430346994353146	6.3302995854514	11.65726534977247
crauste_7_1em4	crauste	8	0.19620521618467582	1.6702059519056445	8.512546120759517
brusselator_4_1em4	brusselator	5	2.6765462279822985	20.334331466217744	7.597227820550921
hiv_2_1em4	hiv	3	0.149771519232908	1.1031107637719835	7.365290606797868
hiv_7_1em4	hiv	8	0.19457038714391597	1.356534926925259	6.9719495697044795
crauste_4_1em4	crauste	5	0.18655426058167765	1.2662834120192192	6.787748551391631
crauste_2_1em4	crauste	3	0.2877175152913365	1.7349726369106897	6.0301251912101845
brusselator_3_1em4	brusselator	4	0.45927532494568923	2.2645680174686134	4.930741745675986
seir_3_1em4	seir	4	0.07043501513654775	0.30190204918040964	4.286249510916295
biohydrogenation_4_1em4	biohydrogenation	5	0.11991686657847594	0.43184435288150974	3.6011977731164477
brusselator_7_1em4	brusselator	8	2.1061706330517502	6.136867167067103	2.9137559278257754
hiv_4_1em4	hiv	5	0.9037001777101372	1.8079030749076195	2.000556290127793
