case_id	raw_candidate_count	imported_best_benchmark_rmse	analyzed_input_best_benchmark_rmse	analyzed_input_selected_benchmark_rmse	saved_amigo_rmse	saved_polish_rmse	scalar_linear_best_rmse	scalar_log_best_rmse	residual_lso_lm_bounded_linear_best_rmse	residual_lso_lm_bounded_log_best_rmse	residual_lso_lm_bounded_linear_vs_scalar_linear	residual_lso_lm_bounded_log_vs_scalar_log	residual_fastlm_bounded_linear_best_rmse	residual_fastlm_bounded_log_best_rmse	residual_fastlm_bounded_linear_vs_scalar_linear	residual_fastlm_bounded_log_vs_scalar_log
crauste_5_1em4	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	1.3407926225104674	10.9496	0.7021	0.38420000000000004	0.32170000000000004	better	better	2.1469	0.25329999999999997	better	better
seir_6_1em4	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	0.8203560812665048	1.2916999999999998	0.33659999999999995	0.3248	0.1151	better	better	0.0492	0.0095	better	better
crauste_6_1em4	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.9955465073752952	1.8028	1.8773	0.9962000000000001	0.3041	better	better	1.0247	0.33630000000000004	better	better
daisy_mamil4_1_1em4	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4105270895522247	0.4213	0.18280000000000002	0.011699999999999999	0.0063	better	better	0.2256	0.0677	better	better
seir_7_1em4	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	0.8406999999999999	0.0944	0.2801	0.1265	better	worse	0.3371	0.107	better	worse
crauste_1_1em4	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	3.367033533314074	363.7848	5.3739	4.0283	0.4817	better	better	4.0283	3.2936	better	better
crauste_0_1em4	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	2.148067603382861	4.1665	0.1432	0.121	0.09960000000000001	better	better	0.1119	0.09960000000000001	better	better
hiv_5_1em4	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	0.7887617626988013	6.5076	0.0581	0.0552	0.0254	better	better	0.0537	0.0489	better	better
brusselator_0_1em4	0	Inf	Inf	Inf	0.5430346994353146	6.3302995854514	Inf	Inf	Inf	Inf	tie	tie	Inf	Inf	tie	tie
crauste_7_1em4	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	1.6702059519056445	64.4599	3.3374	2.6494	0.3566	better	better	2.123	2.2237999999999998	better	better
brusselator_4_1em4	20	20.334331466217744	20.334331466217744	78272.25994228368	2.6765462279822985	20.334331466217744	20.3343	20.3343	8.2908	6.7688999999999995	better	better	6.6864	6.7688999999999995	better	better
hiv_2_1em4	251	2.256652800069876	2.256652800069876	235.76669804854288	0.149771519232908	1.1031107637719835	2.2567	0.0795	0.14980000000000002	0.0033	better	better	0.14980000000000002	0.0279	better	better
hiv_7_1em4	256	5.403962474896902	5.403962474896902	96.2628878237528	0.19457038714391597	1.356534926925259	5.404	0.0496	0.18789999999999998	0.1383	better	worse	0.1946	0.1536	better	worse
crauste_4_1em4	1	0.21649914007806018	0.21649914007806018	0.21649914007806018	0.18655426058167765	1.2662834120192192	0.16699999999999998	0.14730000000000001	0.1866	0.1528	worse	worse	0.2165	0.1548	worse	worse
crauste_2_1em4	19	25.974128606002424	25.974128606002424	5.278528167382495e6	0.2877175152913365	1.7349726369106897	25.9741	2.2456	1.6599000000000002	0.6071	better	better	2.3793	0.9854	better	better
brusselator_3_1em4	20	2.2645680174686134	2.2645680174686134	4.363550752997529	0.45927532494568923	2.2645680174686134	2.2646	2.2646	2.2646	2.2646	tie	tie	2.2646	2.2646	tie	tie
seir_3_1em4	345	3.228605732071512	3.228605732071512	3.6461729932043996	0.07043501513654775	0.30190204918040964	1.1295	0.0104	0.20199999999999999	0.27899999999999997	better	worse	0.09	0.038900000000000004	better	worse
biohydrogenation_4_1em4	189	0.2869486192793021	0.2869486192793021	0.6065082500191735	0.11991686657847594	0.43184435288150974	0.2869	0.1673	0.12140000000000001	0.12369999999999999	better	better	0.2509	0.1677	better	worse
brusselator_7_1em4	0	Inf	Inf	Inf	2.1061706330517502	6.136867167067103	Inf	Inf	Inf	Inf	tie	tie	Inf	Inf	tie	tie
hiv_4_1em4	172	12.680963612766515	12.680963612766515	188.2579194616824	0.9037001777101372	1.8079030749076195	12.570514927062584	0.39697241720936227	0.16110958342726753	0.1531394599359811	better	better	0.16849182904041407	0.9035451243750342	better	worse
