case_id	system	comparison_run	config_key	config_label	phase	method	lambda	delta	tol_profile	status	reason	research_analysis_mode	raw_candidate_count	imported_best_benchmark_rmse	analyzed_input_best_benchmark_rmse	analyzed_input_selected_benchmark_rmse	saved_amigo_rmse	saved_nopolish_rmse	saved_polish_rmse	selected_benchmark_rmse	selected_benchmark_max_rel_err	best_benchmark_rmse	best_benchmark_max_rel_err	selected_local_rel_rmse	best_local_rel_rmse	runtime_seconds
crauste_6_1em4	crauste	7	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.8772707451904442	1.9955465073752952	0.05355672894727567	0.4011495904853285	0.05355672894727567	0.4011495904853285	0.11491895998815374	0.11491895998815374	2085.606884358
daisy_mamil4_1_1em4	daisy_mamil4	2	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4213234221162567	0.4105270895522247	0.38622276815116596	0.9867559066428184	0.33495650424667045	0.9904945490032441	0.8168139582208004	0.573847820016452	366.92181674
daisy_mamil4_1_1em4	daisy_mamil4	2	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4213234221162567	0.4105270895522247	0.0676660041347933	0.25534032442134347	0.0676660041347933	0.25534032442134347	0.11627904280449222	0.11627904280449222	89.850253039
daisy_mamil4_1_1em4	daisy_mamil4	2	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4213234221162567	0.4105270895522247	0.29920553302926156	3.814220490237546	0.011720080382610076	0.04254292133853171	1.5618380375081586	0.019992703993326248	787.293437148
daisy_mamil4_1_1em4	daisy_mamil4	2	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4213234221162567	0.4105270895522247	0.5224205251379	4.463497364840017	0.33773944014475676	1.3314846856781963	1.746090758090661	0.68149833912107	163.317691101
daisy_mamil4_1_1em4	daisy_mamil4	2	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4213234221162567	0.4105270895522247	0.746839884019738	5.985472535393043	0.4213234221162567	1.5449130605633072	2.311542480376263	0.7438763163785149	71.339409254
daisy_mamil4_1_1em4	daisy_mamil4	2	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4213234221162567	0.4105270895522247	0.6871304231357162	4.6897861162590475	0.4213234221162567	1.5449130605633072	2.019509285340571	0.7438763163785149	82.162455531
daisy_mamil4_1_1em4	daisy_mamil4	2	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	132	0.4213234221162567	0.4213234221162567	1.321665753255259	0.011718605641535087	0.4213234221162567	0.4105270895522247	0.7305180117106468	4.50628045065285	0.4213234221162567	1.5449130605633072	2.2847479704309204	0.7438763163785149	48.168408768
seir_7_1em4	seir	8	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	1.4927085266725217	0.3950862364961282	0.9893785497427144	0.06821482693613383	0.6096427575471969	0.7108582175953571	0.26324105247285157	554.754796852
seir_7_1em4	seir	8	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	1.4927085266725217	0.14183872269382425	1.5327568213255445	0.10695859968344477	0.884631930748459	0.6094174782787882	0.39701661444194375	103.777922081
seir_7_1em4	seir	8	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	1.4927085266725217	0.047797305059036524	0.4901924119280403	0.047797305059036524	0.4901924119280403	0.19941266891895454	0.19941266891895454	3054.230849319
seir_7_1em4	seir	8	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	1.4927085266725217	0.12615133374246393	1.3538969121425222	0.12615133374246393	1.3538969121425222	0.5398339988188507	0.5398339988188507	3830.467065394
seir_7_1em4	seir	8	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	1.4927085266725217	0.12845890310261746	1.379957806321206	0.12845890310261746	1.379957806321206	0.5499991096844883	0.5499991096844883	4208.39175937
seir_7_1em4	seir	8	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	1.4927085266725217	0.12876567295298777	1.3819990250265142	0.12876567295298777	1.3819990250265142	0.5509172635790428	0.5509172635790428	4183.662235385
seir_7_1em4	seir	8	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	298	1.492708526672522	1.492708526672522	60.23008317006681	0.04798278084003529	1.4927085266725217	1.4927085266725217	0.12941955009194925	1.3764980237843651	0.12941955009194925	1.3764980237843651	0.5498598128724882	0.5498598128724882	2633.767039306
crauste_1_1em4	crauste	2	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	363.78431443346636	3.367033533314074	4.500443852458418	19.667084104629154	3.138427708740245	11.7242402724764	7.329802610942694	3.8374323666744696	626.019688826
crauste_1_1em4	crauste	2	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	363.78431443346636	3.367033533314074	3.803660273735205	18.64507483149227	3.293592717725368	11.69447347662716	6.615217101004275	4.591670342826543	39.013904203
crauste_1_1em4	crauste	2	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	363.78431443346636	3.367033533314074	0.025677803104109928	0.19295115564871987	0.025677803104109928	0.19295115564871987	0.05817464347160902	0.05817464347160902	1742.413294697
crauste_1_1em4	crauste	2	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	363.78431443346636	3.367033533314074	0.025671803170387593	0.19285915649865898	0.025671803170387593	0.19285915649865898	0.05815444907869744	0.05815444907869744	1676.114555482
crauste_1_1em4	crauste	2	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	363.78431443346636	3.367033533314074	0.025617917784289457	0.1920326735043018	0.025617917784289457	0.1920326735043018	0.057973118113820575	0.057973118113820575	2016.372937167
crauste_1_1em4	crauste	2	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	363.78431443346636	3.367033533314074	0.02509053132939214	0.18391292442681267	0.02509053132939214	0.18391292442681267	0.0562008802993029	0.0562008802993029	1384.905929857
crauste_1_1em4	crauste	2	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	15	363.78431443346636	40096.38382218717	40096.38382218717	0.1493143664732035	363.78431443346636	3.367033533314074	0.02072711177668401	0.11391990683497051	0.02072711177668401	0.11391990683497051	0.04189314127821196	0.04189314127821196	1834.248702163
crauste_0_1em4	crauste	1	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	4.295732866637848	2.148067603382861	0.3790923811135167	1.0563090234054902	0.3790923811135167	1.0563090234054902	0.6858755342375086	0.6857656348624814	138.516719752
crauste_0_1em4	crauste	1	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	4.295732866637848	2.148067603382861	0.09960319159862799	0.9999636363636363	0.09955109195384344	0.9994050701032903	0.2662830365871911	0.26614029916665677	20.949959096
crauste_0_1em4	crauste	1	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	4.295732866637848	2.148067603382861	0.09960318311812898	0.9999636363636363	0.09960318311812898	0.9999636363636363	0.266282961164241	0.266282961164241	51.783586506
crauste_0_1em4	crauste	1	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	4.295732866637848	2.148067603382861	0.09942893489570787	0.9981129143292846	0.09942893489570787	0.9981129143292846	0.2658115622725852	0.2658115622725852	54.938071687
crauste_0_1em4	crauste	1	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	4.295732866637848	2.148067603382861	0.09831443066256584	0.9862677671787924	0.09831443066256584	0.9862677671787924	0.26280189060702563	0.26280189060702563	78.71559223
crauste_0_1em4	crauste	1	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	4.295732866637848	2.148067603382861	0.09159868565853685	0.9147450136905214	0.09159868565853685	0.9147450136905214	0.24475532716511586	0.24475532716511586	64.739650664
crauste_0_1em4	crauste	1	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	3	4.295732866637848	4.295732866637848	4.295732866637848	0.09961555374066251	4.295732866637848	2.148067603382861	0.06410553168034891	0.6185478514182078	0.06410553168034891	0.6185478514182078	0.1728072027217792	0.1728072027217792	74.62404038
hiv_5_1em4	hiv	6	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	6.507612274980539	0.7887617626988013	0.6505176924004905	2.9828807804345097	0.30199996106373306	0.9903901361817319	1.165300957795873	0.5825414346031648	757.471537198
hiv_5_1em4	hiv	6	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	6.507612274980539	0.7887617626988013	0.055217520126677806	0.9999481865284974	0.04894832618446722	0.9656620230914709	0.2620871109920656	0.24585013145945434	991.981287147
hiv_5_1em4	hiv	6	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	6.507612274980539	0.7887617626988013	0.05521752394177569	0.9999481865284974	0.05521725187643314	0.9999481865284974	0.2620871140964877	0.26208631914475305	12228.551679843
hiv_5_1em4	hiv	6	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	6.507612274980539	0.7887617626988013	0.1774360747681585	3.4244951395292778	0.17741641602122282	3.424083184771562	0.9011869360097006	0.9010829192355063	11172.465381441
hiv_5_1em4	hiv	6	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	6.507612274980539	0.7887617626988013	0.22251880171978566	4.092671261150119	0.22251880171978566	4.092671261150119	1.1615128736932447	1.1615128736932447	7760.3426043
hiv_5_1em4	hiv	6	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	6.507612274980539	0.7887617626988013	0.2517287777590925	4.163774865816861	0.2517287777590925	4.163774865816861	1.4203226060139145	1.4203226060139145	5909.433090888
hiv_5_1em4	hiv	6	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	379	6.507612274980539	6.507612274980539	151.07745456279264	0.055216770580443525	6.507612274980539	0.7887617626988013	0.27860974846371733	4.8010259523786845	0.27860974846371733	4.8010259523786845	1.6438592667686123	1.6438592667686123	4073.903657553
brusselator_0_1em4	brusselator	1	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	0	Inf	Inf	Inf	0.5430346994353146	0.021727745790236574	6.3302995854514	Inf	Inf	Inf	Inf	Inf	Inf	0.005505998
brusselator_0_1em4	brusselator	1	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	0	Inf	Inf	Inf	0.5430346994353146	0.021727745790236574	6.3302995854514	Inf	Inf	Inf	Inf	Inf	Inf	0.004007017
brusselator_0_1em4	brusselator	1	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	0	Inf	Inf	Inf	0.5430346994353146	0.021727745790236574	6.3302995854514	Inf	Inf	Inf	Inf	Inf	Inf	0.003752264
brusselator_0_1em4	brusselator	1	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	0	Inf	Inf	Inf	0.5430346994353146	0.021727745790236574	6.3302995854514	Inf	Inf	Inf	Inf	Inf	Inf	0.003352426
brusselator_0_1em4	brusselator	1	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	0	Inf	Inf	Inf	0.5430346994353146	0.021727745790236574	6.3302995854514	Inf	Inf	Inf	Inf	Inf	Inf	0.003400503
brusselator_0_1em4	brusselator	1	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	0	Inf	Inf	Inf	0.5430346994353146	0.021727745790236574	6.3302995854514	Inf	Inf	Inf	Inf	Inf	Inf	0.003281587
brusselator_0_1em4	brusselator	1	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	0	Inf	Inf	Inf	0.5430346994353146	0.021727745790236574	6.3302995854514	Inf	Inf	Inf	Inf	Inf	Inf	0.00352373
crauste_7_1em4	crauste	8	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	64.45986321743501	1.6702059519056445	0.4098048661702537	1.2233150303520706	0.40961468878163787	1.2219994673190255	0.8346781726678683	0.8344640425006576	553.431021335
crauste_7_1em4	crauste	8	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	64.45986321743501	1.6702059519056445	2.385488832727355	32.00330033003299	2.22382879566379	23.89926045617372	7.79953439574299	6.434433223988935	52.304227186
crauste_7_1em4	crauste	8	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	64.45986321743501	1.6702059519056445	0.1824874782103565	1.5164930480867929	0.1824874782103565	1.5164930480867929	0.4780364758090117	0.4780364758090117	3252.012251835
crauste_7_1em4	crauste	8	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	64.45986321743501	1.6702059519056445	0.17889342530484498	1.4799235342038741	0.17889342530484498	1.4799235342038741	0.4678068553058464	0.4678068553058464	3513.925095558
crauste_7_1em4	crauste	8	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	64.45986321743501	1.6702059519056445	0.16130368954771304	1.3010453809053766	0.16130368954771304	1.3010453809053766	0.41772711021984	0.41772711021984	3453.775445204
crauste_7_1em4	crauste	8	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	64.45986321743501	1.6702059519056445	2.3860257531441276	43.24778761061947	2.3860257531441276	43.24778761061947	10.500738112087001	4.8932238411541675	3595.863086218
crauste_7_1em4	crauste	8	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	20	64.45986321743501	187.5198425730863	1639.097487955268	0.19620521618467582	64.45986321743501	1.6702059519056445	2.386890215599076	43.24778761061947	2.271100343593352	12.440860215053766	10.501306176876797	3.089522065384797	3683.35373251
brusselator_4_1em4	brusselator	5	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	20	20.334331466217744	20.334331466217744	78272.25994228368	2.6765462279822985	0.0005358578125155483	20.334331466217744	2.3478548159765613	23.744442508614867	2.134952626217782	9.379007794125682	11.895887407879949	5.092561809546076	54.726298986
