case_id	system	comparison_run	config_key	config_label	phase	method	lambda	delta	tol_profile	status	reason	research_analysis_mode	raw_candidate_count	imported_best_benchmark_rmse	analyzed_input_best_benchmark_rmse	analyzed_input_selected_benchmark_rmse	saved_amigo_rmse	saved_nopolish_rmse	saved_polish_rmse	selected_benchmark_rmse	selected_benchmark_max_rel_err	best_benchmark_rmse	best_benchmark_max_rel_err	selected_local_rel_rmse	best_local_rel_rmse	runtime_seconds
crauste_5_1em4	crauste	6	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	10.949789448615359	1.3407926225104674	0.48520793627205194	0.9884137954581773	0.46180468503051453	1.1824579313429264	0.7349883960478208	0.707180130392725	571.252532882
crauste_5_1em4	crauste	6	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	10.949789448615359	1.3407926225104674	0.25331213598446994	0.9858854325389619	0.25331213598446994	0.9858854325389619	0.4078679905059916	0.4078679905059916	87.67725761
crauste_5_1em4	crauste	6	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	10.949789448615359	1.3407926225104674	0.009003596682903507	0.04605918591937323	0.009003596682903507	0.04605918591937323	0.016500243802272264	0.016500243802272264	2743.07335198
crauste_5_1em4	crauste	6	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	10.949789448615359	1.3407926225104674	0.009003601448361244	0.04605913487903218	0.009003601448361244	0.04605913487903218	0.01650026935859235	0.01650026935859235	2813.215041061
crauste_5_1em4	crauste	6	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	10.949789448615359	1.3407926225104674	0.00900364432780178	0.04605867552892419	0.00900364432780178	0.04605867552892419	0.016500499358446604	0.016500499358446604	2862.707225409
crauste_5_1em4	crauste	6	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	10.949789448615359	1.3407926225104674	0.009004069881403148	0.046054079947980185	0.009004069881403148	0.046054079947980185	0.016502795682699533	0.016502795682699533	2808.25177013
crauste_5_1em4	crauste	6	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	18	10.949789448615359	10.949789448615359	17.523838446943746	0.009394026262032954	10.949789448615359	1.3407926225104674	0.009008061512944969	0.04600795299958007	0.009008061512944969	0.04600795299958007	0.016525470472988853	0.016525470472988853	2842.548735973
seir_6_1em4	seir	7	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	1.6208620106305969	0.8203560812665048	0.5387341842609683	0.9880810095526994	0.006278353776906339	0.02572970599856024	0.9076716928024616	0.012288833582698859	553.935357115
seir_6_1em4	seir	7	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	1.6208620106305969	0.8203560812665048	0.013254163339294214	0.05368062383218569	0.009485925253807415	0.03857463263631635	0.025738998563803794	0.01848114290200865	110.421661373
seir_6_1em4	seir	7	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	1.6208620106305969	0.8203560812665048	0.013254639263706864	0.053682533224676435	0.013254639263706864	0.053682533224676435	0.025739914151319442	0.025739914151319442	2372.636900483
seir_6_1em4	seir	7	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	1.6208620106305969	0.8203560812665048	0.001297018325671167	0.005775214959333975	0.001297018325671167	0.005775214959333975	0.002642226177137799	0.002642226177137799	2115.011906227
seir_6_1em4	seir	7	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	1.6208620106305969	0.8203560812665048	0.0007131040269959907	0.0025964848433310313	0.0007131040269959907	0.0025964848433310313	0.0013865339182930105	0.0013865339182930105	1953.108562362
seir_6_1em4	seir	7	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	1.6208620106305969	0.8203560812665048	0.003978575793238155	0.013725462467428758	0.003978575793238155	0.013725462467428758	0.006852964843833627	0.006852964843833627	1814.420624433
seir_6_1em4	seir	7	lso_phase_a_lambda_1em01	LSO LM log-space λ=1e-01, Δ=10, baseline tol	phase_a	lso_log	0.1	10.0	baseline	ok		ungated	276	1.6208620106305969	1.6208620106305969	12.96643756571282	0.013258299826362157	1.6208620106305969	0.8203560812665048	0.03270088077202676	0.11936899618244534	0.032392945522198964	0.14233337311754293	0.05718905830628192	0.05718905830628192	1358.662226628
crauste_6_1em4	crauste	7	scalar_log_control	Scalar log-space λ=0	control	scalar_log	0.0		baseline	ok		ungated	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.8772707451904442	1.9955465073752952	0.42059124004683524	1.3121986246168402	0.42059124004683524	1.3121986246168402	0.7136562218327338	0.7136562218327338	570.293571113
crauste_6_1em4	crauste	7	fastlm_log_control	Bounded FastLM log-space λ=0	control	fastlm_log	0.0		baseline	ok		ungated	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.8772707451904442	1.9955465073752952	0.8088773016681969	4.640284569334397	0.3363038288947033	0.9999848358948453	1.4066483951940234	0.5967646051538877	84.572406117
crauste_6_1em4	crauste	7	lso_phase_a_lambda_0	LSO LM log-space λ=0, Δ=10, baseline tol	phase_a	lso_log	0.0	10.0	baseline	ok		ungated	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.8772707451904442	1.9955465073752952	0.053571727620383015	0.40124918177994817	0.053571727620383015	0.40124918177994817	0.11494932840227567	0.11494932840227567	2240.094620705
crauste_6_1em4	crauste	7	lso_phase_a_lambda_1em04	LSO LM log-space λ=1e-04, Δ=10, baseline tol	phase_a	lso_log	0.0001	10.0	baseline	ok		ungated	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.8772707451904442	1.9955465073752952	0.05357171246541365	0.40124908095458967	0.05357171246541365	0.40124908095458967	0.1149492976887633	0.1149492976887633	2266.513168153
crauste_6_1em4	crauste	7	lso_phase_a_lambda_1em03	LSO LM log-space λ=1e-03, Δ=10, baseline tol	phase_a	lso_log	0.001	10.0	baseline	ok		ungated	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.8772707451904442	1.9955465073752952	0.05357157610691166	0.40124817381904404	0.05357157610691166	0.40124817381904404	0.11494902134772163	0.11494902134772163	2294.154530914
crauste_6_1em4	crauste	7	lso_phase_a_lambda_1em02	LSO LM log-space λ=1e-02, Δ=10, baseline tol	phase_a	lso_log	0.01	10.0	baseline	ok		ungated	15	1.8772707451904442	1.8772707451904442	50.763890597745515	0.05346890734755271	1.8772707451904442	1.9955465073752952	0.053570213716561045	0.4012391118497892	0.053570213716561045	0.4012391118497892	0.11494626056854058	0.11494626056854058	2187.169321005
