observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
obs_x1	Observable obs_x1	x1 + x2*x2	lin	noiseParameter1 * obs_x1	normal
obs_x2	Observable obs_x2	x2+x1	lin	noiseParameter1 * obs_x2	normal
obs_x3	Observable obs_x3	x3-x1*x1	lin	noiseParameter1 * obs_x3	normal
