observable,order,true_val,interp_val,rel_error
y1(t),0,3.700599211211760e+00,3.864120510925010e+00,4.418778970114534e-02
y1(t),1,-3.245798445129713e-01,-3.294714534983603e-01,1.507058761682751e-02
y1(t),2,9.988045937423112e-03,9.581759456773999e-03,4.067727393271619e-02
y1(t),3,8.300412023448075e-04,7.998251172894123e-04,3.640311465266645e-02
y1(t),4,6.373975401647042e-05,-2.016294422561084e-04,4.163323193936505e+00
y1(t),5,-1.987786886663085e-06,2.683048374768088e-04,1.359766613699794e+02
y2(t),0,2.675784254568715e-01,1.284797653655863e-01,5.198425839220183e-01
y2(t),1,2.627094987534291e-01,2.955322085544344e-01,1.249391817073643e-01
y2(t),2,-5.553776975331921e-02,-7.784554774557689e-02,4.016685958284176e-01
y2(t),3,3.338144679143012e-02,5.873186706234922e-02,7.594164635616454e-01
y2(t),4,-3.555720247519371e-02,-7.054368548583677e-02,9.839492585236755e-01
y2(t),5,4.578463028073591e-02,9.785156169620447e-02,1.137214193850899e+00
