index,singular_value
1,1.921066300860607e+00
2,1.785529813152404e+00
3,1.635484384204752e+00
4,1.456218962015936e+00
5,1.392980114523395e+00
6,1.071606517592361e+00
7,1.056458524685549e+00
8,9.317163877616714e-01
9,7.896622518529876e-01
10,7.632366681196718e-01
11,2.129327919225743e-01
12,3.693923811751153e-02
13,5.888577493612512e-03
14,6.545835093932435e-04
