observable,order,true_val,interp_val,rel_error
y1(t),0,1.528958910464091e-01,1.528942934122943e-01,1.044916317775892e-05
y1(t),1,9.458602489370327e-02,9.455255602300625e-02,3.538458322425100e-04
y1(t),2,7.154906758587010e-02,7.159215834320470e-02,6.022546315211119e-04
y1(t),3,5.471875330111346e-02,5.671329108975593e-02,3.645071695377769e-02
y1(t),4,4.203942382248420e-02,4.231209582207279e-02,6.486102205871642e-03
