observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
obs_y1	Observable obs_y1	2.0*x1 + 0.5*x2	lin	noiseParameter1 * obs_y1	normal
obs_y2	Observable obs_y2	3.0*x1 - 0.25*x2	lin	noiseParameter1 * obs_y2	normal
