parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
b0	lin	-1000000.0	1000000.0	1.0	1
b1	lin	-1000000.0	1000000.0	1.0	1
g	lin	-1000000.0	1000000.0	1.0	1
M	lin	-1000000.0	1000000.0	1.0	1
mu	lin	-1000000.0	1000000.0	1.0	1
nu	lin	-1000000.0	1000000.0	1.0	1
init_i	lin	0.001	1000.0	1.0	1
init_r	lin	0.001	1000.0	1.0	1
init_s	lin	0.001	1000.0	1.0	1
init_x1	lin	0.001	1000.0	1.0	1
init_x2	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	0.001	0.001	0.001	0
