rank,err,max_rel_err,k5,k6,k7,k8,k9,k10,x4,x5,x6,x7
1,1.222665360334701e-8,5.126978903662506,0.4760002648050377,0.39700042450006534,0.10701374747538418,0.8889634230395647,0.7166652625477303,5.0118687431959295,0.6390000122721003,0.8409994043542122,0.39812355238753344,0.9538584256470068
2,1.2226653603623392e-8,5.12697687338727,0.4760002648050425,0.3970004245000766,0.10701374747534662,0.8889634230971745,0.7166652638131575,5.011867082430786,0.6390000122721005,0.8409994043542225,0.39812355214670186,0.541127812451499
3,1.222665360368727e-8,5.126982820938274,0.4760002648050395,0.3970004245000706,0.10701374747536085,0.88896342292303,0.7166652600683486,5.011871947527507,0.6390000122721007,0.8409994043541944,0.3981235528671389,0.8802528435965375
4,1.2226653603862022e-8,5.126982258308152,0.4760002648050404,0.3970004245000722,0.10701374747534906,0.88896342293871,0.7166652604163798,5.011871487296068,0.6390000122721003,0.8409994043541975,0.3981235528013594,0.6764839420657591
5,1.2226653603929184e-8,5.126976877730193,0.47600026480504193,0.3970004245000756,0.10701374747536951,0.8889634230984897,0.7166652638212441,5.011867085983297,0.6390000122721003,0.8409994043542204,0.3981235521431223,0.7844918614370083
6,1.2226653604174984e-8,5.126983298423192,0.4760002648051102,0.39700042450024947,0.10701374744848331,0.8889634207865655,0.716665242395306,5.01187233811017,0.639000012272104,0.8409994043560751,0.39812355933469223,0.33890741434853466
7,1.2226653604306586e-8,5.126961656010162,0.47600026480503793,0.397000424500067,0.10701374747541922,0.8889634235489476,0.7166652734374929,5.011854634616312,0.6390000122721006,0.8409994043542917,0.3981235502862575,0.6218845976368128
8,5.671172249166685e-8,7.335622617959126,0.476001628588606,0.3970038680702138,0.09306546234518105,1.9952623114653806e-5,0.13978416001664168,2.150602059902972,0.6390000861137629,0.8410525586177501,3.3092421793297735,1.0
9,5.671172249616915e-8,7.335621218821414,0.4760016285894103,0.39700386807223736,0.0930654500333314,1.9952623114653735e-5,0.13978440555188348,2.1505709988402093,0.6390000861138094,0.841052558646209,3.309241623872101,0.9522305896274512
10,1.6136681149911408e-7,9.803531264515417,0.47600263874686105,0.39700638059692517,0.1153730204226184,1.9952721273608874e-5,0.015398834345478792,5.01187258590622,0.6390001474909902,0.8410983392208538,4.289001912012621,0.999997641510446
11,1.6136681245874322e-7,9.803452632572192,0.47600263874684373,0.3970063805968759,0.11537302865252,2.785090380854697e-5,0.015398911310935827,5.0118725859033715,0.6390001474909902,0.8410983392222338,4.288970695131161,1.0000038918879017
12,1.613668165022611e-7,9.803112272281982,0.47600263874673476,0.39700638059657334,0.11537306432423468,6.202921028885077e-5,0.015399244313270761,5.011872585891476,0.639000147490989,0.8410983392277556,4.288835572095947,0.9999996246369962
13,1.6136681691247028e-7,9.803077306546026,0.4760026387467244,0.3970063805965456,0.11537306798914798,6.554022939207681e-5,0.01539927852328242,5.011872585890262,0.6390001474909889,0.8410983392283211,4.288821690698772,0.8607348209321867
14,1.6136681726231622e-7,9.803047707514132,0.47600263874671644,0.39700638059652354,0.11537307109144199,6.851245045683965e-5,0.015399307483128417,5.01187258588923,0.6390001474909888,0.8410983392288001,4.2888099398831105,0.9154884389561564
15,1.6136681733778066e-7,9.803041859498638,0.4760026387467129,0.3970063805965138,0.11537307170453154,6.909974729534091e-5,0.015399313204377114,5.011872585889023,0.6390001474909888,0.8410983392288948,4.28880761822096,0.9056009249608498
16,1.6136681744450335e-7,9.803032691140908,0.47600263874671045,0.3970063805965069,0.11537307266530651,7.00204570557165e-5,0.015399322175318366,5.011872585888701,0.6390001474909887,0.841098339229045,4.288803978382941,0.88350597780056
17,1.6136681775976676e-7,9.803005969251378,0.47600263874670296,0.3970063805964861,0.11537307546622431,7.270370426291261e-5,0.015399348319766555,5.01187258588777,0.6390001474909887,0.8410983392294766,4.288793369792797,0.86135806746626
18,1.613668179831012e-7,9.802987343739314,0.4760026387466941,0.3970063805964616,0.11537307741832077,7.457403861494484e-5,0.015399366543459405,5.01187258588712,0.6390001474909884,0.84109833922978,4.288785975464508,0.9733144357700058
19,1.6136681820121582e-7,9.80296862865759,0.47600263874669024,0.3970063805964508,0.11537307937990067,7.6453332510393e-5,0.015399384854538716,5.011872585886467,0.6390001474909884,0.8410983392300827,4.288778545577063,0.9412686032409024
20,1.6136681833997655e-7,9.802958013281746,0.4760026387466854,0.39700638059643767,0.115373080491863,7.75195724708952e-5,0.015399395242965703,5.011872585886085,0.6390001474909885,0.8410983392302608,4.288774331272854,0.9168652565650066
21,1.6136681855789163e-7,9.80293853062533,0.4760026387466817,0.3970063805964271,0.1153730825346472,7.947567261760385e-5,0.015399414302689284,5.011872585885417,0.6390001474909883,0.8410983392305702,4.288766596658256,0.9494269631443047
22,1.6136681858589949e-7,9.80293616083497,0.47600263874667886,0.3970063805964192,0.11537308278301324,7.971363821746214e-5,0.015399416621411397,5.011872585885336,0.6390001474909884,0.8410983392306071,4.288765655851483,0.8593165573944012
23,1.6136681866353982e-7,9.80293040991875,0.4760026387466781,0.3970063805964175,0.1153730833852079,8.029133421793758e-5,0.015399422250097517,5.0118725858851265,0.6390001474909884,0.8410983392307066,4.288763372737744,0.9356361493594617
24,1.6136681871412826e-7,9.80292527341342,0.4760026387466761,0.3970063805964115,0.1153730839243654,8.080693180122392e-5,0.015399427273203314,5.011872585884958,0.6390001474909883,0.8410983392307829,4.2887613335451285,0.936179936391086
25,1.613668188427494e-7,9.80291520564644,0.47600263874667337,0.3970063805964034,0.11537308497883361,8.181804406889645e-5,0.015399437126219632,5.011872585884597,0.6390001474909884,0.8410983392309536,4.288757336641638,0.9817175957675497
26,1.6136681890374378e-7,9.802909242001443,0.47600263874667037,0.397006380596396,0.11537308560449497,8.241677540284987e-5,0.015399442959253025,5.0118725858843955,0.6390001474909882,0.8410983392310459,4.288754969074573,0.9107684315064383
27,1.6136681896995595e-7,9.80290365912255,0.4760026387466692,0.3970063805963919,0.11537308618993847,8.297732224369579e-5,0.015399448420759439,5.011872585884204,0.6390001474909882,0.8410983392311325,4.288752752671653,0.9569968638441828
28,1.6136681904583554e-7,9.80289758717454,0.4760026387466658,0.3970063805963831,0.11537308682619957,8.358708918022397e-5,0.015399454362235996,5.01187258588399,0.6390001474909881,0.8410983392312326,4.288750342108293,0.8879689643226776
29,1.6136681914088355e-7,9.802889662567331,0.4760026387466649,0.3970063805963811,0.11537308765657074,8.438293888469707e-5,0.015399462116629055,5.011872585883708,0.639000147490988,0.8410983392313636,4.288747196039231,0.8900095321165802
30,1.613668192691603e-7,9.802878904533278,0.4760026387466614,0.3970063805963709,0.11537308878417925,8.546317122983424e-5,0.015399472642519531,5.011872585883337,0.6390001474909882,0.8410983392315362,4.288742925099712,0.9416566576658018
31,1.6136681933776166e-7,9.802872475355576,0.4760026387466598,0.397006380596366,0.11537308945789505,8.610881831875085e-5,0.015399478933489363,5.011872585883111,0.6390001474909881,0.8410983392316433,4.288740372716164,0.8897281027548581
32,1.6136681939348576e-7,9.802868156272009,0.47600263874665877,0.3970063805963631,0.11537308991099617,8.65424851586872e-5,0.015399483158094768,5.011872585882963,0.639000147490988,0.8410983392317095,4.288738658039988,0.9654173321162497
33,1.6136681947026782e-7,9.802862428068414,0.4760026387466561,0.39700638059635607,0.11537309051058861,8.711793871167577e-5,0.015399488765371718,5.011872585882753,0.6390001474909881,0.8410983392318091,4.288736383943161,0.9715990487363286
34,1.6136681950910534e-7,9.802858425369744,0.4760026387466559,0.3970063805963559,0.11537309093088617,8.75196069468121e-5,0.015399492679259458,5.011872585882624,0.6390001474909882,0.841098339231867,4.288734794871789,0.8913345199275012
35,1.613668195229037e-7,9.802857088986551,0.4760026387466543,0.39700638059635096,0.115373091071,8.765378615086647e-5,0.01539949398667525,5.011872585882574,0.6390001474909882,0.8410983392318889,4.288734264327661,0.9587918056973065
36,1.6136681962218937e-7,9.802849029908847,0.4760026387466513,0.3970063805963432,0.11537309191557935,8.846308156083947e-5,0.015399501872334702,5.011872585882297,0.639000147490988,0.8410983392320212,4.288731064873812,0.9442742615400008
37,1.6136681983608057e-7,9.802830633735324,0.4760026387466479,0.3970063805963335,0.1153730938440549,9.031031673614422e-5,0.015399519870779636,5.011872585881654,0.6390001474909879,0.8410983392323167,4.288723761592924,0.9308825347193124
38,1.613668198412591e-7,9.802830171552005,0.47600263874664417,0.3970063805963236,0.11537309389215705,9.03567969020007e-5,0.015399520324126573,5.011872585881636,0.6390001474909879,0.8410983392323277,4.288723578106146,0.9828994934874283
39,1.6136682002536157e-7,9.802814939049146,0.4760026387466425,0.39700638059631804,0.11537309548860591,9.188644356738239e-5,0.015399535228583634,5.011872585881101,0.6390001474909881,0.8410983392325739,4.288717530802511,1.0
40,1.6136682016956554e-7,9.802802669285814,0.4760026387466408,0.3970063805963133,0.11537309677477797,9.311849460334947e-5,0.01539954723336562,5.011872585880674,0.639000147490988,0.8410983392327727,4.288712659706468,0.9648213161241874
41,1.613668202746574e-7,9.802793697144438,0.4760026387466338,0.3970063805962948,0.11537309771535499,9.401945611632798e-5,0.01539955601153083,5.011872585880363,0.6390001474909878,0.841098339232918,4.2887090977663425,0.9497664561200807
42,1.6136682058707787e-7,9.802768181520102,0.47600263874662607,0.39700638059627347,0.11537310038933621,9.658176505275764e-5,0.015399580978500388,5.011872585879468,0.6390001474909878,0.8410983392333345,4.288698968063481,0.551757532133724
43,1.6136682108421644e-7,9.80272602103693,0.4760026387466126,0.397006380596236,0.1153731048086484,0.00010081531936858652,0.015399622229429536,5.011872585877999,0.6390001474909875,0.8410983392340174,4.288682230351662,0.9920687266973602
