observable,order,true_val,interp_val,rel_error
y1(t),0,1.598406798893176e+02,1.598406808521377e+02,6.023623536305964e-09
y1(t),1,1.971284615444407e-01,1.971284384197747e-01,1.173075967302311e-07
y1(t),2,1.912447159011704e+00,1.912562502427950e+00,6.031194937997671e-05
y1(t),3,4.802329837507846e+02,-4.928209550085780e-02,1.000102621221716e+00
y1(t),4,-1.995984537200396e+09,-4.781417811626468e-01,9.999999997604482e-01
y1(t),5,8.295026673645370e+15,1.232334665520335e-02,1.000000000000000e+00
y1(t),6,-3.447294562296992e+22,1.194930397252003e-01,1.000000000000000e+00
