observable,order,true_val,interp_val,rel_error
y1(t),0,-9.346892176818377e+18,5.554777906759853e+00,1.000000000000000e+00
y1(t),1,1.031739029944454e+19,6.706414173798461e-01,1.000000000000000e+00
y1(t),2,-1.207915016771285e+34,1.637506098324099e-01,1.000000000000000e+00
y1(t),3,-5.824503536567823e+49,5.902143656882059e-03,1.000000000000000e+00
y1(t),4,-2.808545384109140e+65,5.355956921301482e-03,1.000000000000000e+00
y1(t),5,-1.354266011700087e+81,3.183025360671362e-04,1.000000000000000e+00
y2(t),0,6.420000000000000e+02,6.419975405613411e+02,3.830901337832955e-06
y2(t),1,0.000000000000000e+00,-1.052544826086766e-13,1.052544826086766e+02
y2(t),2,0.000000000000000e+00,-2.947231746069792e-15,2.947231746069792e+00
y2(t),3,0.000000000000000e+00,7.230035227711441e-17,7.230035227711440e-02
y2(t),4,0.000000000000000e+00,3.794382549496757e-18,3.794382549496757e-03
y2(t),5,0.000000000000000e+00,-7.982351206338013e-20,7.982351206338013e-05
