parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
k1	lin	-1000000.0	1000000.0	1.0	1
k2	lin	-1000000.0	1000000.0	1.0	1
k3	lin	-1000000.0	1000000.0	1.0	1
init_r	lin	0.001	1000.0	1.0	1
init_w	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	1e-09	1e-09	1e-09	0
