simulationConditionId	measurement	time	observableId	observableParameters	noiseParameters	datasetId	replicateId
condition1	2.0009934283060224	0.0	obs_y1		noiseParameter1	dataset1	0
condition1	2.011757879356278	0.005	obs_y1		noiseParameter1	dataset1	0
condition1	2.025455592993266	0.01	obs_y1		noiseParameter1	dataset1	0
condition1	2.0394273380223678	0.015	obs_y1		noiseParameter1	dataset1	0
condition1	2.0481009537324253	0.02	obs_y1		noiseParameter1	dataset1	0
condition1	2.06042653295378	0.025	obs_y1		noiseParameter1	dataset1	0
condition1	2.0765858934060475	0.03	obs_y1		noiseParameter1	dataset1	0
condition1	2.0873896644152694	0.035	obs_y1		noiseParameter1	dataset1	0
condition1	2.097356193181885	0.04	obs_y1		noiseParameter1	dataset1	0
condition1	2.1121145318862378	0.045	obs_y1		noiseParameter1	dataset1	0
condition1	2.1226889454396884	0.05	obs_y1		noiseParameter1	dataset1	0
condition1	2.1354584244361923	0.055	obs_y1		noiseParameter1	dataset1	0
condition1	2.1498307402628196	0.06	obs_y1		noiseParameter1	dataset1	0
condition1	2.1581083361345246	0.065	obs_y1		noiseParameter1	dataset1	0
condition1	2.17150564671753	0.07	obs_y1		noiseParameter1	dataset1	0
condition1	2.187118086349699	0.075	obs_y1		noiseParameter1	dataset1	0
condition1	2.199288361963126	0.08	obs_y1		noiseParameter1	dataset1	0
condition1	2.2154629281071885	0.085	obs_y1		noiseParameter1	dataset1	0
condition1	2.226072326472568	0.09	obs_y1		noiseParameter1	dataset1	0
condition1	2.2383385650683945	0.095	obs_y1		noiseParameter1	dataset1	0
condition1	2.2582987319526864	0.1	obs_y1		noiseParameter1	dataset1	0
condition1	2.2680521485516434	0.105	obs_y1		noiseParameter1	dataset1	0
condition1	2.282370752575939	0.11	obs_y1		noiseParameter1	dataset1	0
condition1	2.2926799484317217	0.115	obs_y1		noiseParameter1	dataset1	0
condition1	2.308510819185128	0.12	obs_y1		noiseParameter1	dataset1	0
condition1	2.3239262328338044	0.125	obs_y1		noiseParameter1	dataset1	0
condition1	2.334961783326481	0.13	obs_y1		noiseParameter1	dataset1	0
condition1	2.3526040194207702	0.135	obs_y1		noiseParameter1	dataset1	0
condition1	2.364452186358301	0.14	obs_y1		noiseParameter1	dataset1	0
condition1	2.379416868155584	0.145	obs_y1		noiseParameter1	dataset1	0
condition1	2.3929939790926746	0.15	obs_y1		noiseParameter1	dataset1	0
condition1	2.413306370968007	0.155	obs_y1		noiseParameter1	dataset1	0
condition1	2.4233083256086942	0.16	obs_y1		noiseParameter1	dataset1	0
condition1	2.4353461680093274	0.165	obs_y1		noiseParameter1	dataset1	0
condition1	2.4546136775847502	0.17	obs_y1		noiseParameter1	dataset1	0
condition1	2.4643438639213846	0.17500000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	2.48272320027057	0.18	obs_y1		noiseParameter1	dataset1	0
condition1	2.492249179735521	0.185	obs_y1		noiseParameter1	dataset1	0
condition1	2.5088340209148625	0.19	obs_y1		noiseParameter1	dataset1	0
condition1	2.5277865097102397	0.195	obs_y1		noiseParameter1	dataset1	0
condition1	2.544375850729944	0.2	obs_y1		noiseParameter1	dataset1	0
condition1	2.5582374727899944	0.20500000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	2.5728944893896393	0.21	obs_y1		noiseParameter1	dataset1	0
condition1	2.587898176909516	0.215	obs_y1		noiseParameter1	dataset1	0
condition1	2.600405942321663	0.22	obs_y1		noiseParameter1	dataset1	0
condition1	2.618042960885931	0.225	obs_y1		noiseParameter1	dataset1	0
condition1	2.634481624480123	0.23	obs_y1		noiseParameter1	dataset1	0
condition1	2.6543604603445186	0.23500000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	2.6684312151215557	0.24	obs_y1		noiseParameter1	dataset1	0
condition1	2.6788365695982015	0.245	obs_y1		noiseParameter1	dataset1	0
condition1	2.700592550421987	0.25	obs_y1		noiseParameter1	dataset1	0
condition1	2.714918743318766	0.255	obs_y1		noiseParameter1	dataset1	0
condition1	2.7304598257942527	0.26	obs_y1		noiseParameter1	dataset1	0
