observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
obs_y1	Observable obs_y1	x1	lin	noiseParameter1 * obs_y1	normal
obs_y2	Observable obs_y2	x2	lin	noiseParameter1 * obs_y2	normal
obs_y3	Observable obs_y3	x3 + x4	lin	noiseParameter1 * obs_y3	normal
