parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
p1	lin	-1000000.0	1000000.0	1.0	1
p3	lin	-1000000.0	1000000.0	1.0	1
p4	lin	-1000000.0	1000000.0	1.0	1
p6	lin	-1000000.0	1000000.0	1.0	1
p7	lin	-1000000.0	1000000.0	1.0	1
init_x1	lin	0.001	1000.0	1.0	1
init_x2	lin	0.001	1000.0	1.0	1
init_x3	lin	0.001	1000.0	1.0	1
init_u0	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	0.001	0.001	0.001	0
