observable,order,true_val,interp_val,rel_error
y1(t),0,1.111887440547703e-01,1.111876118049618e-01,1.018313335713431e-05
y1(t),1,-2.619302465877993e-03,-2.603820256518502e-03,5.910813875518299e-03
y1(t),2,-5.676475355087537e-02,-5.677838508998096e-02,2.401409017546313e-04
y1(t),3,1.869244516332161e-01,1.858614183148712e-01,5.686967697681187e-03
y1(t),4,-5.700123984979577e-01,-5.642099425238623e-01,1.017952590046380e-02
y2(t),0,2.919841859753174e-01,2.919845598040842e-01,1.280304841107040e-06
y2(t),1,-9.905544352092413e-03,-9.857886414303100e-03,4.811238645279063e-03
y2(t),2,7.591109380941872e-04,6.743531424196535e-04,1.116540302888079e-01
y2(t),3,-2.096450694089946e-02,-2.230932472986227e-02,6.414736071561125e-02
y2(t),4,7.224238931488572e-02,8.055301113532670e-02,1.150380254481500e-01
