parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
k01	lin	-1000000.0	1000000.0	1.0	1
k12	lin	-1000000.0	1000000.0	1.0	1
k13	lin	-1000000.0	1000000.0	1.0	1
k14	lin	-1000000.0	1000000.0	1.0	1
k21	lin	-1000000.0	1000000.0	1.0	1
k31	lin	-1000000.0	1000000.0	1.0	1
k41	lin	-1000000.0	1000000.0	1.0	1
init_x1	lin	0.001	1000.0	1.0	1
init_x2	lin	0.001	1000.0	1.0	1
init_x3	lin	0.001	1000.0	1.0	1
init_x4	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	1e-09	1e-09	1e-09	0
