 Count  Overhead File                                                                      Line Function
     1         0 @Base/special/log.jl                                                      162 log_proc1
     1         1 @Base/tuple.jl                                                             33 getindex
     1         1 @HomotopyContinuation/src/homotopies/toric_homotopy.jl                      ? newton!(x̄::Vector{ComplexF64}, NC::HomotopyContinuation.NewtonCorrector, H::HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x₀::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}; μ::Float64, ω::Float64, extended_precision::Bool, accurate_μ::Bool, first_correction::Bool)
     1         0 @HomotopyContinuation/src/tracker.jl                                      866 step!(tracker::Tracker{CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, debug::Bool)
     1         0 @HomotopyContinuation/src/norm.jl                                         123 update!(w::WeightedNorm{InfNorm}, x::Vector{ComplexF64})
     1         0 @HomotopyContinuation/src/norm.jl                                         217 norm(x::Vector{ComplexF64}, w::WeightedNorm{InfNorm})
     1         0 @Base/complex.jl                                                          348 /
     1         1 @HomotopyContinuation/src/linear_algebra.jl                                 ? ldiv_unit_lower!
     1         0 @HomotopyContinuation/src/homotopies/toric_homotopy.jl                    250 taylor_coeffs!(H::HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, t::Float64)
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               161 lu!(A::Matrix{ComplexF64}, ipiv::Vector{Int64})
     1         0 @VectorizationBase/src/special/exp.jl                                     805 vexp_generic
     1         0 @VectorizationBase/src/llvm_intrin/masks.jl                               901 isnan
     1         0 @VectorizationBase/src/base_defs.jl                                        91 !=
     1         0 @VectorizationBase/src/vecunroll/fmap.jl                                  111 vne
     1         0 @VectorizationBase/src/llvm_intrin/masks.jl                               749 vne
     1         0 @VectorizationBase/src/special/exp.jl                                     803 vexp_generic
     1         0 @VectorizationBase/src/base_defs.jl                                        99 >=
     1         0 @VectorizationBase/src/vecunroll/fmap.jl                                  113 vge
     1         0 @VectorizationBase/src/llvm_intrin/masks.jl                               813 vge
     1         0 @VectorizationBase/src/llvm_intrin/masks.jl                               749 vge
     1         0 @HomotopyContinuation/src/model_kit/compiled_system_homotopy.jl           240 macro expansion
