simulationConditionId	measurement	time	observableId	observableParameters	noiseParameters	datasetId	replicateId
condition1	0.33316540581295273	0.0	obs_y1		noiseParameter1	dataset1	0
condition1	0.33428847841569254	0.005	obs_y1		noiseParameter1	dataset1	0
condition1	0.3358882212641299	0.01	obs_y1		noiseParameter1	dataset1	0
condition1	0.3375215789945288	0.015	obs_y1		noiseParameter1	dataset1	0
condition1	0.3382679490164452	0.02	obs_y1		noiseParameter1	dataset1	0
condition1	0.33960787096476747	0.025	obs_y1		noiseParameter1	dataset1	0
condition1	0.3415675397177984	0.03	obs_y1		noiseParameter1	dataset1	0
condition1	0.34263464277402544	0.035	obs_y1		noiseParameter1	dataset1	0
condition1	0.3435547616932749	0.04	obs_y1		noiseParameter1	dataset1	0
condition1	0.3452488840447696	0.045	obs_y1		noiseParameter1	dataset1	0
condition1	0.34624796828375276	0.05	obs_y1		noiseParameter1	dataset1	0
condition1	0.3475946512742881	0.055	obs_y1		noiseParameter1	dataset1	0
condition1	0.3491904590887376	0.06	obs_y1		noiseParameter1	dataset1	0
condition1	0.3497860944487543	0.065	obs_y1		noiseParameter1	dataset1	0
condition1	0.35120163958466577	0.07	obs_y1		noiseParameter1	dataset1	0
condition1	0.35296298833559914	0.075	obs_y1		noiseParameter1	dataset1	0
condition1	0.35415679615831336	0.08	obs_y1		noiseParameter1	dataset1	0
condition1	0.35598317991757916	0.085	obs_y1		noiseParameter1	dataset1	0
condition1	0.3569036427345819	0.09	obs_y1		noiseParameter1	dataset1	0
condition1	0.35807941224198286	0.095	obs_y1		noiseParameter1	dataset1	0
condition1	0.36047237611453103	0.1	obs_y1		noiseParameter1	dataset1	0
condition1	0.36122336256949844	0.105	obs_y1		noiseParameter1	dataset1	0
condition1	0.3626906592377054	0.11	obs_y1		noiseParameter1	dataset1	0
condition1	0.3635098565028138	0.115	obs_y1		noiseParameter1	dataset1	0
condition1	0.3651930176350387	0.12	obs_y1		noiseParameter1	dataset1	0
condition1	0.36679711100912926	0.125	obs_y1		noiseParameter1	dataset1	0
condition1	0.36769828024734125	0.13	obs_y1		noiseParameter1	dataset1	0
condition1	0.3696274018757268	0.135	obs_y1		noiseParameter1	dataset1	0
condition1	0.3706334616177198	0.14	obs_y1		noiseParameter1	dataset1	0
condition1	0.3721162743126282	0.145	obs_y1		noiseParameter1	dataset1	0
condition1	0.37336968898408524	0.15	obs_y1		noiseParameter1	dataset1	0
condition1	0.37565963582325995	0.155	obs_y1		noiseParameter1	dataset1	0
