parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
a	lin	-1000000.0	1000000.0	1.0	1
b	lin	-1000000.0	1000000.0	1.0	1
init_x1	lin	0.001	1000.0	1.0	1
init_x2	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	0.001	0.001	0.001	0
