index,singular_value
1,1.087566401530779e+03
2,1.580502157457106e+02
3,1.273419340397192e+01
4,8.581465550229977e+00
5,2.959512766948424e+00
6,1.999994765938004e+00
7,1.262505681077123e+00
8,8.787941517838972e-01
9,8.090405402532286e-01
10,7.082847117669900e-01
11,2.165180756846740e-01
12,5.130671179125029e-02
13,1.498339849253800e-02
14,9.609016656664964e-04
