parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
g	lin	-1000000.0	1000000.0	1.0	1
a	lin	-1000000.0	1000000.0	1.0	1
b	lin	-1000000.0	1000000.0	1.0	1
init_V	lin	0.001	1000.0	1.0	1
init_R	lin	0.001	1000.0	1.0	1
noiseParameter1	lin	1e-09	1e-09	1e-09	0
