r_eff(t),post_polish_error,Temp(t),dH_rhoCP,tau,C(t),err,branch_size,Tin,polish_source_hc_idx,UA_VrhoCP
6.17852783203125,5.703547361936644,0.5386962890625,-0.00079345703125,0.10675048828125,275.41412353515625,5.703547361936644,1.0,0.65875244140625,706.0,0.435791015625
0.2159423828125,8.487612677441001,0.53558349609375,6.9862060546875,0.04595947265625,2.3287353515625,8.487612677441001,1.0,0.5792236328125,256.0,0.2081298828125
0.605712890625,13.20255016653197,0.537109375,-0.23004150390625,0.1036376953125,1.58184814453125,13.20255016653197,1.0,0.65716552734375,27.0,0.3936767578125
0.105224609375,13.585052327859959,0.5386962890625,0.4825439453125,0.105224609375,1.15460205078125,13.585052327859959,1.0,0.654052734375,502.0,0.43109130859375
0.12078857421875,20.097588007372533,0.5386962890625,0.38433837890625,0.105224609375,0.54962158203125,20.097588007372533,1.0,0.65716552734375,493.0,0.45758056640625
0.1473388671875,26.393026975793333,0.537109375,0.25958251953125,0.1036376953125,0.0303955078125,26.393026975793333,1.0,0.654052734375,180.0,0.41552734375
0.08184814453125,28.492824629184607,0.5386962890625,0.4342041015625,0.105224609375,1.927978515625,28.492824629184607,1.0,0.65252685546875,254.0,0.39678955078125
0.13482666015625,33.320777931584345,0.5386962890625,0.42486572265625,0.10052490234375,0.57763671875,33.320777931584345,1.0,0.64630126953125,483.0,0.34844970703125
0.16448974609375,36.246837199182686,0.53399658203125,-0.95037841796875,0.10052490234375,3.49969482421875,36.246837199182686,1.0,0.67431640625,349.0,0.54803466796875
0.03662109375,43.307387640216724,0.53558349609375,6.8271484375,0.07403564453125,2.403564453125,43.307387640216724,1.0,0.61822509765625,503.0,0.2969970703125
0.25335693359375,43.830619359500936,0.53558349609375,7.1998291015625,0.0428466796875,2.3131103515625,43.830619359500936,1.0,0.57611083984375,341.0,0.24395751953125
0.06622314453125,89.2022674491146,0.537109375,1.0142822265625,0.10675048828125,1.07037353515625,89.2022674491146,1.0,0.669677734375,489.0,0.6416015625
