simulationConditionId	measurement	time	observableId	observableParameters	noiseParameters	datasetId	replicateId
condition1	0.6000000003209031	0.0	obs_y1		noiseParameter1	dataset1	0
condition1	0.6072457107406051	0.05	obs_y1		noiseParameter1	dataset1	0
condition1	0.6139966152860361	0.1	obs_y1		noiseParameter1	dataset1	0
condition1	0.6202726699876654	0.15000000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	0.6260929364831012	0.2	obs_y1		noiseParameter1	dataset1	0
condition1	0.6314756356291918	0.25	obs_y1		noiseParameter1	dataset1	0
condition1	0.6364381855074241	0.30000000000000004	obs_y1		noiseParameter1	dataset1	0
condition1	0.6409972441321545	0.35000000000000003	obs_y1		noiseParameter1	dataset1	0
condition1	0.6451687569995889	0.4	obs_y1		noiseParameter1	dataset1	0
condition1	0.648967991130409	0.45	obs_y1		noiseParameter1	dataset1	0
condition1	0.6524095660955521	0.5	obs_y1		noiseParameter1	dataset1	0
condition1	0.6555074969333081	0.55	obs_y1		noiseParameter1	dataset1	0
condition1	0.6582752190447403	0.6000000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.6607256180940888	0.65	obs_y1		noiseParameter1	dataset1	0
condition1	0.6628710659120145	0.7000000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.6647234370236006	0.75	obs_y1		noiseParameter1	dataset1	0
condition1	0.6662941369894217	0.8	obs_y1		noiseParameter1	dataset1	0
condition1	0.6675941304570043	0.8500000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.668633954324216	0.9	obs_y1		noiseParameter1	dataset1	0
condition1	0.6694237483353497	0.9500000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	0.6699732692594338	1.0	obs_y1		noiseParameter1	dataset1	0
condition1	0.799999999819379	0.0	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000000540226	0.05	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999988602015	0.1	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999995644939	0.15000000000000002	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000000887381	0.2	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999990792052	0.25	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000003005585	0.30000000000000004	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999995194891	0.35000000000000003	obs_y2		noiseParameter1	dataset1	0
condition1	0.799999999766645	0.4	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999995186348	0.45	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000014818226	0.5	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999999892022	0.55	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999991538314	0.6000000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.800000000658036	0.65	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999990233251	0.7000000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000001670909	0.75	obs_y2		noiseParameter1	dataset1	0
condition1	0.799999998432264	0.8	obs_y2		noiseParameter1	dataset1	0
condition1	0.7999999989374512	0.8500000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000001574891	0.9	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000005907734	0.9500000000000001	obs_y2		noiseParameter1	dataset1	0
condition1	0.8000000001370947	1.0	obs_y2		noiseParameter1	dataset1	0
