condition,state,anchor_time,algebraic_root,prepared_raw_seed
model1_data1,bcry,40.0,8.69656456650447,0.0
model1_data1,b10,40.0,3.4656597751540135,3.135141930945061
model1_data2,bcar,48.0,1.990525044871968,1.9905250448716507
model1_data2,b10,48.0,2.1863872723931466,2.9688338865865744
model1_data3,bcry,48.0,-8.716022123041967,0.0
model1_data3,bcar,48.0,2.095266185540204,2.0952661855401695
model1_data3,b10,48.0,1.0429838351354859,1.0182945091449838
model1_data4,zea,48.0,-7.397158493759245,0.0
model1_data4,ohb10,48.0,1.1024250427762166,1.6531231548752812
model1_data4,bcry,48.0,3.411883611455449,3.4118836114553868
model1_data4,b10,48.0,0.2819337286714785,0.18901289918002606
model1_data5,ohb10,40.0,1.4010066050805314,1.4010066050804366
model1_data6,zea,48.0,2.807165095929347,2.8071650959293444
model1_data6,ohb10,48.0,0.1932248191169667,0.12350588006170245
