 Count  Overhead File                                                                                                       Line Function
 =====  ======== ====                                                                                                       ==== ========
     1         0 /cache/build/builder-amdci4-4/julialang/julia-ci/usr/include/llvm/IR/PassManager.h                         887 run
     1         0 /cache/build/builder-amdci4-4/julialang/julia-ci/usr/include/llvm/IR/PassManager.h                         413 getResult<llvm::GlobalsAA>
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm6detail17AnalysisPassModelINS_6ModuleENS_9GlobalsAAENS_15AnalysisManagerIS2_JEE11InvalidatorEJEE3runERS2_RS5_
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm9GlobalsAA3runERNS_6ModuleERNS_15AnalysisManagerIS1_JEEE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm15GlobalsAAResult13analyzeModuleERNS_6ModuleESt8functionIFRKNS_17TargetLibraryInfoERNS_8FunctionEEERNS_9CallGraphE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm15GlobalsAAResult20CollectSCCMembershipERNS_9CallGraphE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm12scc_iteratorIPNS_9CallGraphENS_11GraphTraitsIS2_EEE10GetNextSCCEv
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm12scc_iteratorIPNS_9CallGraphENS_11GraphTraitsIS2_EEE16DFSVisitChildrenEv
     1         0 @juliasrc/pipeline.cpp                                                                                     627 buildPipeline
     1         0 @juliasrc/pipeline.cpp                                                                                     371 buildEarlySimplificationPipeline
     1         0 /cache/build/builder-amdci4-4/julialang/julia-ci/usr/include/llvm/IR/PassManager.h                         201 addPass<llvm::InstCombinePass>
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm19ReachingDefAnalysis15enterBasicBlockEPNS_17MachineBasicBlockE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZNSt6vectorIN4llvm13TinyPtrVectorINS0_11ReachingDefEEESaIS3_EE17_M_default_appendEm
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm12SelectionDAG8getStoreENS_7SDValueERKNS_5SDLocES1_S1_NS_18MachinePointerInfoENS_5AlignENS_17MachineMemOperand5FlagsERKNS_9AAMDNodesE
     1         0 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZN4llvm12SelectionDAG7getNodeEjRKNS_5SDLocENS_3EVTE
     1         1 @julialib/julia/libLLVM.so.20.1jl                                                                            ? _ZL13AddNodeIDNodeRN4llvm16FoldingSetNodeIDEPKNS_6SDNodeE
