observable,order,true_val,interp_val,rel_error
y1(t),0,5.248505644343069e+03,5.248505602377110e+03,7.995791934437606e-09
y1(t),1,-1.410072236367197e+03,-1.410072817728064e+03,4.122915490401430e-07
y1(t),2,3.742999257092198e+02,3.742993902983132e+02,1.430432842421013e-06
y1(t),3,-9.799795544601338e+01,-9.798641987787921e+01,1.177123347284413e-04
y1(t),4,2.607746226924019e+01,2.608321748372247e+01,2.206968769762979e-04
y2(t),0,5.006523077348838e+02,5.006522954413990e+02,2.455493488212967e-08
y2(t),1,5.243208609337363e+02,5.243203699035523e+02,9.365070523906881e-07
y2(t),2,4.327315016332747e+02,4.327325592852305e+02,2.444129793709478e-06
y2(t),3,4.096266573359090e+02,4.096598573334877e+02,8.104940678062588e-05
y2(t),4,3.731999841909238e+02,3.731247669994656e+02,2.015466094438889e-04
y3(t),0,2.464690476489980e+02,2.464690561566240e+02,3.451802987294890e-08
y3(t),1,3.457193996803574e+02,3.457191168981187e+02,8.179530536796135e-07
y3(t),2,3.611907084419947e+02,3.611918476278433e+02,3.153973294567000e-06
y3(t),3,2.958209467082577e+02,2.958384191738789e+02,5.906432866089550e-05
y3(t),4,2.758936056736636e+02,2.758182624736637e+02,2.730878804381144e-04
y4(t),0,1.667585461936868e+00,1.667585461533651e+00,2.417973115439538e-10
y4(t),1,6.805076088318071e-02,6.805076436937746e-02,5.122935736064484e-08
y4(t),2,-1.902422549390350e-03,-1.902378167672448e-03,2.332905374566229e-05
y4(t),3,-1.232651854268590e-02,-1.232694047625891e-02,3.422974390915133e-05
y4(t),4,-1.268312343802252e-02,-1.268708589808546e-02,3.124198926477998e-04
